Date,CUR_MKT_CAP
2006-01-03,4053.2646
2006-01-04,4053.2646
2006-01-05,4063.2343
2006-01-06,3973.5064
2006-01-09,3984.5839
2006-01-10,3983.4762
2006-01-11,4006.739
2006-01-12,3917.0111
2006-01-13,3965.7522
2006-01-17,3926.9808
2006-01-18,3879.3475
2006-01-19,3822.8521
2006-01-20,3822.8521
2006-01-23,3848.3304
2006-01-24,3857.1925
2006-01-25,3859.408
2006-01-26,3854.977
2006-01-27,3840.5762
2006-01-30,3913.6878
2006-01-31,3938.0584
2006-02-01,3904.8258
2006-02-02,3907.0413
2006-02-03,3892.6405
2006-02-06,3965.7522
2006-02-07,3956.8901
2006-02-08,3992.3382
2006-02-09,4014.4932
2006-02-10,4026.6785
2006-02-13,4008.9545
2006-02-14,4051.0491
2006-02-15,3924.7653
2006-02-16,4021.1398
2006-02-17,4085.3894
2006-02-21,4092.0359
2006-02-22,4165.1475
2006-02-23,4121.9452
2006-02-24,4032.2173
2006-02-27,4012.2777
2006-02-28,3945.8126
2006-03-01,3945.8126
2006-03-02,3952.4591
2006-03-03,3960.2134
2006-03-06,3943.5971
2006-03-07,3869.3777
2006-03-08,3863.839
2006-03-09,3902.6103
2006-03-10,3940.2739
2006-03-13,3909.2568
2006-03-14,4267.346
2006-03-15,4318.7454
2006-03-16,4284.0807
2006-03-17,4247.0253
2006-03-20,4238.6579
2006-03-21,4213.5559
2006-03-22,4232.6813
2006-03-23,4175.3052
2006-03-24,4183.6725
2006-03-27,4233.8766
2006-03-28,4207.5792
2006-03-29,4220.7279
2006-03-30,4466.2232
2006-03-31,4484.0779
2006-04-03,4478.9765
2006-04-04,4495.5559
2006-04-05,4521.0626
2006-04-06,4477.7012
2006-04-07,4456.0205
2006-04-10,4420.3111
2006-04-11,4407.5578
2006-04-12,4373.1237
2006-04-13,4382.0511
2006-04-17,4345.0664
2006-04-18,4421.5865
2006-04-19,4416.4851
2006-04-20,4399.9058
2006-04-21,4384.6018
2006-04-24,4332.313
2006-04-25,4283.8503
2006-04-26,4283.8503
2006-04-27,4406.2824
2006-04-28,4440.7165
2006-05-01,4339.965
2006-05-02,4295.3283
2006-05-03,4046.3391
2006-05-04,4050.0401
2006-05-05,4170.9368
2006-05-08,4173.4041
2006-05-09,4179.5723
2006-05-10,4581.0026
2006-05-11,4552.9719
2006-05-12,4556.9763
2006-05-15,4507.5891
2006-05-16,4487.5672
2006-05-17,4492.9064
2006-05-18,4538.2892
2006-05-19,4564.9851
2006-05-22,4567.6546
2006-05-23,4532.9501
2006-05-24,4556.9763
2006-05-25,4508.9238
2006-05-26,4555.6415
2006-05-30,4526.2761
2006-05-31,4571.659
2006-06-01,4563.6503
2006-06-02,4591.6809
2006-06-05,4531.6153
2006-06-06,4500.9151
2006-06-07,4539.624
2006-06-08,4490.2368
2006-06-09,4490.2368
2006-06-12,4387.4579
2006-06-13,4351.4185
2006-06-14,4346.0793
2006-06-15,4410.1493
2006-06-16,4406.1449
2006-06-19,4380.7839
2006-06-20,4371.4404
2006-06-21,4386.1231
2006-06-22,4379.4491
2006-06-23,4390.1274
2006-06-26,4415.4885
2006-06-27,4387.4579
2006-06-28,4394.1318
2006-06-29,4470.2149
2006-06-30,4468.8801
2006-07-03,4516.9326
2006-07-05,4492.9064
2006-07-06,4510.2586
2006-07-07,4492.9064
2006-07-10,4522.2718
2006-07-11,4538.2892
2006-07-12,4526.2761
2006-07-13,4478.2237
2006-07-14,4464.8757
2006-07-17,4463.541
2006-07-18,4510.2586
2006-07-19,4603.694
2006-07-20,4642.4029
2006-07-21,4607.6984
2006-07-24,4611.7027
2006-07-25,4635.729
2006-07-26,4649.0769
2006-07-27,4626.3854
2006-07-28,4669.0988
2006-07-31,4671.7683
2006-08-01,4669.0988
2006-08-02,4913.8032
2006-08-03,4976.2668
2006-08-04,5027.6257
2006-08-07,5049.835
2006-08-08,5045.6708
2006-08-09,5192.965
2006-08-10,5255.5309
2006-08-11,5295.3455
2006-08-14,5281.126
2006-08-15,5363.5991
2006-08-16,5397.726
2006-08-17,5448.9162
2006-08-18,5460.2918
2006-08-21,5394.8821
2006-08-22,5414.7894
2006-08-23,5353.6455
2006-08-24,5373.5528
2006-08-25,5379.2406
2006-08-28,5410.5235
2006-08-29,5451.7601
2006-08-30,5484.465
2006-08-31,5507.2162
2006-09-01,5410.5235
2006-09-05,5372.1308
2006-09-06,5320.9406
2006-09-07,5227.0918
2006-09-08,5275.4382
2006-09-11,5319.5186
2006-09-12,5396.304
2006-09-13,5426.165
2006-09-14,5473.0894
2006-09-15,5515.7479
2006-09-18,5461.7137
2006-09-19,5475.9333
2006-09-20,5473.0894
2006-09-21,5465.9796
2006-09-22,5491.5747
2006-09-25,5502.9503
2006-09-26,5582.5796
2006-09-27,5568.3601
2006-09-28,5595.3771
2006-09-29,5612.4406
2006-10-02,5613.8625
2006-10-03,5672.1625
2006-10-04,5751.7917
2006-10-05,5829.9991
2006-10-06,5886.8771
2006-10-09,5911.0503
2006-10-10,5903.9405
2006-10-11,5849.9064
2006-10-12,5895.4088
2006-10-13,5955.1307
2006-10-16,5970.7722
2006-10-17,5946.599
2006-10-18,5977.882
2006-10-19,5928.1137
2006-10-20,5903.9405
2006-10-23,5903.9405
2006-10-24,6009.1649
2006-10-25,6000.6332
2006-10-26,6087.3722
2006-10-27,6088.7941
2006-10-30,6087.3722
2006-10-31,6137.1405
2006-11-01,6145.0287
