Date,CUR_MKT_CAP
2006-01-03,806.6927
2006-01-04,803.705
2006-01-05,851.509
2006-01-06,851.509
2006-01-09,869.4355
2006-01-10,887.362
2006-01-11,911.264
2006-01-12,869.4355
2006-01-13,863.46
2006-01-17,863.46
2006-01-18,857.4845
2006-01-19,893.3375
2006-01-20,842.5457
2006-01-23,872.4232
2006-01-24,923.215
2006-01-25,908.2763
2006-01-26,902.3008
2006-01-27,982.97
2006-01-30,974.0068
2006-01-31,982.97
2006-02-01,988.9455
2006-02-02,1030.774
2006-02-03,1057.6638
2006-02-06,1048.7005
2006-02-07,1033.7618
2006-02-08,1045.7128
2006-02-09,1021.2551
2006-02-10,982.9948
2006-02-13,977.1086
2006-02-14,1006.5396
2006-02-15,1035.9705
2006-02-16,1053.6291
2006-02-17,1062.4584
2006-02-21,1035.9705
2006-02-22,1044.7998
2006-02-23,1044.7998
2006-02-24,1047.7429
2006-02-27,1074.2308
2006-02-28,1062.4584
2006-03-01,1097.7756
2006-03-02,1150.7514
2006-03-03,1127.2066
2006-03-06,1097.7756
2006-03-07,1088.9463
2006-03-08,1147.8083
2006-03-09,1144.8652
2006-03-10,1144.8652
2006-03-13,1171.3531
2006-03-14,1162.5238
2006-03-15,1218.4426
2006-03-16,1168.41
2006-03-17,1153.6945
2006-03-20,1191.9547
2006-03-21,1165.4669
2006-03-22,1165.4669
2006-03-23,1171.3531
2006-03-24,1174.2962
2006-03-27,1162.5238
2006-03-28,1171.3531
2006-03-29,1191.9547
2006-03-30,1209.6133
2006-03-31,1197.8409
2006-04-03,1159.5807
2006-04-04,1130.1497
2006-04-05,1118.3773
2006-04-06,1174.2962
2006-04-07,1138.979
2006-04-10,1130.1497
2006-04-11,1068.3446
2006-04-12,1091.8894
2006-04-13,1094.8325
2006-04-17,1057.6752
2006-04-18,1099.0368
2006-04-19,1119.7176
2006-04-20,1116.7632
2006-04-21,1096.0824
2006-04-24,1075.4016
2006-04-25,1096.0824
2006-04-26,1113.8088
2006-04-27,1096.0824
2006-04-28,1084.2648
2006-05-01,1054.7208
2006-05-02,1066.5384
2006-05-03,1051.7664
2006-05-04,1093.128
2006-05-05,1084.2648
2006-05-08,1081.3104
2006-05-09,1057.6752
2006-05-10,1045.8576
2006-05-11,969.0432
2006-05-12,957.2256
2006-05-15,945.408
2006-05-16,954.2712
2006-05-17,936.5448
2006-05-18,912.9096
2006-05-19,892.2288
2006-05-22,892.2288
2006-05-23,892.2288
2006-05-24,895.1832
2006-05-25,904.0464
2006-05-26,915.864
2006-05-30,889.2744
2006-05-31,868.5936
2006-06-01,907.0008
2006-06-02,880.4112
2006-06-05,856.776
2006-06-06,847.9128
2006-06-07,839.0496
2006-06-08,827.232
2006-06-09,839.0496
2006-06-12,821.3232
2006-06-13,800.6424
2006-06-14,803.5968
2006-06-15,827.232
2006-06-16,791.7792
2006-06-19,785.8704
2006-06-20,782.916
2006-06-21,800.6424
2006-06-22,782.916
2006-06-23,791.7792
2006-06-26,800.6424
2006-06-27,774.0528
