Date,CUR_MKT_CAP
2006-01-03,9124.6073
2006-01-04,9081.9911
2006-01-05,9162.4884
2006-01-06,9228.7803
2006-01-09,9143.5478
2006-01-10,9219.31
2006-01-11,9238.2505
2006-01-12,9181.4289
2006-01-13,9219.31
2006-01-17,9209.8397
2006-01-18,9086.7262
2006-01-19,9039.3748
2006-01-20,9044.11
2006-01-23,9053.5802
2006-01-24,9086.7262
2006-01-25,8987.2883
2006-01-26,9044.11
2006-01-27,9167.2235
2006-01-30,9427.656
2006-01-31,9347.1587
2006-02-01,9337.6884
2006-02-02,9266.6614
2006-02-03,9105.6667
2006-02-06,9157.7532
2006-02-07,9181.4289
2006-02-08,9214.5749
2006-02-09,9512.8884
2006-02-10,9370.8344
2006-02-13,9299.8073
2006-02-14,9356.629
2006-02-15,9304.5425
2006-02-16,9323.483
2006-02-17,9280.8668
2006-02-21,9318.7479
2006-02-22,9301.7793
2006-02-23,9316.0022
2006-02-24,9282.8154
2006-02-27,9363.4118
2006-02-28,9316.0022
2006-03-01,9458.2312
2006-03-02,9230.6647
2006-03-03,9259.1105
2006-03-06,9292.2973
2006-03-07,9382.3757
2006-03-08,9429.7854
2006-03-09,9434.5264
2006-03-10,9586.2373
2006-03-13,9577.5574
2006-03-14,9634.4538
2006-03-15,9591.7815
2006-03-16,9809.8843
2006-03-17,9843.0738
2006-03-20,9824.1084
2006-03-21,9838.3325
2006-03-22,9890.4875
2006-03-23,9857.2979
2006-03-24,9828.8498
2006-03-27,9762.4706
2006-03-28,9767.212
2006-03-29,9691.3502
2006-03-30,9610.747
2006-03-31,9643.9365
2006-04-03,9686.6088
2006-04-04,9677.1261
2006-04-05,9852.5566
2006-04-06,9786.1775
2006-04-07,9767.212
2006-04-10,9767.212
2006-04-11,9672.3847
2006-04-12,9691.3502
2006-04-13,9624.9711
2006-04-17,9568.0747
2006-04-18,9639.1951
2006-04-19,9577.5574
2006-04-20,9715.057
2006-04-21,9738.7638
2006-04-24,9800.4016
2006-04-25,9805.1429
2006-04-26,9743.5052
2006-04-27,9463.7646
2006-04-28,9259.8859
2006-05-01,9283.5928
2006-05-02,9252.0793
2006-05-03,9308.9859
2006-05-04,9346.9237
2006-05-05,9356.4082
2006-05-08,9408.5727
2006-05-09,9432.2838
2006-05-10,9375.3771
2006-05-11,9223.6259
2006-05-12,9275.7904
2006-05-15,9394.346
2006-05-16,9389.6038
2006-05-17,9218.8837
2006-05-18,9152.4926
2006-05-19,9271.0482
2006-05-22,9237.8526
2006-05-23,9228.3681
2006-05-24,9271.0482
2006-05-25,9384.8615
2006-05-26,9337.4393
2006-05-30,9294.7593
2006-05-31,9323.2126
2006-06-01,9375.3771
2006-06-02,9408.5727
2006-06-05,9275.7904
2006-06-06,9228.3681
2006-06-07,9247.337
2006-06-08,9199.9148
2006-06-09,9180.9459
2006-06-12,9176.2037
2006-06-13,9157.2348
2006-06-14,8953.3191
2006-06-15,9152.4926
2006-06-16,9081.3592
2006-06-19,9090.8436
2006-06-20,9114.5548
2006-06-21,9323.2126
2006-06-22,9313.7282
2006-06-23,9233.1104
2006-06-26,9294.7593
2006-06-27,9285.2748
2006-06-28,9290.0171
2006-06-29,9451.2527
2006-06-30,9659.9105
2006-07-03,9636.1994
2006-07-05,9598.2616
2006-07-06,9731.0439
2006-07-07,9669.395
2006-07-10,9759.4972
2006-07-11,9963.4129
2006-07-12,9773.7239
2006-07-13,9674.1372
2006-07-14,9607.7461
2006-07-17,9712.075
2006-07-18,9977.6396
2006-07-19,10006.0929
2006-07-20,9982.3818
2006-07-21,10058.2574
2006-07-24,10200.5241
2006-07-25,10219.493
2006-07-26,10238.4619
2006-07-27,10148.3596
2006-07-28,10240.14
2006-07-31,10197.3738
2006-08-01,10282.9063
2006-08-02,10449.2194
2006-08-03,10282.9063
2006-08-04,10206.8774
2006-08-07,10031.0606
2006-08-08,10140.3521
2006-08-09,9997.798
2006-08-10,10126.0967
2006-08-11,10021.557
2006-08-14,10054.8196
2006-08-15,10130.8485
2006-08-16,10064.3232
2006-08-17,10031.0606
2006-08-18,10159.3593
2006-08-21,10211.6292
2006-08-22,10197.3738
2006-08-23,10278.1545
2006-08-24,10368.4388
2006-08-25,10401.7014
2006-08-28,10396.9496
2006-08-29,10472.9785
2006-08-30,10549.0074
2006-08-31,10596.5254
2006-09-01,10587.0218
2006-09-05,10672.5543
2006-09-06,10510.9929
2006-09-07,10202.1256
2006-09-08,10197.3738
2006-09-11,9945.5281
2006-09-12,9931.2727
2006-09-13,9864.7474
2006-09-14,9855.2438
2006-09-15,9855.2438
2006-09-18,9883.7546
2006-09-19,9931.2727
2006-09-20,9893.2582
2006-09-21,9864.7474
2006-09-22,9755.4559
2006-09-25,9931.2727
2006-09-26,9955.0317
2006-09-27,9959.7835
2006-09-28,9931.2727
2006-09-29,9898.0101
2006-10-02,9821.9812
2006-10-03,9893.2582
2006-10-04,10045.316
2006-10-05,9893.2582
2006-10-06,9812.4776
2006-10-09,9898.0101
2006-10-10,9755.4559
2006-10-11,9836.2366
2006-10-12,10007.3016
2006-10-13,9940.7763
2006-10-16,9964.5353
2006-10-17,9964.5353
2006-10-18,10054.8196
2006-10-19,9955.0317
2006-10-20,9917.0173
2006-10-23,9978.7907
2006-10-24,9974.0389
2006-10-25,9997.798
2006-10-26,9931.2727
2006-10-27,9795.9026
2006-10-30,9604.763
2006-10-31,9571.3136
2006-11-01,9795.9026
2006-11-02,9810.2381
2006-11-03,9671.6619
2006-11-06,9815.0166
2006-11-07,9786.3456
2006-11-08,9700.3328
2006-11-09,9604.763
2006-11-10,9599.9846
2006-11-13,9547.4212
2006-11-14,9556.9781
2006-11-15,9571.3136
2006-11-16,9709.8898
2006-11-17,9666.8834
2006-11-20,9987.0422
2006-11-21,9872.3584
2006-11-22,9905.8079
2006-11-24,9901.0294
2006-11-27,9757.6747
2006-11-28,9714.6683
2006-11-29,9781.5671
2006-11-30,9772.0102
2006-12-01,9805.4596
2006-12-04,9939.2573
2006-12-05,10001.3776
2006-12-06,9996.5991
2006-12-07,9896.2509
2006-12-08,9805.4596
2006-12-11,9762.4532
2006-12-12,9829.352
2006-12-13,9776.7886
2006-12-14,9676.4404
2006-12-15,9676.4404
2006-12-18,9700.3328
2006-12-19,9709.8898
2006-12-20,9580.8706
2006-12-21,9657.3264
2006-12-22,9652.5479
2006-12-26,9762.4532
2006-12-27,9805.4596
2006-12-28,9762.4532
2006-12-29,9757.6747
2007-01-03,9795.9026
2007-01-04,9748.1177
