Date,CUR_MKT_CAP
2006-01-03,693.1051
2006-01-04,689.5431
2006-01-05,686.5747
2006-01-06,680.3412
2006-01-09,686.2779
2006-01-10,682.7159
2006-01-11,677.3729
2006-01-12,662.2344
2006-01-13,666.3901
2006-01-17,665.4996
2006-01-18,657.4851
2006-01-19,657.4851
2006-01-20,663.7186
2006-01-23,663.4218
2006-01-24,662.8281
2006-01-25,653.6263
2006-01-26,653.0326
2006-01-27,653.0326
2006-01-30,651.2516
2006-01-31,643.8308
2006-02-01,646.2054
2006-02-02,620.0841
2006-02-03,634.629
2006-02-06,623.3493
2006-02-07,616.819
2006-02-08,618.8968
2006-02-09,630.7701
2006-02-10,634.0353
2006-02-13,620.0841
2006-02-14,634.0353
2006-02-15,640.8624
2006-02-16,633.4416
2006-02-17,625.4271
2006-02-21,635.5195
2006-02-22,683.3096
2006-02-23,670.8426
2006-02-24,677.6697
2006-02-27,675.2951
2006-02-28,650.3611
2006-03-01,644.1276
2006-03-02,639.3783
2006-03-03,654.2199
2006-03-06,653.6263
2006-03-07,653.0326
2006-03-08,658.9693
2006-03-09,653.0326
2006-03-10,657.4851
2006-03-13,656.0009
2006-03-14,661.0471
2006-03-15,663.7186
2006-03-16,655.7363
2006-03-17,658.7061
2006-03-20,671.4763
2006-03-21,669.3974
2006-03-22,674.7431
2006-03-23,671.7733
2006-03-24,690.1862
2006-03-27,686.3254
2006-03-28,682.7616
2006-03-29,684.2465
2006-03-30,683.0586
2006-03-31,673.8522
2006-04-03,669.9914
2006-04-04,665.8336
2006-04-05,676.822
2006-04-06,661.9729
2006-04-07,719.2904
2006-04-10,716.9146
2006-04-11,708.3021
2006-04-12,721.6663
2006-04-13,718.9934
2006-04-17,712.1628
2006-04-18,717.2115
2006-04-19,717.5085
2006-04-20,715.1327
2006-04-21,711.8659
2006-04-24,717.2115
2006-04-25,717.2115
2006-04-26,798.8816
2006-04-27,770.6683
2006-04-28,758.492
2006-05-01,744.8309
2006-05-02,742.455
2006-05-03,738.2973
2006-05-04,728.4969
2006-05-05,720.7753
2006-05-08,739.4852
2006-05-09,739.2662
2006-05-10,730.0328
2006-05-11,720.2037
2006-05-12,721.693
2006-05-15,722.8844
2006-05-16,737.1812
2006-05-17,742.2447
2006-05-18,761.605
2006-05-19,757.4351
2006-05-22,770.8384
2006-05-23,749.0953
2006-05-24,750.5845
2006-05-25,756.2437
2006-05-26,765.4771
2006-05-30,727.9479
2006-05-31,717.5231
2006-06-01,739.5641
2006-06-02,741.3512
2006-06-05,715.4381
2006-06-06,698.4606
2006-06-07,701.1413
2006-06-08,727.0543
2006-06-09,755.648
2006-06-12,715.4381
2006-06-13,705.3112
2006-06-14,711.5661
2006-06-15,724.0758
2006-06-16,713.0553
2006-06-19,705.9069
2006-06-20,689.5251
2006-06-21,687.4401
2006-06-22,681.781
2006-06-23,683.2702
2006-06-26,693.0993
2006-06-27,681.781
2006-06-28,678.2067
2006-06-29,679.696
2006-06-30,677.611
2006-07-03,674.0368
2006-07-05,673.4411
2006-07-06,669.5691
2006-07-07,673.4411
2006-07-10,667.782
2006-07-11,670.1648
2006-07-12,660.6335
2006-07-13,660.0378
2006-07-14,663.612
2006-07-17,670.1648
2006-07-18,673.1433
2006-07-19,695.78
2006-07-20,687.4401
2006-07-21,707.0983
2006-07-24,727.9479
2006-07-25,738.0748
2006-07-26,676.7175
2006-07-27,680.5896
2006-07-28,660.0378
2006-07-31,661.2292
2006-08-01,651.9959
2006-08-02,657.0593
2006-08-03,675.2282
2006-08-04,669.8669
2006-08-07,670.0247
2006-08-08,655.6926
2006-08-09,623.4455
2006-08-10,655.3941
2006-08-11,660.7686
2006-08-14,675.1007
2006-08-15,674.5035
2006-08-16,678.9823
2006-08-17,691.5228
2006-08-18,684.0582
2006-08-21,685.2526
2006-08-22,703.4662
2006-08-23,699.5846
2006-08-24,707.6464
2006-08-25,708.2436
2006-08-28,704.9592
2006-08-29,709.1394
2006-08-30,716.3054
2006-08-31,718.6941
2006-09-01,707.945
2006-09-05,724.3672
2006-09-06,722.5757
2006-09-07,722.5757
2006-09-08,724.9644
2006-09-11,730.0403
2006-09-12,741.088
2006-09-13,730.0403
2006-09-14,725.5615
2006-09-15,727.0545
2006-09-18,734.8177
2006-09-19,742.2823
2006-09-20,749.1498
2006-09-21,682.2667
2006-09-22,675.3993
2006-09-25,676.295
2006-09-26,674.2049
2006-09-27,689.7313
2006-09-28,677.4894
2006-09-29,664.6502
2006-10-02,662.8587
2006-10-03,667.636
2006-10-04,700.1818
2006-10-05,703.7648
2006-10-06,685.2526
2006-10-09,693.0158
2006-10-10,679.5794
2006-10-11,681.6695
2006-10-12,689.4328
2006-10-13,678.9823
2006-10-16,683.7596
2006-10-17,677.1908
2006-10-18,680.7738
2006-10-19,696.8974
2006-10-20,704.362
2006-10-23,710.3337
2006-10-24,696.5988
2006-10-25,631.5073
2006-10-26,631.5073
2006-10-27,636.5832
2006-10-30,631.5073
2006-10-31,627.6257
2006-11-01,603.7389
2006-11-02,605.829
2006-11-03,610.9049
2006-11-06,610.1157
2006-11-07,610.4149
2006-11-08,619.0924
2006-11-09,609.8165
2006-11-10,616.1002
2006-11-13,616.3994
2006-11-14,613.1079
2006-11-15,621.187
2006-11-16,628.9668
2006-11-17,625.9745
2006-11-20,616.3994
2006-11-21,611.6118
2006-11-22,611.911
2006-11-24,611.911
2006-11-27,603.5328
2006-11-28,605.0289
2006-11-29,611.3126
2006-11-30,613.4072
2006-12-01,621.187
2006-12-04,634.9512
2006-12-05,637.6442
2006-12-06,638.2427
2006-12-07,637.345
2006-12-08,636.1481
2006-12-11,663.9758
2006-12-12,666.3696
2006-12-13,659.4875
2006-12-14,662.779
2006-12-15,663.6766
2006-12-18,658.8891
2006-12-19,659.4875
2006-12-20,675.9448
2006-12-21,687.9137
2006-12-22,681.3308
2006-12-26,687.9137
2006-12-27,701.3787
2006-12-28,700.1818
2006-12-29,688.2129
2007-01-03,697.788
2007-01-04,685.5199
2007-01-05,662.779
2007-01-08,680.1339
2007-01-09,671.1572
2007-01-10,674.1494
2007-01-11,674.7479
2007-01-12,675.3463
2007-01-16,682.5277
2007-01-17,682.5277
2007-01-18,668.4642
2007-01-19,685.5199
2007-01-22,665.7712
2007-01-23,665.7712
2007-01-24,659.7867
2007-01-25,656.7945
2007-01-26,665.7712
2007-01-29,660.6844
2007-01-30,658.2906
2007-01-31,658.2906
2007-02-01,653.2038
2007-02-02,678.6378
2007-02-05,662.779
2007-02-06,673.2518
2007-02-07,674.4486
2007-02-08,669.6611
2007-02-09,670.2595
2007-02-12,674.1494
2007-02-13,664.8735
2007-02-14,670.2595
2007-02-15,683.4253
2007-02-16,683.7246
2007-02-20,686.4176
2007-02-21,728.0096
2007-02-22,746.5614
2007-02-23,724.7181
2007-02-26,718.1352
2007-02-27,689.4098
2007-02-28,692.4681
2007-03-01,683.7559
2007-03-02,662.7265
2007-03-05,659.1215
2007-03-06,679.2496
2007-03-07,676.5458
2007-03-08,685.258
2007-03-09,693.0689
2007-03-12,705.987
2007-03-13,706.5878
2007-03-14,713.4975
2007-03-15,721.008
2007-03-16,715.3
2007-03-19,718.6046
2007-03-20,718.9051
2007-03-21,731.2223
2007-03-22,731.5227
2007-03-23,736.029
2007-03-26,734.2265
2007-03-27,733.9261
2007-03-28,730.6214
