Date,CUR_MKT_CAP
2006-01-03,2383.4707
2006-01-04,2326.3327
2006-01-05,2244.707
2006-01-06,2244.707
2006-01-09,2228.3818
2006-01-10,2350.8204
2006-01-11,2636.5104
2006-01-12,2701.8109
2006-01-13,2734.4612
2006-01-17,2718.1361
2006-01-18,2758.9489
2006-01-19,2824.2495
2006-01-20,2783.4366
2006-01-23,2767.1115
2006-01-24,2856.8998
2006-01-25,2856.8998
2006-01-26,2971.1758
2006-01-27,2954.8506
2006-01-30,3044.6389
2006-01-31,3060.9641
2006-02-01,3036.4763
2006-02-02,2856.8998
2006-02-03,3020.1512
2006-02-06,2971.1758
2006-02-07,2865.0624
2006-02-08,2783.4366
2006-02-09,2742.6238
2006-02-10,2848.7372
2006-02-13,2734.4612
2006-02-14,2767.1115
2006-02-15,2726.2986
2006-02-16,2832.4121
2006-02-17,2922.2003
2006-02-21,2791.5992
2006-02-22,2767.1115
2006-02-23,2709.9735
2006-02-24,2750.7864
2006-02-27,2758.9489
2006-02-28,2775.2741
2006-03-01,2865.0624
2006-03-02,2897.7126
2006-03-03,3065.4012
2006-03-06,2975.2423
2006-03-07,2811.3171
2006-03-08,2803.1208
2006-03-09,2762.1395
2006-03-10,2786.7283
2006-03-13,2729.3545
2006-03-14,2794.9246
2006-03-15,2770.3358
2006-03-16,2770.3358
2006-03-17,2753.9433
2006-03-20,3057.2049
2006-03-21,2909.6722
2006-03-22,2819.5134
2006-03-23,3286.7002
2006-03-24,3475.2141
2006-03-27,3663.7281
2006-03-28,4245.6626
2006-03-29,4589.9055
2006-03-30,4221.0738
2006-03-31,4245.6626
2006-04-03,3991.5785
2006-04-04,4073.5411
2006-04-05,4016.1673
2006-04-06,4237.4663
2006-04-07,4147.3074
2006-04-10,4026.1624
2006-04-11,4102.1277
2006-04-12,4144.3307
2006-04-13,4076.806
2006-04-17,4127.4495
2006-04-18,4254.0584
2006-04-19,4405.989
2006-04-20,4330.0237
2006-04-21,4194.9742
2006-04-24,4152.7713
2006-04-25,4490.395
2006-04-26,4431.3108
2006-04-27,4532.5979
2006-04-28,4557.9197
2006-05-01,4828.0186
2006-05-02,4794.2563
2006-05-03,4794.2563
2006-05-04,4709.8504
2006-05-05,4684.5286
2006-05-08,4625.4444
2006-05-09,4557.9197
2006-05-10,4505.211
2006-05-11,4403.5897
2006-05-12,4242.6893
2006-05-15,4098.7258
