Date,CUR_MKT_CAP
2009-02-11,5286.0
2009-02-12,5432.0
2009-02-13,5362.0
2009-02-17,5452.0
2009-02-18,5590.0
2009-02-19,5712.0
2009-02-20,5926.0
2009-02-23,5460.0
2009-02-24,5498.0
2009-02-25,5584.0
2009-02-26,5512.0
2009-02-27,5518.0
2009-03-02,5400.0
2009-03-03,5288.0
2009-03-04,5400.0
2009-03-05,5406.0
2009-03-06,5288.0
2009-03-09,5272.0
2009-03-10,5411.07
2009-03-11,5435.61
2009-03-12,5721.91
2009-03-13,5607.39
2009-03-16,5382.44
2009-03-17,5631.93
2009-03-18,5640.11
2009-03-19,5607.39
2009-03-20,5658.5205
2009-03-23,5597.1704
2009-03-24,5541.95
2009-03-25,5578.76
2009-03-26,5633.9693
2009-03-27,5629.8905
2009-03-30,5578.76
2009-03-31,5903.9207
2009-04-01,5701.46
2009-04-02,5593.0804
2009-04-03,5593.0804
2009-04-06,5736.2192
2009-04-07,5552.1694
2009-04-08,5501.05
2009-04-09,5439.7
2009-04-13,5415.16
2009-04-14,5419.25
2009-04-15,5441.7503
2009-04-16,5521.5
2009-04-17,5413.1095
2009-04-20,5361.99
2009-04-21,5390.62
2009-04-22,5441.7503
2009-04-23,5384.4796
2009-04-24,5374.26
2009-04-27,5368.1196
2009-04-28,5822.1091
2009-04-29,5922.32
2009-04-30,5777.1192
2009-05-01,5799.62
2009-05-04,6161.5788
2009-05-05,6298.6
2009-05-06,6083.8809
2009-05-07,6128.8588
2009-05-08,6290.42
2009-05-11,6124.7809
2009-05-12,6098.19
2009-05-13,6022.5308
2009-05-14,5897.78
2009-05-15,5893.69
2009-05-18,5973.439
2009-05-19,6016.39
2009-05-20,5844.61
2009-05-21,6079.7909
2009-05-22,6073.65
2009-05-26,6286.33
2009-05-27,6218.851
2009-05-28,6220.89
2009-05-29,6372.22
2009-06-01,6503.1
2009-06-02,6546.0384
2009-06-03,6544.0
2009-06-04,6482.65
2009-06-05,6535.82
2009-06-08,6437.66
2009-06-09,6527.64
2009-06-10,6310.87
2009-06-11,6378.3486
2009-06-12,6413.12
2009-06-15,6411.0812
2009-06-16,6474.47
2009-06-17,6595.1184
2009-06-18,6705.5615
2009-06-19,6605.35
2009-06-22,6541.9613
2009-06-23,6319.05
2009-06-24,6362.0012
2009-06-25,6462.2
2009-06-26,6523.55
2009-06-29,6400.85
2009-06-30,6496.9585
2009-07-01,6580.81
2009-07-02,6474.47
2009-07-06,6652.3783
2009-07-07,6779.1816
2009-07-08,6832.3483
2009-07-09,6791.4382
2009-07-10,6738.2815
2009-07-13,6738.2815
2009-07-14,6777.13
2009-07-15,6777.13
2009-07-16,6844.6183
2009-07-17,6893.6914
2009-07-20,6959.1314
2009-07-21,7079.79
2009-07-22,6957.09
2009-07-23,7466.2911
2009-07-24,7566.5
2009-07-27,7584.901
2009-07-28,7572.631
2009-07-29,7478.5611
2009-07-30,7404.9411
2009-07-31,7445.8486
2009-08-03,7454.0286
2009-08-04,7454.0286
2009-08-05,7588.9987
2009-08-06,7640.12
2009-08-07,7955.05
2009-08-10,8049.12
2009-08-11,8161.599
2009-08-12,7955.05
2009-08-13,7705.56
2009-08-14,7650.3487
2009-08-17,7654.4387
2009-08-18,7873.25
2009-08-19,7959.14
2009-08-20,8083.8808
2009-08-21,8171.82
2009-08-24,8141.1489
2009-08-25,8026.6208
2009-08-26,8118.65
