Date,CUR_MKT_CAP
2006-01-03,17576.8202
2006-01-04,17469.1756
2006-01-05,17204.6775
2006-01-06,17235.4331
2006-01-09,17007.8417
2006-01-10,16878.6682
2006-01-11,16798.7037
2006-01-12,17078.5796
2006-01-13,17161.6197
2006-01-17,17192.3753
2006-01-18,17404.5888
2006-01-19,17346.1532
2006-01-20,16909.4238
2006-01-23,16792.5526
2006-01-24,16866.366
2006-01-25,16937.1039
2006-01-26,17069.3529
2006-01-27,17201.6019
2006-01-30,16952.4817
2006-01-31,16638.7746
2006-02-01,16629.548
2006-02-02,16235.8764
2006-02-03,16783.3259
2006-02-06,16571.1123
2006-02-07,16626.4724
2006-02-08,16595.7168
2006-02-09,16930.9527
2006-02-10,16789.477
2006-02-13,16737.1925
2006-02-14,16937.1039
2006-02-15,17216.9797
2006-02-16,17306.171
2006-02-17,17435.3444
2006-02-21,17453.7978
2006-02-22,17592.1979
2006-02-23,17453.7978
2006-02-24,17253.8865
2006-02-27,17226.2064
2006-02-28,17137.0152
2006-03-01,18231.9142
2006-03-02,18234.9898
2006-03-03,17670.797
2006-03-06,17402.9193
2006-03-07,17728.6342
2006-03-08,17899.1019
2006-03-09,17935.6306
2006-03-10,17862.5731
2006-03-13,17868.6612
2006-03-14,17853.4409
2006-03-15,18048.261
2006-03-16,18026.9526
2006-03-17,17889.9697
2006-03-20,17893.0137
2006-03-21,17853.4409
2006-03-22,18017.8204
2006-03-23,17853.4409
2006-03-24,18319.1828
2006-03-27,17819.9562
2006-03-28,18069.5695
2006-03-29,17917.3662
2006-03-30,17530.77
2006-03-31,17418.1396
2006-04-03,17290.2889
2006-04-04,17287.2448
2006-04-05,17037.6315
2006-04-06,16766.7097
2006-04-07,16742.3572
2006-04-10,16806.2825
2006-04-11,16693.6521
2006-04-12,16858.0316
2006-04-13,16915.8689
2006-04-17,16711.731
2006-04-18,16471.4276
2006-04-19,16002.9881
2006-04-20,16495.7621
2006-04-21,16629.602
2006-04-24,16456.2185
2006-04-25,16304.1278
2006-04-26,16264.5842
2006-04-27,15768.7683
2006-04-28,16191.5806
2006-05-01,15522.3813
2006-05-02,15863.0646
2006-05-03,15558.8831
2006-05-04,15443.2941
2006-05-05,15915.6076
2006-05-08,15852.2589
2006-05-09,15420.8843
2006-05-10,15481.2164
2006-05-11,15212.7386
2006-05-12,15339.436
2006-05-15,15454.067
2006-05-16,15632.0467
2006-05-17,15659.1961
2006-05-18,15849.2422
2006-05-19,15728.578
2006-05-22,15788.9101
2006-05-23,15704.4452
2006-05-24,15668.246
2006-05-25,15834.1592
2006-05-26,15635.0633
2006-05-30,15957.84
2006-05-31,16259.5005
2006-06-01,16377.1481
2006-06-02,16223.3013
2006-06-05,16105.6537
2006-06-06,16063.4212
2006-06-07,16461.613
2006-06-08,16190.1186
2006-06-09,16018.1721
2006-06-12,15619.9803
2006-06-13,15429.9342
2006-06-14,15604.8972
2006-06-15,15770.8105
2006-06-16,15589.8142
2006-06-19,15665.2293
2006-06-20,15767.7939
2006-06-21,16419.3806
2006-06-22,16226.3179
2006-06-23,16470.6629
2006-06-26,16829.6388
2006-06-27,16615.4599
2006-06-28,16733.1075
2006-06-29,17212.7477
2006-06-30,17279.113
2006-07-03,17321.3454
2006-07-05,17230.8473
2006-07-06,17110.1831
2006-07-07,17315.3122
2006-07-10,17499.3251
2006-07-11,17647.1388
2006-07-12,17644.1222
2006-07-13,17435.9764
2006-07-14,17426.9266
2006-07-17,17523.458
2006-07-18,17511.3916
2006-07-19,18009.1314
2006-07-20,17933.7162
2006-07-21,18036.2808
2006-07-24,18310.7919
2006-07-25,18449.5557
2006-07-26,18232.3601
2006-07-27,18018.1812
2006-07-28,17870.3675
2006-07-31,17897.517
2006-08-01,17948.7993
2006-08-02,17981.9819
2006-08-03,17828.1351
2006-08-04,17827.0373
2006-08-07,17929.9138
2006-08-08,18506.0226
2006-08-09,18508.9619
2006-08-10,18808.7736
2006-08-11,18147.4243
2006-08-14,17915.2172
2006-08-15,18206.2109
2006-08-16,18332.6021
2006-08-17,18373.7527
2006-08-18,18150.3636
2006-08-21,18091.577
2006-08-22,18220.9075
2006-08-23,18165.0603
2006-08-24,18165.0603
2006-08-25,17988.7005
2006-08-28,18262.0582
2006-08-29,18514.8405
2006-08-30,18664.7464
2006-08-31,18626.5351
2006-09-01,18397.2673
2006-09-05,18650.0497
2006-09-06,18223.8469
2006-09-07,18071.0017
2006-09-08,18041.6084
2006-09-11,18526.5979
2006-09-12,18541.2945
2006-09-13,18479.5686
2006-09-14,18132.7276
2006-09-15,18212.0895
2006-09-18,18071.0017
2006-09-19,18476.6293
2006-09-20,18485.4472
2006-09-21,17777.0687
2006-09-22,17635.9808
2006-09-25,16821.7864
2006-09-26,17309.7152
2006-09-27,17130.4161
2006-09-28,17400.8344
2006-09-29,17668.3135
2006-10-02,17562.4976
2006-10-03,17635.9808
2006-10-04,17677.1315
2006-10-05,17556.6189
2006-10-06,16786.5144
2006-10-09,16386.7655
2006-10-10,16589.5793
2006-10-11,16683.6379
2006-10-12,16854.119
2006-10-13,16489.6421
2006-10-16,16713.0312
2006-10-17,16695.3952
2006-10-18,16818.8471
2006-10-19,16880.573
2006-10-20,16895.2696
2006-10-23,16930.5416
2006-10-24,16660.1232
2006-10-25,15810.6568
2006-10-26,16139.8618
2006-10-27,16092.8325
2006-10-30,15778.3242
2006-10-31,15725.4162
2006-11-01,14893.5858
2006-11-02,15108.1569
2006-11-03,15040.5523
2006-11-06,15375.5013
2006-11-07,15255.1968
2006-11-08,14618.4633
2006-11-09,14075.6259
2006-11-10,14066.8232
2006-11-13,14756.3733
2006-11-14,15129.0238
2006-11-15,15275.7366
2006-11-16,15158.3664
2006-11-17,14216.4702
2006-11-20,14289.8266
2006-11-21,14028.6778
2006-11-22,14063.8889
2006-11-24,14060.9547
2006-11-27,14316.2349
2006-11-28,14653.6744
2006-11-29,14958.837
2006-11-30,14732.8993
2006-12-01,14641.9373
2006-12-04,14771.0446
2006-12-05,15255.1968
2006-12-06,15175.9719
2006-12-07,15404.8439
2006-12-08,15219.9858
2006-12-11,15305.0792
2006-12-12,15087.9443
2006-12-13,14982.311
2006-12-14,15090.8785
2006-12-15,15275.7366
2006-12-18,15595.5705
2006-12-19,15369.6328
2006-12-20,15953.5498
2006-12-21,16088.5255
2006-12-22,15780.4287
2006-12-26,15648.3871
2006-12-27,15844.9823
2006-12-28,15715.875
2006-12-29,15680.664
2007-01-03,15607.3076
2007-01-04,15610.2418
2007-01-05,15748.1519
2007-01-08,15765.7574
2007-01-09,15909.5359
2007-01-10,16566.8093
2007-01-11,17033.356
2007-01-12,17227.0169
2007-01-16,17171.266
2007-01-17,17039.2245
2007-01-18,16593.2176
2007-01-19,16625.4944
2007-01-22,16563.875
2007-01-23,16716.4563
2007-01-24,16687.1138
2007-01-25,16910.1172
2007-01-26,17092.0411
2007-01-29,17033.356
2007-01-30,17159.529
2007-01-31,17373.7297
2007-02-01,17605.5359
2007-02-02,17746.3802
2007-02-05,17708.2348
2007-02-06,17884.2902
2007-02-07,17719.9719
2007-02-08,17602.6016
2007-02-09,17538.048
2007-02-12,17543.9165
2007-02-13,17640.747
