Date,CUR_MKT_CAP
2006-01-03,1838.6847
2006-01-04,1826.4889
2006-01-05,1805.8669
2006-01-06,1899.442
2006-01-09,1998.5607
2006-01-10,2020.9566
2006-01-11,2052.1113
2006-01-12,2043.3525
2006-01-13,2312.9908
2006-01-17,2192.8039
2006-01-18,2115.1969
2006-01-19,2139.8103
2006-01-20,2117.6361
2006-01-23,2026.2784
2006-01-24,2093.0227
2006-01-25,2024.2827
2006-01-26,2045.57
2006-01-27,2075.5051
2006-01-30,1951.9948
2006-01-31,1946.8948
2006-02-01,1988.1388
2006-02-02,1923.1684
2006-02-03,1929.3771
2006-02-06,1787.0188
2006-02-07,1787.4623
2006-02-08,1869.2851
2006-02-09,1857.0893
2006-02-10,1857.5327
2006-02-13,1826.4889
2006-02-14,1802.9842
2006-02-15,1911.1943
2006-02-16,1994.791
2006-02-17,2022.5088
2006-02-21,2028.9393
2006-02-22,2026.0567
2006-02-23,2148.4582
2006-02-24,2095.0184
2006-02-27,2086.5922
2006-02-28,2069.7398
2006-03-01,2116.5274
2006-03-02,2194.5806
2006-03-03,2190.5892
2006-03-06,2290.5949
2006-03-07,2232.7202
2006-03-08,2228.2854
2006-03-09,2178.6152
2006-03-10,2351.5739
2006-03-13,2459.1188
2006-03-14,2460.0058
2006-03-15,2514.5543
2006-03-16,2535.1905
2006-03-17,2580.2506
2006-03-20,2563.9665
2006-03-21,2499.7223
2006-03-22,2504.6299
2006-03-23,2553.9283
2006-03-24,2525.1523
2006-03-27,2702.0468
2006-03-28,2565.0818
2006-03-29,2671.0401
2006-03-30,2656.7636
2006-03-31,2811.7972
2006-04-03,2835.2196
2006-04-04,2860.6496
2006-04-05,2850.1653
2006-04-06,2872.0261
2006-04-07,2809.5666
2006-04-10,2743.984
2006-04-11,2752.9068
2006-04-12,2786.1442
2006-04-13,2803.7667
2006-04-17,2849.9422
2006-04-18,2894.3331
2006-04-19,2964.6002
2006-04-20,2968.8385
2006-04-21,3025.9444
2006-04-24,3124.0952
2006-04-25,3174.9552
2006-04-26,3071.2277
2006-04-27,3033.7519
2006-04-28,2887.8641
2006-05-01,3057.8435
2006-05-02,3148.6329
2006-05-03,3106.6958
2006-05-04,3106.2496
2006-05-05,3305.8973
2006-05-08,3382.8564
2006-05-09,3931.3855
2006-05-10,4576.5275
2006-05-11,4194.8088
2006-05-12,3937.8258
2006-05-15,4437.907
2006-05-16,4388.9687
2006-05-17,4252.6243
2006-05-18,4024.3214
2006-05-19,4176.8268
2006-05-22,4059.3749
2006-05-23,4037.9786
2006-05-24,3868.857
2006-05-25,4140.8629
2006-05-26,4169.543
2006-05-30,4081.4541
2006-05-31,4208.0108
2006-06-01,4182.745
2006-06-02,4194.5812
2006-06-05,4097.1598
2006-06-06,3957.8564
2006-06-07,3877.9618
2006-06-08,3664.6819
