Date,CUR_MKT_CAP
2006-01-03,1416.4427
2006-01-04,1359.35
2006-01-05,1355.5438
2006-01-06,1360.9812
2006-01-09,1359.35
2006-01-10,1382.7308
2006-01-11,1351.1939
2006-01-12,1398.4993
2006-01-13,1389.7995
2006-01-17,1400.6743
2006-01-18,1351.1939
2006-01-19,1382.1871
2006-01-20,1276.1578
2006-01-23,1265.8267
2006-01-24,1345.2128
2006-01-25,1554.5527
2006-01-26,1576.846
2006-01-27,1512.6847
2006-01-30,1500.7224
2006-01-31,1498.0037
2006-02-01,1474.0792
2006-02-02,1419.1614
2006-02-03,1419.7052
2006-02-06,1428.9487
2006-02-07,1409.3741
2006-02-08,1366.9624
2006-02-09,1336.5129
2006-02-10,1382.7308
2006-02-13,1371.856
2006-02-14,1337.0567
2006-02-15,1356.6313
2006-02-16,1367.5061
2006-02-17,1358.2625
2006-02-21,1399.5868
2006-02-22,1433.8424
2006-02-23,1397.9556
2006-02-24,1412.3647
2006-02-27,1442.5422
2006-02-28,1457.767
2006-03-01,1459.9419
2006-03-02,1457.767
2006-03-03,1455.0483
2006-03-06,1393.0619
2006-03-07,1384.3621
2006-03-08,1366.4186
2006-03-09,1372.9435
2006-03-10,1389.2557
2006-03-13,1364.7874
2006-03-14,1382.1871
2006-03-15,1365.3312
2006-03-16,1384.9058
2006-03-17,1449.1533
2006-03-20,1499.5442
2006-03-21,1504.5279
2006-03-22,1553.2575
2006-03-23,1566.5474
2006-03-24,1587.5898
2006-03-27,1599.7722
2006-03-28,1552.15
2006-03-29,1617.4921
2006-03-30,1585.9285
2006-03-31,1606.1648
2006-04-03,1558.5173
2006-04-04,1518.6263
2006-04-05,1587.8815
2006-04-06,1565.1658
2006-04-07,1547.9905
2006-04-10,1565.1658
2006-04-11,1580.1249
2006-04-12,1591.2057
2006-04-13,1617.2456
2006-04-17,1617.7997
2006-04-18,1651.0421
2006-04-19,1721.9594
2006-04-20,1723.6215
2006-04-21,1706.4462
2006-04-24,1730.824
2006-04-25,1755.2018
2006-04-26,1744.121
2006-04-27,1733.5942
2006-04-28,1642.1775
2006-05-01,1639.9613
2006-05-02,1673.2038
2006-05-03,1646.0558
2006-05-04,1661.5689
2006-05-05,1678.7442
2006-05-08,1662.123
2006-05-09,1827.0382
2006-05-10,1838.3382
2006-05-11,1769.9433
2006-05-12,1759.8327
2006-05-15,1692.0325
2006-05-16,1704.522
2006-05-17,1670.6218
2006-05-18,1648.0218
