Date,CUR_MKT_CAP
2006-01-03,5815.0144
2006-01-04,5785.0261
2006-01-05,5689.6086
2006-01-06,5755.0377
2006-01-09,5716.8707
2006-01-10,5700.5135
2006-01-11,5735.9542
2006-01-12,5727.7756
2006-01-13,5725.0494
2006-01-17,5755.0377
2006-01-18,5793.2047
2006-01-19,5801.3834
2006-01-20,5763.2164
2006-01-23,5697.7872
2006-01-24,5746.8591
2006-01-25,5719.5969
2006-01-26,5746.8591
2006-01-27,5596.9173
2006-01-30,5520.5833
2006-01-31,5596.9499
2006-02-01,5515.163
2006-02-02,5455.1859
2006-02-03,5419.745
2006-02-06,5526.0679
2006-02-07,5588.7712
2006-02-08,5629.6647
2006-02-09,5667.8319
2006-02-10,5629.6647
2006-02-13,5588.7712
2006-02-14,5583.3188
2006-02-15,5531.5204
2006-02-16,5596.9499
2006-02-17,5673.2843
2006-02-21,5719.6302
2006-02-22,5735.9876
2006-02-23,5648.7483
2006-02-24,5646.022
2006-02-27,5637.8433
2006-02-28,5596.9499
2006-03-01,5572.4138
2006-03-02,5517.8892
2006-03-03,5517.8892
2006-03-06,5485.1745
2006-03-07,5438.8286
2006-03-08,5468.8171
2006-03-09,5466.0909
2006-03-10,5534.6512
2006-03-13,5545.5569
2006-03-14,5621.8969
2006-03-15,5668.2462
2006-03-16,5725.5012
2006-03-17,5725.5012
2006-03-20,5700.9633
2006-03-21,5635.529
2006-03-22,5665.5197
2006-03-23,5670.9726
2006-03-24,5649.1612
2006-03-27,5597.359
2006-03-28,5578.274
2006-03-29,5597.359
2006-03-30,5567.3683
2006-03-31,5512.8397
2006-04-03,5594.6326
2006-04-04,5654.614
2006-04-05,5692.784
2006-04-06,5597.359
2006-04-07,5512.8397
2006-04-10,5510.1133
2006-04-11,5485.5754
2006-04-12,5501.934
2006-04-13,5463.764
2006-04-17,5485.5754
2006-04-18,5621.8969
2006-04-19,5657.3405
2006-04-20,5690.0576
2006-04-21,5679.1519
2006-04-24,5695.5105
2006-04-25,5665.5197
2006-04-26,5600.0854
2006-04-27,5722.7748
2006-04-28,5755.4919
2006-05-01,5684.6048
2006-05-02,5752.7655
2006-05-03,5780.0298
2006-05-04,5777.3033
2006-05-05,5908.6527
2006-05-08,5987.7256
2006-05-09,5916.8327
2006-05-10,5984.9989
2006-05-11,5914.106
2006-05-12,5895.0195
2006-05-15,5870.4796
2006-05-16,5810.4933
2006-05-17,5698.7006
2006-05-18,5698.7006
2006-05-19,5791.4067
2006-05-22,5824.1265
2006-05-23,5734.1471
2006-05-24,5788.6801
2006-05-25,5794.1334
2006-05-26,5785.9534
2006-05-30,5788.6801
2006-05-31,5935.9192
2006-06-01,5965.9124
2006-06-02,5974.0923
2006-06-05,5905.9261
2006-06-06,5897.7461
2006-06-07,5870.4796
2006-06-08,5911.3794
2006-06-09,5971.3657
2006-06-12,5935.9192
2006-06-13,5870.4796
2006-06-14,5867.753
2006-06-15,5957.7324
2006-06-16,5982.2723
2006-06-19,5878.6596
2006-06-20,5878.6596
2006-06-21,5957.7324
2006-06-22,5946.8258
2006-06-23,5971.3657
2006-06-26,5949.5525
2006-06-27,5925.0126
2006-06-28,5957.7324
2006-06-29,5974.0923
2006-06-30,5955.0058
2006-07-03,5971.3657
2006-07-05,6006.8122
2006-07-06,6014.9921
2006-07-07,6074.9784
2006-07-10,6151.3247
2006-07-11,6186.7711
2006-07-12,6137.6914
2006-07-13,6069.5251
2006-07-14,6080.4317
2006-07-17,6066.7985
2006-07-18,6058.6185
2006-07-19,6159.5046
2006-07-20,6214.0376
2006-07-21,6274.024
2006-07-24,6331.2836
2006-07-25,6298.5638
2006-07-26,6339.4636
2006-07-27,6241.3041
2006-07-28,6279.4773
2006-07-31,6203.131
2006-08-01,6263.1173
2006-08-02,6070.5692
2006-08-03,6026.1457
2006-08-04,6034.3297
2006-08-07,5895.2018
2006-08-08,5906.1138
2006-08-09,5892.4738
2006-08-10,5867.9218
2006-08-11,5835.1859
2006-08-14,5857.0098
2006-08-15,5851.5538
2006-08-16,5829.7299
2006-08-17,5794.2659
2006-08-18,5807.9059
2006-08-21,5810.6339
2006-08-22,5805.1779
2006-08-23,5745.162
2006-08-24,5766.9859
2006-08-25,5745.162
2006-08-28,5772.4419
2006-08-29,5756.0739
2006-08-30,5728.794
2006-08-31,5775.1699
2006-09-01,5788.8099
2006-09-05,5794.2659
2006-09-06,5766.9859
2006-09-07,5728.794
2006-09-08,5739.706
2006-09-11,5769.7139
2006-09-12,5756.0739
2006-09-13,5777.8979
2006-09-14,5761.5299
2006-09-15,5747.89
2006-09-18,5734.25
2006-09-19,5777.8979
2006-09-20,5818.8179
2006-09-21,5756.0739
2006-09-22,5758.8019
2006-09-25,5821.5459
2006-09-26,5824.2739
2006-09-27,5911.5698
2006-09-28,5897.9298
2006-09-29,5930.6658
2006-10-02,5993.4097
2006-10-03,5982.4977
2006-10-04,5979.7697
2006-10-05,5947.0337
2006-10-06,5897.9298
2006-10-09,5903.3858
2006-10-10,5919.7538
2006-10-11,5941.5778
2006-10-12,6009.7777
2006-10-13,5993.4097
2006-10-16,6012.5057
2006-10-17,6110.7136
2006-10-18,6219.8335
2006-10-19,6268.9374
2006-10-20,6290.7614
2006-10-23,6342.5933
2006-10-24,6328.9533
2006-10-25,6418.9773
2006-10-26,6424.4332
2006-10-27,6298.9454
2006-10-30,6307.1294
2006-10-31,6348.0493
2006-11-01,6350.7773
2006-11-02,6505.6947
2006-11-03,6451.0938
2006-11-06,6380.1127
2006-11-07,6399.223
2006-11-08,6497.5046
2006-11-09,6497.5046
2006-11-10,6530.2651
2006-11-13,6500.2346
2006-11-14,6508.4248
2006-11-15,6524.805
2006-11-16,6513.8849
2006-11-17,6519.3449
2006-11-20,6541.1853
2006-11-21,6524.805
2006-11-22,6497.5046
2006-11-24,6519.3449
2006-11-27,6429.2535
2006-11-28,6522.075
2006-11-29,6713.1781
2006-11-30,6732.2884
2006-12-01,6669.4974
2006-12-04,6696.7978
2006-12-05,6762.3189
2006-12-06,6729.5583
2006-12-07,6704.9879
2006-12-08,6658.5772
2006-12-11,6644.927
2006-12-12,6647.657
2006-12-13,6677.6875
2006-12-14,6699.5278
2006-12-15,6647.657
2006-12-18,6590.3261
2006-12-19,6595.7862
2006-12-20,6552.1055
2006-12-21,6541.1853
2006-12-22,6571.2158
2006-12-26,6634.0068
2006-12-27,6650.3871
2006-12-28,6593.0561
2006-12-29,6579.4059
2007-01-03,6625.8167
2007-01-04,6601.2463
2007-01-05,6434.7136
2007-01-08,6423.7934
2007-01-09,6442.9037
2007-01-10,6486.5844
2007-01-11,6462.014
2007-01-12,6437.4436
2007-01-16,6453.8239
2007-01-17,6431.9835
2007-01-18,6388.3028
2007-01-19,6355.5423
2007-01-22,6339.162
2007-01-23,6393.7629
2007-01-24,6472.9342
2007-01-25,6538.4552
2007-01-26,6606.7063
2007-01-29,6500.2346
2007-01-30,6521.1797
2007-01-31,6512.9701
2007-02-01,6540.3355
2007-02-02,6551.2817
2007-02-05,6554.0182
2007-02-06,6581.3836
2007-02-07,6595.0663
2007-02-08,6655.2703
2007-02-09,6663.4799
2007-02-12,6614.2221
2007-02-13,6677.1626
2007-02-14,6729.1569
2007-02-15,6696.3184
2007-02-16,6652.5337
2007-02-20,6726.4204
2007-02-21,6658.0068
2007-02-22,6647.0606
2007-02-23,6649.7972
2007-02-26,6699.0549
2007-02-27,6548.5451
2007-02-28,6510.2335
2007-03-01,6525.9024
2007-03-02,6446.4852
2007-03-05,6380.7606
2007-03-06,6476.6089
2007-03-07,6413.6229
2007-03-08,6419.0999
2007-03-09,6449.2237
2007-03-12,6517.6868
2007-03-13,6419.0999
2007-03-14,6441.0081
2007-03-15,6539.595
2007-03-16,6506.7327
2007-03-19,6547.8106
2007-03-20,6627.2278
2007-03-21,6638.1818
2007-03-22,6646.3974
2007-03-23,6668.3056
2007-03-26,6684.7368
2007-03-27,6714.8605
2007-03-28,6690.2138
2007-03-29,6742.2458
2007-03-30,6692.9523
2007-04-02,6818.9244
2007-04-03,6805.2318
2007-04-04,6780.5851
2007-04-05,6805.2318
2007-04-09,6857.2638
2007-04-10,6854.5252
