Date,CUR_MKT_CAP
2006-01-03,2862.1252
2006-01-04,2897.1277
2006-01-05,2921.3602
2006-01-06,2938.8614
2006-01-09,2945.5927
2006-01-10,2967.1326
2006-01-11,2934.8227
2006-01-12,2893.089
2006-01-13,3082.9101
2006-01-17,3026.3676
2006-01-18,3010.2126
2006-01-19,3004.8276
2006-01-20,3031.7526
2006-01-23,3018.2901
2006-01-24,3006.1739
2006-01-25,3015.5976
2006-01-26,3015.5976
2006-01-27,3043.8688
2006-01-30,3006.1739
2006-01-31,2988.6726
2006-02-01,2933.4764
2006-02-02,2917.3214
2006-02-03,2863.4715
2006-02-06,2837.8927
2006-02-07,2866.164
2006-02-08,2905.2052
2006-02-09,2928.0914
2006-02-10,2911.9364
2006-02-13,2897.1277
2006-02-14,2907.8977
2006-02-15,2863.4715
2006-02-16,2793.4665
2006-02-17,2583.4319
2006-02-21,2572.5999
2006-02-22,2609.1579
2006-02-23,2637.5919
2006-02-24,2647.0699
2006-02-27,2649.7779
2006-02-28,2647.0699
2006-03-01,2657.9019
2006-03-02,2599.6799
2006-03-03,2595.6179
2006-03-06,2588.8479
2006-03-07,2553.6439
2006-03-08,2598.3259
2006-03-09,2553.6439
2006-03-10,2546.8739
2006-03-13,2565.8299
2006-03-14,2552.2899
2006-03-15,2541.0075
2006-03-16,2569.4062
2006-03-17,2562.6446
2006-03-20,2551.826
2006-03-21,2535.5982
2006-03-22,2534.2459
2006-03-23,2585.634
2006-03-24,2561.2922
2006-03-27,2657.3069
2006-03-28,2637.0221
2006-03-29,2604.5665
2006-03-30,2637.0221
2006-03-31,2600.5095
2006-04-03,2492.324
2006-04-04,2546.4167
2006-04-05,2542.3598
2006-04-06,2531.5412
2006-04-07,2478.8008
2006-04-10,2493.6763
2006-04-11,2501.7902
2006-04-12,2513.9611
2006-04-13,2491.6974
2006-04-17,2394.302
2006-04-18,2392.9493
2006-04-19,2380.7749
2006-04-20,2440.2943
2006-04-21,2406.4764
2006-04-24,2332.0772
2006-04-25,2326.6664
2006-04-26,2269.8524
2006-04-27,2300.9648
2006-04-28,2299.6121
2006-05-01,2306.3757
2006-05-02,2310.4338
2006-05-03,2299.6121
2006-05-04,2295.554
2006-05-05,2302.3175
2006-05-08,2328.0191
2006-05-09,2473.6715
2006-05-10,2422.2494
2006-05-11,2395.1852
2006-05-12,2361.3549
2006-05-15,2381.6531
2006-05-16,2312.6393
2006-05-17,2300.4604
2006-05-18,2307.2264
2006-05-19,2316.6989
2006-05-22,2320.7585
2006-05-23,2289.6347
2006-05-24,2284.2218
2006-05-25,2276.1025
2006-05-26,2318.0521
2006-05-30,2273.3961
2006-05-31,2276.1025
2006-06-01,2300.4604
2006-06-02,2227.3869
2006-06-05,2186.7906
2006-06-06,2165.1392
2006-06-07,2056.8822
2006-06-08,2028.4648
2006-06-09,2036.584
2006-06-12,2006.8134
2006-06-13,1994.6345
2006-06-14,1970.2766
2006-06-15,2031.1712
2006-06-16,1995.9877
2006-06-19,1958.0977
2006-06-20,1952.6849
2006-06-21,1943.2124
2006-06-22,1945.9188
2006-06-23,1947.272
2006-06-26,1948.6252
2006-06-27,1924.2674
2006-06-28,1928.3271
2006-06-29,1918.8546
2006-06-30,1894.4968
2006-07-03,1898.5564
2006-07-05,1876.905
2006-07-06,1862.0197
2006-07-07,2295.0475
2006-07-10,2369.4742
2006-07-11,2305.8732
2006-07-12,2272.0429
2006-07-13,2226.0337
2006-07-14,2258.5108
2006-07-17,2198.9695
2006-07-18,2123.1896
2006-07-19,2184.0841
2006-07-20,2132.6621
2006-07-21,2062.2951
2006-07-24,2125.896
2006-07-25,2178.6713
2006-07-26,2165.1392
2006-07-27,2167.8456
2006-07-28,2186.7906
2006-07-31,2188.1438
2006-08-01,2205.7355
2006-08-02,2238.2126
2006-08-03,2281.5154
2006-08-04,2288.0571
2006-08-07,2281.2716
2006-08-08,2278.5574
2006-08-09,2221.5596
2006-08-10,2255.4869
2006-08-11,2293.4854
2006-08-14,2345.0549
2006-08-15,2373.5539
2006-08-16,2448.1939
2006-08-17,2511.9773
2006-08-18,2399.3386
2006-08-21,2442.7656
2006-08-22,2425.1234
2006-08-23,2399.3386
2006-08-24,2355.9117
2006-08-25,2396.6244
2006-08-28,2402.0528
2006-08-29,2431.9088
2006-08-30,2471.2645
2006-08-31,2450.9081
2006-09-01,2478.05
2006-09-05,2483.4783
2006-09-06,2459.0507
2006-09-07,2416.9808
2006-09-08,2456.3365
2006-09-11,2520.1198
2006-09-12,2559.4755
2006-09-13,2598.8311
2006-09-14,2579.8319
2006-09-15,2619.1875
2006-09-18,2587.9744
2006-09-19,2578.4748
2006-09-20,2621.9017
2006-09-21,2543.1904
2006-09-22,2571.6893
2006-09-25,2674.8283
2006-09-26,2621.9017
2006-09-27,2628.6872
2006-09-28,2598.8311
2006-09-29,2619.1875
2006-10-02,2647.6865
2006-10-03,2674.8283
