Date,CUR_MKT_CAP
2006-01-03,13931.7568
2006-01-04,13805.5003
2006-01-05,13825.0918
2006-01-06,13942.641
2006-01-09,14040.5987
2006-01-10,14199.5078
2006-01-11,14182.0931
2006-01-12,13925.2263
2006-01-13,13888.2201
2006-01-17,13735.8415
2006-01-18,13707.5426
2006-01-19,13812.0308
2006-01-20,13644.4144
2006-01-23,13524.6883
2006-01-24,13609.585
2006-01-25,13459.3832
2006-01-26,13609.585
2006-01-27,13711.8963
2006-01-30,13404.9623
2006-01-31,13237.3458
2006-02-01,13384.1505
2006-02-02,13066.2633
2006-02-03,13101.3405
2006-02-06,13099.1481
2006-02-07,13094.7635
2006-02-08,12974.1856
2006-02-09,13373.1889
2006-02-10,13655.999
2006-02-13,13601.1908
2006-02-14,13618.7294
2006-02-15,13912.5011
2006-02-16,13941.0014
2006-02-17,13954.1553
2006-02-21,13807.2695
2006-02-22,13998.0018
2006-02-23,14044.0407
2006-02-24,13954.1553
2006-02-27,14022.1174
2006-02-28,13921.2704
2006-03-01,14085.6949
2006-03-02,14015.5404
2006-03-03,13945.386
2006-03-06,13921.2704
2006-03-07,13816.0388
2006-03-08,13919.0781
2006-03-09,13962.9246
2006-03-10,14151.4647
2006-03-13,13923.4627
2006-03-14,14096.6565
2006-03-15,14042.2513
2006-03-16,14247.295
2006-03-17,14465.2887
2006-03-20,14435.0718
2006-03-21,14333.6291
2006-03-22,14460.972
2006-03-23,14478.2389
2006-03-24,14378.9546
2006-03-27,14331.4708
2006-03-28,14318.5207
2006-03-29,14622.8486
2006-03-30,14698.391
2006-03-31,14618.5319
2006-04-03,14568.8897
2006-04-04,14506.2975
2006-04-05,14627.1653
2006-04-06,14776.0917
2006-04-07,14694.0743
2006-04-10,11793.2464
2006-04-11,11730.6043
2006-04-12,11676.7448
2006-04-13,11715.5236
2006-04-17,11629.3484
2006-04-18,11676.7448
2006-04-19,11859.8671
2006-04-20,11795.2357
2006-04-21,11702.5973
2006-04-24,11538.8644
2006-04-25,11418.219
2006-04-26,11631.5028
2006-04-27,12254.1188
2006-04-28,12361.8379
2006-05-01,12333.8309
2006-05-02,12404.9255
2006-05-03,12704.3845
2006-05-04,12973.6821
2006-05-05,13186.9658
2006-05-08,13436.0962
2006-05-09,13466.5093
2006-05-10,13264.4791
2006-05-11,13214.5146
2006-05-12,13166.7225
2006-05-15,13244.9278
2006-05-16,13251.4449
2006-05-17,13121.1028
2006-05-18,13090.6896
2006-05-19,13181.9291
2006-05-22,13134.137
2006-05-23,13016.8291
2006-05-24,12960.3476
2006-05-25,13281.858
2006-05-26,13527.3356
2006-05-30,13268.8238
2006-05-31,13273.1686
2006-06-01,13646.8158
2006-06-02,13581.6448
2006-06-05,13255.7896
2006-06-06,13205.8251
2006-06-07,13199.308
2006-06-08,12925.5897
2006-06-09,13001.6225
2006-06-12,12699.6634
2006-06-13,12378.1529
2006-06-14,12067.5043
2006-06-15,12434.6345
2006-06-16,12289.0858
2006-06-19,12482.4266
2006-06-20,12441.1516
2006-06-21,12591.045
2006-06-22,12612.7687
2006-06-23,12601.9068
2006-06-26,12749.6279
2006-06-27,12638.8371
2006-06-28,12554.1147
2006-06-29,13079.8278
2006-06-30,13108.0686
2006-07-03,13362.2356
2006-07-05,13338.3396
2006-07-06,13205.8251
2006-07-07,12882.1423
2006-07-10,12947.3133
2006-07-11,12862.591
2006-07-12,12838.6949
