Date,CUR_MKT_CAP
2007-01-05,40297.6799
2007-01-08,39809.2232
2007-01-09,39076.5381
2007-01-10,39809.2232
2007-01-11,40053.4515
2007-01-12,41518.8217
2007-01-16,41909.5871
2007-01-17,41763.0501
2007-01-18,41811.8958
2007-01-19,41909.5871
2007-01-22,41763.0501
2007-01-23,41763.0501
2007-01-24,41860.7414
2007-01-25,41538.36
2007-01-26,41030.365
2007-01-29,41059.6724
2007-01-30,40541.9083
2007-01-31,41274.5934
2007-02-01,41567.6674
2007-02-02,41274.5934
2007-02-05,41518.8217
2007-02-06,41128.0563
2007-02-07,41274.5934
2007-02-08,40786.1366
2007-02-09,40297.6799
2007-02-12,40053.4515
2007-02-13,39711.5318
2007-02-14,40639.5996
2007-02-15,40541.9083
2007-02-16,40688.4453
2007-02-20,40532.1391
2007-02-21,40053.4515
2007-02-22,39564.9948
2007-02-23,40053.4515
2007-02-26,38930.0011
2007-02-27,36927.3285
2007-02-28,37855.3963
2007-03-01,38031.2407
2007-03-02,36731.9458
2007-03-05,35168.8843
2007-03-06,35549.8805
2007-03-07,36048.1064
2007-03-08,35891.8002
2007-03-09,35950.415
2007-03-12,35637.8027
2007-03-13,35618.2645
2007-03-14,35657.341
2007-03-15,35930.8768
2007-03-16,36780.7915
2007-03-19,37122.7112
2007-03-20,37415.7852
2007-03-21,37376.7087
2007-03-22,37269.2482
2007-03-23,37318.0939
2007-03-26,36927.3285
2007-03-27,36575.6396
2007-03-28,36487.7174
2007-03-29,36194.6434
2007-03-30,36604.9471
2007-04-02,36194.6434
2007-04-03,36360.7187
2007-04-04,36243.4891
2007-04-05,36145.7977
2007-04-09,36096.9521
2007-04-10,36487.7174
2007-04-11,37161.7877
2007-04-12,37757.7049
2007-04-13,38412.2369
2007-04-16,38539.2357
2007-04-17,37796.7815
2007-04-18,37865.1654
2007-04-19,37640.4753
2007-04-20,37660.0136
2007-04-23,36995.7124
2007-04-24,36438.8718
2007-04-25,36331.4113
2007-04-26,35921.1076
2007-04-27,35676.8793
2007-04-30,35969.9533
2007-05-01,35383.8052
2007-05-02,36096.9521
2007-05-03,36985.9433
2007-05-04,36907.7902
2007-05-07,37122.7112
2007-05-08,36487.7174
2007-05-09,36126.2595
2007-05-10,35999.2607
2007-05-11,36214.1817
2007-05-14,35833.1854
2007-05-15,36067.6447
2007-05-16,36722.1767
2007-05-17,36790.5606
2007-05-18,37025.0198
2007-05-21,37425.5544
2007-05-22,37630.7062
2007-05-23,37523.2457
2007-05-24,37357.1704
2007-05-25,37660.0136
2007-05-29,37884.7037
2007-05-30,37953.0876
2007-05-31,37523.2457
2007-06-01,37787.0123
2007-06-04,37562.3222
2007-06-05,37366.9395
2007-06-06,37259.4791
2007-06-07,36810.0989
2007-06-08,37249.7099
2007-06-11,37366.9395
2007-06-12,36751.4841
2007-06-13,37191.0951
2007-06-14,37308.3247
2007-06-15,37718.6284
2007-06-18,38197.316
2007-06-19,38216.8542
2007-06-20,38392.6987
2007-06-21,38705.311
2007-06-22,38588.0814
2007-06-25,38490.39
