Date,CUR_MKT_CAP
2006-01-03,83999.988
2006-01-04,86460.8171
2006-01-05,87456.2087
2006-01-06,86682.0152
2006-01-09,87041.4622
2006-01-10,93358.1131
2006-01-11,94480.4188
2006-01-12,94834.8311
2006-01-13,95041.5716
2006-01-17,92974.1664
2006-01-18,91999.5325
2006-01-19,91959.5206
2006-01-20,90554.6648
2006-01-23,90730.2717
2006-01-24,90408.3256
2006-01-25,91842.4493
2006-01-26,92720.4841
2006-01-27,94066.8043
2006-01-30,93364.3764
2006-01-31,92661.9485
2006-02-01,93071.6981
2006-02-02,92310.7345
2006-02-03,92515.6093
2006-02-06,92340.0024
2006-02-07,92193.6632
2006-02-08,95383.8566
2006-02-09,95588.7314
2006-02-10,97110.6586
2006-02-13,96408.2307
2006-02-14,98105.7648
2006-02-15,99949.638
2006-02-16,101120.3512
2006-02-17,101793.5113
2006-02-21,100534.9946
2006-02-22,99481.3528
2006-02-23,99276.478
2006-02-24,98954.5318
2006-02-27,99686.2276
2006-02-28,98632.5857
2006-03-01,100095.9772
2006-03-02,99510.6206
2006-03-03,98281.3718
2006-03-06,98720.3892
2006-03-07,98076.497
2006-03-08,97871.6221
2006-03-09,98281.3718
2006-03-10,100066.7094
2006-03-13,100447.1912
2006-03-14,100653.4513
2006-03-15,100653.4513
2006-03-16,101033.9383
2006-03-17,100711.9878
2006-03-20,100155.8913
2006-03-21,100536.3784
2006-03-22,101882.7171
2006-03-23,101619.303
2006-03-24,102351.0088
2006-03-27,102233.9358
2006-03-28,101121.743
2006-03-29,102497.3499
2006-03-30,100946.1336
2006-03-31,99687.5996
2006-04-03,100741.256
2006-04-04,101268.0842
2006-04-05,100799.7925
2006-04-06,98575.4068
2006-04-07,98897.3574
2006-04-10,97990.0421
2006-04-11,95824.1929
2006-04-12,96643.7035
2006-04-13,96029.0706
2006-04-17,95033.9507
2006-04-18,97170.5316
2006-04-19,95882.7294
2006-04-20,95297.3648
2006-04-21,95180.2918
2006-04-24,94536.3907
2006-04-25,95121.7554
2006-04-26,96819.3129
2006-04-27,97521.7504
2006-04-28,96672.9717
2006-05-01,95970.5341
2006-05-02,95531.5106
2006-05-03,95531.5106
2006-05-04,95999.8023
2006-05-05,96643.7035
2006-05-08,96351.0211
2006-05-09,95830.7402
2006-05-10,94342.957
2006-05-11,93059.3794
2006-05-12,92738.485
2006-05-15,91950.835
2006-05-16,92475.935
2006-05-17,89879.6075
2006-05-18,88712.7187
2006-05-19,90142.1574
2006-05-22,89821.263
2006-05-23,90054.6408
2006-05-24,89704.5742
2006-05-25,90871.4629
2006-05-26,91863.3184
2006-05-30,90171.3297
2006-05-31,91046.4962
2006-06-01,93234.4127
2006-06-02,93176.0682
2006-06-05,92038.3517
2006-06-06,92475.935
2006-06-07,92884.3461
2006-06-08,92359.2461
2006-06-09,91892.4906
2006-06-12,91396.5629
2006-06-13,92038.3517
2006-06-14,92242.5572
2006-06-15,93905.3737
2006-06-16,94926.4014
2006-06-19,93847.0293
2006-06-20,95509.8458
2006-06-21,95889.0846
2006-06-22,95509.8458
2006-06-23,95772.3958
2006-06-26,95626.5347
2006-06-27,94634.6792
2006-06-28,95130.6069
2006-06-29,97143.4901
2006-06-30,97697.7622
2006-07-03,97872.7955
2006-07-05,97114.3178
2006-07-06,96326.6679
2006-07-07,95422.3291
2006-07-10,96209.979
2006-07-11,95363.9847
2006-07-12,94226.2681
2006-07-13,92592.6239
2006-07-14,92242.5572
2006-07-17,92125.8684
2006-07-18,92125.8684
2006-07-19,94284.6126
2006-07-20,94080.407
2006-07-21,92971.8627
2006-07-24,95072.2625
2006-07-25,96064.118
2006-07-26,97522.7289
2006-07-27,97201.8345
2006-07-28,98397.8955
2006-07-31,98660.4455
2006-08-01,97055.9734
2006-08-02,97814.4511
2006-08-03,97697.7622
2006-08-04,97889.8888
2006-08-07,96527.4888
2006-08-08,97223.1825
2006-08-09,98063.8122
2006-08-10,98382.6718
2006-08-11,98759.5059
2006-08-14,98324.6973
2006-08-15,99687.0973
2006-08-16,99223.3016
2006-08-17,99223.3016
2006-08-18,99774.059
2006-08-21,100063.9314
2006-08-22,100295.8292
2006-08-23,99687.0973
2006-08-24,100440.7654
2006-08-25,100585.7016
2006-08-28,101310.3824
2006-08-29,101977.0888
2006-08-30,102585.8207
2006-08-31,101977.0888
2006-09-01,103107.5909
2006-09-05,102904.6803
2006-09-06,102759.7441
2006-09-07,102353.9229
2006-09-08,102614.808
2006-09-11,103020.6292
2006-09-12,103890.2463
2006-09-13,103629.3611
2006-09-14,104296.0675
2006-09-15,103803.2845
2006-09-18,103658.3484
2006-09-19,104354.042
2006-09-20,106296.1867
2006-09-21,106962.893
2006-09-22,107542.6377
2006-09-25,108702.1271
2006-09-26,110035.5398
2006-09-27,106615.0462
2006-09-28,107078.842
2006-09-29,107629.5994
2006-10-02,107658.5867
2006-10-03,108615.1654
2006-10-04,109629.7186
2006-10-05,106991.8803
2006-10-06,106673.0207
2006-10-09,106354.1611
2006-10-10,105919.3526
2006-10-11,106093.276
2006-10-12,107223.7781
2006-10-13,107397.7016
2006-10-16,107368.7143
2006-10-17,106064.2888
2006-10-18,106064.2888
2006-10-19,107861.4973
2006-10-20,109571.7441
2006-10-23,110209.4632
2006-10-24,110151.4888
2006-10-25,111021.1058
2006-10-26,112296.5441
2006-10-27,112586.4164
2006-10-30,109136.9356
2006-10-31,107252.7654
2006-11-01,107165.8037
2006-11-02,107223.7781
2006-11-03,106383.1484
2006-11-06,107194.7909
2006-11-07,107642.5321
2006-11-08,107613.3369
2006-11-09,105423.7004
2006-11-10,103905.5524
2006-11-13,104956.5779
2006-11-14,106241.1647
2006-11-15,105365.3101
2006-11-16,104927.3828
2006-11-17,105219.3343
2006-11-20,101219.5983
2006-11-21,102562.5753
2006-11-22,101453.1595
2006-11-24,101453.1595
2006-11-27,99964.2066
2006-11-28,100431.3291
2006-11-29,101861.8916
2006-11-30,102007.8674
2006-12-01,101132.0128
2006-12-04,101745.111
2006-12-05,100956.8419
2006-12-06,102037.0626
2006-12-07,101891.0868
2006-12-08,103088.0881
2006-12-11,104197.5039
2006-12-12,104401.87
2006-12-13,104723.0167
2006-12-14,105365.3101
2006-12-15,106503.9211
2006-12-18,106679.092
2006-12-19,107029.4339
2006-12-20,106416.3356
2006-12-21,107087.8242
2006-12-22,106708.2872
2006-12-26,107292.1902
2006-12-27,108430.8012
2006-12-28,108956.314
2006-12-29,108722.7528
2007-01-03,110416.0717
2007-01-04,111029.1699
2007-01-05,109131.4849
2007-01-08,107467.3612
2007-01-09,107905.2885
2007-01-10,107292.1902
2007-01-11,108343.2158
2007-01-12,108985.5092
2007-01-16,108489.1916
2007-01-17,107671.7272
2007-01-18,109686.1929
2007-01-19,108751.9479
2007-01-22,108751.9479
2007-01-23,109452.6316
2007-01-24,111145.9505
2007-01-25,109481.8268
2007-01-26,110445.2669
2007-01-29,111029.1699
2007-01-30,112634.9034
2007-01-31,112459.7325
2007-02-01,110941.5845
2007-02-02,111437.9021
2007-02-05,111204.3409
2007-02-06,111175.1457
2007-02-07,111204.3409
2007-02-08,110795.6087
2007-02-09,110065.7299
2007-02-12,109686.1929
2007-02-13,111058.3651
2007-02-14,112780.8792
2007-02-15,112109.3906
2007-02-16,112401.3422
2007-02-20,111700.6585
2007-02-21,111788.2439
2007-02-22,112226.1712
2007-02-23,112138.5858
2007-02-26,112080.1955
2007-02-27,106941.8484
2007-02-28,109189.8752
2007-03-01,107957.0509
2007-03-02,106152.9169
2007-03-05,105134.4541
2007-03-06,106152.9169
2007-03-07,103825.002
2007-03-08,106152.9169
2007-03-09,106065.6201
2007-03-12,106443.9062
2007-03-13,105134.4541
2007-03-14,105570.9382
2007-03-15,105803.7296
2007-03-16,105687.3339
2007-03-19,106938.5881
2007-03-20,107607.8637
2007-03-21,109644.7891
2007-03-22,110605.054
2007-03-23,110925.1423
2007-03-26,109615.6902
2007-03-27,109673.8881
2007-03-28,108335.337
2007-03-29,109324.7008
2007-03-30,110343.1636
2007-04-02,110081.2732
2007-04-03,110925.1423
2007-04-04,110634.1529
2007-04-05,110575.9551
2007-04-09,110575.9551
2007-04-10,109993.9764
2007-04-11,108771.8211
2007-04-12,108742.7221
2007-04-13,108800.92
2007-04-16,110197.6689
2007-04-17,109004.6126
2007-04-18,108888.2168
2007-04-19,109150.1072
2007-04-20,110314.0647
2007-04-23,109266.503
2007-04-24,109411.9977
2007-04-25,109557.4923
2007-04-26,110488.6583
2007-04-27,110255.8668
2007-04-30,111099.7359
2007-05-01,112060.0008
2007-05-02,115231.7848
2007-05-03,119509.3283
2007-05-04,118050.7709
2007-05-07,118544.3427
2007-05-08,117934.6363
2007-05-09,119502.4528
2007-05-10,118399.1745
2007-05-11,120054.0919
2007-05-14,120779.9328
2007-05-15,123509.0948
2007-05-16,124089.7675
2007-05-17,122347.7492
2007-05-18,123654.2629
2007-05-21,123509.0948
2007-05-22,123712.3302
2007-05-23,123886.532
2007-05-24,123509.0948
2007-05-25,123392.9602
2007-05-29,125425.3148
2007-05-30,127225.4004
2007-05-31,126383.4249
2007-06-01,124873.6757
2007-06-04,124699.4739
2007-06-05,124147.8348
2007-06-06,124612.373
2007-06-07,123654.2629
2007-06-08,125047.8776
2007-06-11,126325.3576
2007-06-12,125076.9112
2007-06-13,124554.3057
2007-06-14,125483.3821
2007-06-15,124815.6085
2007-06-18,123538.1284
2007-06-19,125047.8776
2007-06-20,123509.0948
2007-06-21,123218.7584
2007-06-22,120867.0337
2007-06-25,120489.5964
2007-06-26,119241.15
2007-06-27,118805.6454
2007-06-28,119241.15
2007-06-29,119531.4864
2007-07-02,120721.8655
2007-07-03,122289.682
2007-07-05,121883.211
2007-07-06,120634.7646
2007-07-09,121999.3456
2007-07-10,117644.2999
2007-07-11,118457.2418
2007-07-12,120286.361
2007-07-13,121244.471
2007-07-16,124147.8348
2007-07-17,122696.1529
2007-07-18,121854.1774
2007-07-19,122696.1529
2007-07-20,122754.2202
2007-07-23,124234.9357
2007-07-24,125164.0121
2007-07-25,125483.3821
2007-07-26,123102.6238
2007-07-27,121941.2783
2007-07-30,120518.6301
2007-07-31,123706.2669
2007-08-01,125505.8418
2007-08-02,125186.5624
2007-08-03,124083.5971
2007-08-06,126028.2991
2007-08-07,125128.5116
2007-08-08,125360.7148
2007-08-09,121674.4887
2007-08-10,119961.9899
2007-08-13,120890.8028
2007-08-14,118888.05
2007-08-15,117552.8815
2007-08-16,116769.1956
2007-08-17,118423.6436
2007-08-20,119323.431
2007-08-21,121064.9552
2007-08-22,121384.2346
2007-08-23,122342.0729
2007-08-24,123764.3177
2007-08-27,123619.1907
2007-08-28,120513.4726
2007-08-29,122574.2762
2007-08-30,121703.5141
2007-08-31,121558.3871
2007-09-04,123851.3939
2007-09-05,121761.5649
2007-09-06,122661.3524
2007-09-07,119991.0153
2007-09-10,119729.7867
2007-09-11,121529.3617
2007-09-12,121529.3617
2007-09-13,123677.2415
2007-09-14,123416.0128
2007-09-17,123619.1907
2007-09-18,125709.0197
2007-09-19,127073.2136
2007-09-20,127131.2644
2007-09-21,128814.7378
2007-09-24,128060.0773
2007-09-25,127914.9503
2007-09-26,129104.9918
2007-09-27,129685.4999
2007-09-28,128524.4837
2007-10-01,131775.3289
2007-10-02,131601.1764
2007-10-03,131310.9224
2007-10-04,131833.3797
2007-10-05,131252.8716
2007-10-08,130498.2111
2007-10-09,132413.8877
2007-10-10,132442.9131
2007-10-11,132588.0401
2007-10-12,132152.6591
2007-10-15,129540.3728
2007-10-16,130411.1349
2007-10-17,131368.9732
2007-10-18,130527.2365
2007-10-19,128495.4583
2007-10-22,128669.6108
2007-10-23,130062.8301
2007-10-24,128930.8394
2007-10-25,130353.0841
2007-10-26,132355.8369
2007-10-29,133487.8276
2007-10-30,131105.2395
2007-10-31,133157.3717
2007-11-01,129313.2366
2007-11-02,128272.7188
2007-11-05,126654.1356
2007-11-06,126422.9095
2007-11-07,124573.1001
2007-11-08,123503.6791
2007-11-09,123619.2921
2007-11-12,123706.002
2007-11-13,125960.4571
2007-11-14,125787.0375
2007-11-15,124399.6805
2007-11-16,126278.3931
2007-11-19,124428.5837
2007-11-20,124746.5197
2007-11-21,121249.2239
2007-11-23,123243.5496
2007-11-26,119168.1883
2007-11-27,119832.9636
2007-11-28,122578.7744
2007-11-29,122781.0973
2007-11-30,124891.0361
2007-12-03,124544.1968
2007-12-04,126596.3291
2007-12-05,128677.3646
2007-12-06,128388.3319
