Date,CUR_MKT_CAP
2011-12-30,3579.49
2012-01-03,3565.7
2012-01-04,3490.84
2012-01-05,3451.44
2012-01-06,3404.16
2012-01-09,3283.99
2012-01-10,3345.06
2012-01-11,3252.47
2012-01-12,3085.02
2012-01-13,3085.02
2012-01-17,3051.53
2012-01-18,3023.95
2012-01-19,2921.51
2012-01-20,2905.75
2012-01-23,2972.73
2012-01-24,3016.07
2012-01-25,3187.46
2012-01-26,3090.93
2012-01-27,3161.85
2012-01-30,3226.86
2012-01-31,3246.56
2012-02-01,3254.44
2012-02-02,3250.5
2012-02-03,3240.65
2012-02-06,3283.99
2012-02-07,3410.07
2012-02-08,3571.61
2012-02-09,3508.57
2012-02-10,3455.38
2012-02-13,3455.38
2012-02-14,3463.26
2012-02-15,3546.0
2012-02-16,3648.44
2012-02-17,3717.39
2012-02-21,3750.88
2012-02-22,3628.74
2012-02-23,3750.88
2012-02-24,3707.54
2012-02-27,3679.96
2012-02-28,3694.4826
2012-02-29,3607.0863
2012-03-01,3642.8393
2012-03-02,3541.539
2012-03-05,3640.853
2012-03-06,3619.0039
2012-03-07,3642.8393
2012-03-08,3744.1396
2012-03-09,3708.3866
2012-03-12,3656.7433
2012-03-13,3829.5497
2012-03-14,3817.632
2012-03-15,3817.632
2012-03-16,3869.2753
2012-03-19,3907.0147
2012-03-20,3762.0162
2012-03-21,3813.6595
2012-03-22,3712.3591
2012-03-23,3779.8927
2012-03-26,3821.6046
2012-03-27,3889.1381
2012-03-28,3734.2082
2012-03-29,3607.0863
2012-03-30,3577.292
2012-04-02,3664.6884
2012-04-03,3696.4689
2012-04-04,3619.0039
2012-04-05,3477.978
2012-04-09,3374.6914
2012-04-10,3283.3225
2012-04-11,3182.0221
2012-04-12,3243.5968
2012-04-13,3168.1182
2012-04-16,3126.4063
2012-04-17,3187.981
2012-04-18,3086.6806
2012-04-19,3094.6258
2012-04-20,3078.7355
2012-04-23,3066.1602
2012-04-24,3107.8901
2012-04-25,3197.3115
2012-04-26,3350.3215
2012-04-27,3417.8843
2012-04-30,3491.4085
2012-05-01,3515.2542
2012-05-02,3405.9614
2012-05-03,3322.5015
2012-05-04,3304.6172
2012-05-07,3348.4017
2012-05-08,3378.2094
2012-05-09,3485.5172
2012-05-10,3481.5429
2012-05-11,3463.6582
2012-05-14,3408.0171
2012-05-15,3304.6837
2012-05-16,3286.799
2012-05-17,3143.7219
2012-05-18,3054.2987
2012-05-21,3177.504
2012-05-22,3149.6835
2012-05-23,3286.799
2012-05-24,3171.5425
2012-05-25,3165.5809
2012-05-29,3189.4271
2012-05-30,2988.7217
2012-05-31,2915.196
2012-06-01,2801.9266
2012-06-04,2809.8754
2012-06-05,2859.5549
2012-06-06,2943.0166
2012-06-07,2803.9138
2012-06-08,2786.0292
2012-06-11,2754.2343
2012-06-12,2835.7087
2012-06-13,2656.8623
2012-06-14,2776.0933
2012-06-15,2939.0422
2012-06-18,2939.0422
2012-06-19,3060.2603
2012-06-20,2966.8627
2012-06-21,2945.0037
2012-06-22,3028.4654
2012-06-25,2921.1576
2012-06-26,2950.9653
2012-06-27,3185.4528
2012-06-28,3197.3758
2012-06-29,3215.2605
2012-07-02,3159.6194
2012-07-03,3117.8886
2012-07-05,3036.4141
2012-07-06,3107.9527
2012-07-09,2982.7602
2012-07-10,2837.6959
2012-07-11,2927.1191
2012-07-12,2881.4139
2012-07-13,2974.8115
2012-07-16,2909.2345
2012-07-17,2937.055
2012-07-18,2939.0422
2012-07-19,3036.4141
2012-07-20,3088.0808
2012-07-23,2998.6576
2012-07-24,2933.0806
2012-07-25,2933.0806
2012-07-26,2990.7089
2012-07-27,3010.5807
2012-07-30,3197.3758
2012-07-31,3169.5553
2012-08-01,3165.5809
2012-08-02,2925.1319
2012-08-03,2997.4913
2012-08-06,3019.3853
2012-08-07,3049.2408
2012-08-08,3019.3853
2012-08-09,3106.9614
2012-08-10,3071.1348
2012-08-13,2965.6454
2012-08-14,2975.5973
2012-08-15,2901.9537
2012-08-16,2903.9441
2012-08-17,2925.8381
2012-08-20,2901.9537
2012-08-21,2925.8381
2012-08-22,2895.9826
2012-08-23,2854.1849
2012-08-24,2949.7225
2012-08-27,2983.5587
2012-08-28,3025.3564
2012-08-29,3083.077
2012-08-30,3057.2023
2012-08-31,3104.9711
2012-09-04,3154.7302
2012-09-05,3146.7687
2012-09-06,3256.2389
2012-09-07,3274.1522
2012-09-10,3218.4219
2012-09-11,3304.0077
2012-09-12,3355.7572
2012-09-13,3397.5549
2012-09-14,3479.1599
2012-09-17,3469.208
2012-09-18,3313.9595
2012-09-19,3385.6127
2012-09-20,3383.6223
2012-09-21,3417.4585
2012-09-24,3331.8728
2012-09-25,3268.1811
2012-09-26,3244.2967
2012-09-27,3329.8824
2012-09-28,3302.0173
2012-10-01,3411.4874
2012-10-02,3383.6223
2012-10-03,3304.0077
2012-10-04,3377.6512
2012-10-05,3401.5356
2012-10-08,3419.4489
2012-10-09,3546.8323
2012-10-10,3457.2658
2012-10-11,3602.5626
2012-10-12,3554.7938
2012-10-15,3471.1984
2012-10-16,3522.9479
2012-10-17,3497.0732
2012-10-18,3556.7841
2012-10-19,3520.9576
2012-10-22,3443.3333
2012-10-23,3377.6512
2012-10-24,3335.8535
2012-10-25,3373.6705
2012-10-26,3387.603
2012-10-31,3371.6801
2012-11-01,3220.9006
2012-11-02,3163.1355
2012-11-05,3193.014
2012-11-06,3161.1436
2012-11-07,3021.7107
2012-11-08,3003.7836
2012-11-09,3027.6864
2012-11-12,3037.6459
2012-11-13,3045.6135
2012-11-14,3009.7593
2012-11-15,3015.735
2012-11-16,3061.5487
2012-11-19,3185.0464
2012-11-20,3189.0302
2012-11-21,3236.8358
2012-11-23,3294.6009
2012-11-26,3191.0221
2012-11-27,3175.0869
2012-11-28,3187.0383
2012-11-29,3169.1112
2012-11-30,3145.2085
2012-12-03,3125.2895
2012-12-04,3069.5163
2012-12-05,3133.2571
2012-12-06,3139.2328
2012-12-07,3109.3543
2012-12-10,3055.573
2012-12-11,3103.3786
2012-12-12,3115.33
2012-12-13,3069.5163
2012-12-14,3085.4515
2012-12-17,3129.2733
2012-12-18,3141.2247
2012-12-19,3091.4272
2012-12-20,3073.5001
2012-12-21,3033.6621
2012-12-24,2987.8484
2012-12-26,3019.7188
2012-12-27,2950.0024
2012-12-28,2936.0591
2012-12-31,2963.9456
2013-01-02,3031.6702
2013-01-03,3101.3867
2013-01-04,3133.2571
2013-01-07,3165.1274
2013-01-08,3009.7593
2013-01-09,2922.1158
2013-01-10,2924.1077
2013-01-11,2959.9618
2013-01-14,2928.0915
2013-01-15,2946.0186
2013-01-16,2844.4317
2013-01-17,2882.2778
2013-01-18,2904.1887
2013-01-22,2951.9943
2013-01-23,2985.8565
2013-01-24,2914.1482
2013-01-25,2934.0672
2013-01-28,2900.2049
2013-01-29,2932.0753
2013-01-30,2977.8889
2013-01-31,2993.8241
2013-02-01,3003.7836
2013-02-04,2946.0186
2013-02-05,3027.6864
2013-02-06,3083.4596
2013-02-07,3035.654
2013-02-08,3113.3381
2013-02-11,3041.6297
2013-02-12,3031.6702
2013-02-13,3065.5325
2013-02-14,3031.6702
2013-02-15,2940.0429
2013-02-19,2997.8079
2013-02-20,2967.9294
2013-02-21,2910.1644
2013-02-22,2967.9294
2013-02-25,2840.4479
2013-02-26,2856.3831
2013-02-27,2888.2535
2013-02-28,2839.8772
2013-03-01,2867.8958
2013-03-04,2883.9064
2013-03-05,2947.9487
2013-03-06,3030.0029
2013-03-07,3168.0942
2013-03-08,3252.1498
2013-03-11,3256.1524
2013-03-12,3226.1326
2013-03-13,3202.1167
2013-03-14,3360.2212
2013-03-15,3372.2291
2013-03-18,3330.2014
2013-03-19,3304.1842
2013-03-20,3294.1776
2013-03-21,3192.1101
2013-03-22,3242.1432
2013-03-25,3228.1339
2013-03-26,3280.1683
2013-03-27,3250.1484
2013-03-28,3206.1193
2013-04-01,3166.0929
2013-04-02,3102.0506
2013-04-03,3001.9844
2013-04-04,3072.0307
2013-04-05,3232.1365
2013-04-08,3404.2503
2013-04-09,3422.2622
2013-04-10,3488.3059
2013-04-11,3528.3323
2013-04-12,3460.2874
2013-04-15,3270.1617
2013-04-16,3268.1604
2013-04-17,3232.1365
2013-04-18,3288.1736
2013-04-19,3278.167
2013-04-22,3206.1193
2013-04-23,3166.0929
2013-04-24,3168.0942
2013-04-25,3148.081
2013-04-26,3150.0823
2013-04-29,3148.081
2013-04-30,3128.0678
2013-05-01,3072.0307
2013-05-02,3156.0863
2013-05-03,3316.1921
2013-05-06,3280.1683
2013-05-07,3324.1974
2013-05-08,3344.2106
2013-05-09,3342.2093
2013-05-10,3426.2649
2013-05-13,3506.3178
2013-05-14,3612.3879
2013-05-15,3650.413
2013-05-16,3618.3919
2013-05-17,3694.4421
2013-05-20,3954.6141
2013-05-21,4032.6657
2013-05-22,3942.6062
2013-05-23,4004.5721
2013-05-24,3992.5584
2013-05-28,3992.5584
2013-05-29,3950.5104
2013-05-30,3946.5058
2013-05-31,3856.403
2013-06-03,3956.5173
2013-06-04,4002.5699
2013-06-05,3846.3915
2013-06-06,3780.3161
2013-06-07,3864.4121
2013-06-10,3864.4121
2013-06-11,3764.2978
2013-06-12,3786.323
2013-06-13,3848.3938
2013-06-14,3804.3435
2013-06-17,3950.5104
2013-06-18,4074.6522
2013-06-19,3988.5539
2013-06-20,3764.2978
2013-06-21,3828.371
2013-06-24,3846.3915
2013-06-25,3852.3984
2013-06-26,3920.4761
2013-06-27,3868.4167
2013-06-28,3792.3298
2013-07-01,3790.3275
2013-07-02,3770.3047
2013-07-03,3778.3138
2013-07-05,3792.3298
2013-07-08,3834.3778
2013-07-09,3826.3687
2013-07-10,3906.4601
2013-07-11,3962.5241
2013-07-12,3974.5379
2013-07-15,3966.5287
2013-07-16,3974.5379
2013-07-17,4002.5699
2013-07-18,4064.6407
2013-07-19,4054.6293
2013-07-22,3972.5356
2013-07-23,3918.4738
2013-07-24,3872.4213
2013-07-25,3934.4921
2013-07-26,3908.4624
2013-07-29,3818.3595
2013-07-30,3816.3573
2013-07-31,3846.3915
2013-08-01,3785.0906
2013-08-02,3845.2669
2013-08-05,3951.5784
2013-08-06,3919.4844
2013-08-07,3825.2082
2013-08-08,3889.3962
2013-08-09,3843.2611
2013-08-12,3799.1318
2013-08-13,3710.8732
2013-08-14,3694.8261
2013-08-15,3706.8614
2013-08-16,3805.1494
2013-08-19,3775.0612
