Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-22,UBS,Not Provided,5,buy 2,121.5
2005-12-21,Bear Stearns & Co,Not Provided,5,outperform,121.5
2005-12-19,FBR Capital Markets,Not Provided,5,outperform,118.64
2005-12-16,"Capital One Securities, Inc.",Not Provided,5,buy,108.63
2005-12-16,Oppenheimer & Co,12 month,5,buy,128.64
2005-12-09,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,105.77
2005-12-08,Soleil Securities,Not Provided,5,buy,128.64
2005-12-05,Stanford Group,12 month,5,buy,108.63
2005-11-28,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2
2005-11-21,Fearnley Securities,12 month,5,buy,130.07
2005-11-14,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2005-11-09,Morgan Stanley,Not Provided,3,Equalwt/Attractive,102.92
2005-11-09,RBC Capital Markets,Not Provided,3,sector perform,108.63
2005-11-09,Credit Suisse,12 month,5,outperform,104.35
2005-11-09,Jefferies,12 month,5,buy,107.2
2005-11-09,Raymond James,Not Provided,5,strong buy,110.06
2005-11-09,Fearnley Securities,6 month,5,buy,130.07
2005-11-09,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-11-09,Aperion Group LLC,12 month,5,buy,187.61
2005-11-09,Barclays,Not Provided,5,overwt/positive,104.35
2005-11-08,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-05-06,First Global Stockbroking,Not Provided,5,buy,85.76
2004-12-20,Argus Research Corp,Not Provided,3,hold,-0.0
2004-09-14,Goldman Sachs,Not Provided,5,outperform,-0.0
2003-09-09,Weeden & Co,Not Provided,5,buy,47.17
2006-02-01,Scotia Howard Weil Inc,Not Provided,5,buy,147.23
2006-02-01,"Capital One Securities, Inc.",Not Provided,5,buy,120.07
2006-02-01,Oppenheimer & Co,12 month,5,buy,128.64
2006-02-01,Barclays,Not Provided,5,overwt/positive,143.65
2006-01-26,Raymond James,12 month,5,outperform,122.93
2006-01-20,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-01-19,Morgan Stanley,Not Provided,3,Equalwt/Attractive,137.22
2006-01-11,Aperion Group LLC,12 month,5,buy,200.11
2006-01-04,RBC Capital Markets,Not Provided,3,sector perform,138.65
2005-12-22,UBS,Not Provided,5,buy 2,121.5
2005-12-21,Bear Stearns & Co,Not Provided,5,outperform,121.5
2005-12-19,FBR Capital Markets,Not Provided,5,outperform,118.64
2005-12-09,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,105.77
2005-12-08,Soleil Securities,Not Provided,5,buy,128.64
2005-12-05,Stanford Group,12 month,5,buy,108.63
2005-11-28,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2
2005-11-14,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2005-11-09,Credit Suisse,12 month,5,outperform,104.35
2005-11-09,Jefferies,12 month,5,buy,107.2
2005-11-09,Fearnley Securities,6 month,5,buy,130.07
2005-11-08,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-05-06,First Global Stockbroking,Not Provided,5,buy,85.76
2004-12-20,Argus Research Corp,Not Provided,3,hold,-0.0
2004-09-14,Goldman Sachs,Not Provided,5,outperform,-0.0
2003-09-09,Weeden & Co,Not Provided,5,buy,47.17
2006-02-28,UBS,Not Provided,5,buy 2,134.36
2006-02-28,"Capital One Securities, Inc.",Not Provided,5,buy,120.07
2006-02-28,Oppenheimer & Co,12 month,5,buy,150.09
2006-02-24,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2006-02-15,Credit Suisse,12 month,5,outperform,137.22
2006-02-15,Jefferies,12 month,5,buy,131.5
2006-02-15,FBR Capital Markets,Not Provided,5,outperform,144.37
2006-02-15,Fearnley Securities,6 month,5,buy,142.94
2006-02-15,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-02-15,Aperion Group LLC,12 month,5,buy,200.11
2006-02-15,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,145.8
2006-02-14,Stanford Group,12 month,3,hold,108.63
2006-02-09,Barclays,Not Provided,5,overwt/positive,143.65
2006-02-07,Bear Stearns & Co,Not Provided,5,outperform,142.94
2006-02-01,Scotia Howard Weil Inc,Not Provided,5,buy,147.23
2006-01-26,Raymond James,12 month,5,outperform,122.93
2006-01-19,Morgan Stanley,Not Provided,3,Equalwt/Attractive,137.22
2006-01-04,RBC Capital Markets,Not Provided,3,sector perform,138.65
2005-12-08,Soleil Securities,Not Provided,5,buy,128.64
2005-11-28,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2
2005-11-08,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-05-06,First Global Stockbroking,Not Provided,5,buy,85.76
2004-12-20,Argus Research Corp,Not Provided,3,hold,-0.0
2004-09-14,Goldman Sachs,Not Provided,5,outperform,-0.0
2003-09-09,Weeden & Co,Not Provided,5,buy,47.17
2006-03-28,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2006-03-27,"Capital One Securities, Inc.",Not Provided,5,buy,155.8
2006-03-06,Soleil Securities,Not Provided,5,buy,253.0
2006-02-28,UBS,Not Provided,5,buy 2,134.36
2006-02-28,Oppenheimer & Co,12 month,5,buy,150.09
2006-02-24,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2006-02-15,Credit Suisse,12 month,5,outperform,137.22
2006-02-15,Jefferies,12 month,5,buy,131.5
2006-02-15,FBR Capital Markets,Not Provided,5,outperform,144.37
2006-02-15,Fearnley Securities,6 month,5,buy,142.94
2006-02-15,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-02-15,Aperion Group LLC,12 month,5,buy,200.11
2006-02-15,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,145.8
2006-02-14,Stanford Group,12 month,3,hold,108.63
2006-02-09,Barclays,Not Provided,5,overwt/positive,143.65
2006-02-07,Bear Stearns & Co,Not Provided,5,outperform,142.94
2006-02-01,Scotia Howard Weil Inc,Not Provided,5,buy,147.23
2006-01-26,Raymond James,12 month,5,outperform,122.93
2006-01-19,Morgan Stanley,Not Provided,3,Equalwt/Attractive,137.22
2006-01-04,RBC Capital Markets,Not Provided,3,sector perform,138.65
2005-11-28,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2
2005-11-08,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-05-06,First Global Stockbroking,Not Provided,5,buy,85.76
2004-12-20,Argus Research Corp,Not Provided,3,hold,-0.0
2003-09-09,Weeden & Co,Not Provided,5,buy,47.17
2006-05-01,Morgan Stanley,Not Provided,1,Underwt/Attractive,-0.0
2006-04-20,UBS,Not Provided,5,buy 2,150.09
2006-04-19,"Capital One Securities, Inc.",Not Provided,5,buy,160.09
2006-04-07,Redwood Brokerage,Not Provided,5,buy,137.22
2006-04-07,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,145.8
2006-04-04,FBR Capital Markets,Not Provided,5,outperform,147.23
2006-03-28,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2006-03-06,Soleil Securities,Not Provided,5,buy,253.0
2006-02-28,Oppenheimer & Co,12 month,5,buy,150.09
2006-02-24,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2006-02-15,Credit Suisse,12 month,5,outperform,137.22
2006-02-15,Jefferies,12 month,5,buy,131.5
2006-02-15,Fearnley Securities,6 month,5,buy,142.94
2006-02-15,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-02-15,Aperion Group LLC,12 month,5,buy,200.11
2006-02-14,Stanford Group,12 month,3,hold,108.63
2006-02-09,Barclays,Not Provided,5,overwt/positive,143.65
2006-02-07,Bear Stearns & Co,Not Provided,5,outperform,142.94
2006-02-01,Scotia Howard Weil Inc,Not Provided,5,buy,147.23
2006-01-26,Raymond James,12 month,5,outperform,122.93
2006-01-04,RBC Capital Markets,Not Provided,3,sector perform,138.65
2005-11-28,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2
2005-11-08,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-05-06,First Global Stockbroking,Not Provided,5,buy,85.76
2004-12-20,Argus Research Corp,Not Provided,3,hold,-0.0
2003-09-09,Weeden & Co,Not Provided,5,buy,47.17
2006-06-01,Bernstein,Not Provided,3,market perform,84.33
2006-05-30,"Capital One Securities, Inc.",Not Provided,5,buy,162.95
2006-05-24,Credit Suisse,12 month,5,outperform,151.52
2006-05-17,Scotia Howard Weil Inc,12 month,5,buy,145.8
2006-05-12,FBR Capital Markets,Not Provided,5,outperform,147.23
2006-05-08,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-05-08,Raymond James,12 month,5,outperform,150.09
2006-05-05,RBC Capital Markets,Not Provided,5,outperform,182.96
2006-05-05,Oppenheimer & Co,12 month,5,buy,150.09
2006-05-05,Fearnley Securities,6 month,5,buy,145.8
2006-05-05,Stanford Group,12 month,3,hold,124.36
2006-05-05,Barclays,Not Provided,5,overwt/positive,143.65
2006-05-04,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,151.52
2006-05-01,Morgan Stanley,Not Provided,1,Underwt/Attractive,-0.0
2006-04-20,UBS,Not Provided,5,buy 2,150.09
2006-04-07,Redwood Brokerage,Not Provided,5,buy,137.22
2006-03-28,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2006-03-06,Soleil Securities,Not Provided,5,buy,253.0
2006-02-24,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2006-02-15,Jefferies,12 month,5,buy,131.5
2006-02-15,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-02-15,Aperion Group LLC,12 month,5,buy,200.11
2006-02-07,Bear Stearns & Co,Not Provided,5,outperform,142.94
2005-11-08,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-05-06,First Global Stockbroking,Not Provided,5,buy,85.76
2004-12-20,Argus Research Corp,Not Provided,3,hold,-0.0
2003-09-09,Weeden & Co,Not Provided,5,buy,47.17
2006-06-30,"Capital One Securities, Inc.",Not Provided,5,buy,162.95
2006-06-28,Bernstein,Not Provided,3,market perform,84.33
2006-06-26,Goldman Sachs,Not Provided,3,in-line/attractive,145.8
2006-06-23,RBC Capital Markets,Not Provided,5,outperform,182.96
2006-06-23,Oppenheimer & Co,12 month,5,buy,150.09
2006-06-21,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,151.52
