Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-23,Bear Stearns & Co,Not Provided,5,outperform,28.0
2005-12-23,Credit Suisse,12 month,5,outperform,22.0
2005-12-22,Baird,Not Provided,3,neutral,18.0
2005-12-22,Gleacher & Company,Not Provided,3,hold,-0.0
2005-12-21,Pacific Crest Securities,Not Provided,3,sector perform,-0.0
2005-12-21,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2005-12-21,Susquehanna Financial,Not Provided,4,Positive,-0.0
2005-12-02,Needham & Co,12 month,5,strong buy,21.0
2005-12-02,Piper Jaffray,12 month,5,outperform,21.0
2005-11-29,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2005-11-04,EVA Dimensions,Not Provided,3,hold,-0.0
2005-10-21,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-10-19,Lehman Brothers,Not Provided,5,overwt/neutral,23.0
2005-10-19,Raymond James,Not Provided,1,underperform,-0.0
2005-10-13,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-09-16,Argus Research Corp,Not Provided,5,buy,-0.0
2005-04-20,Howe Barnes Hoefer & Arnett Inc,Not Provided,5,buy,-0.0
2005-02-09,Craig-Hallum Capital Group LLC,12 month,5,buy,25.0
2006-01-19,Lehman Brothers,Not Provided,5,overwt/neutral,30.0
2006-01-19,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,36.0
2006-01-19,Credit Suisse,12 month,5,outperform,30.0
2006-01-19,Kaufman Bros,Not Provided,5,buy,28.0
2006-01-19,Needham & Co,12 month,5,strong buy,32.0
2006-01-19,Pacific Crest Securities,Not Provided,3,sector perform,-0.0
2006-01-19,Baird,Not Provided,3,neutral,26.0
2006-01-19,Raymond James,Not Provided,1,underperform,-0.0
2006-01-19,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2006-01-19,Gleacher & Company,Not Provided,3,hold,28.0
2006-01-19,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-01-19,Piper Jaffray,Not Provided,3,market perform,27.0
2006-01-18,Howe Barnes Hoefer & Arnett Inc,Not Provided,5,buy,31.0
2006-01-12,EVA Dimensions,Not Provided,5,buy,-0.0
2005-10-21,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-10-13,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-09-16,Argus Research Corp,Not Provided,5,buy,-0.0
2005-02-09,Craig-Hallum Capital Group LLC,12 month,5,buy,25.0
2006-02-24,Credit Suisse,12 month,5,outperform,35.0
2006-02-16,FTN Equity Capital Markets Corp.,12 month,5,buy,33.0
2006-02-09,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2006-02-09,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-19,Lehman Brothers,Not Provided,5,overwt/neutral,30.0
2006-01-19,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,36.0
2006-01-19,Kaufman Bros,Not Provided,5,buy,28.0
2006-01-19,Needham & Co,12 month,5,strong buy,32.0
2006-01-19,Pacific Crest Securities,Not Provided,3,sector perform,-0.0
2006-01-19,Baird,Not Provided,3,neutral,26.0
2006-01-19,Raymond James,Not Provided,1,underperform,-0.0
2006-01-19,Gleacher & Company,Not Provided,3,hold,28.0
2006-01-19,Susquehanna Financial,Not Provided,4,Positive,-0.0
2005-10-21,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-10-13,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-09-16,Argus Research Corp,Not Provided,5,buy,-0.0
2005-02-09,Craig-Hallum Capital Group LLC,12 month,5,buy,25.0
2006-03-22,Gleacher & Company,Not Provided,5,buy,30.0
2006-03-07,Kaufman Bros,Not Provided,5,buy,28.0
2006-02-24,Credit Suisse,12 month,5,outperform,35.0
2006-02-16,FTN Equity Capital Markets Corp.,12 month,5,buy,33.0
2006-02-09,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2006-02-09,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-19,Lehman Brothers,Not Provided,5,overwt/neutral,30.0
2006-01-19,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
