Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-12,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,35.0
2005-11-22,Argus Research Corp,Not Provided,3,hold,-0.0
2005-11-15,BB&T Capital Markets,12 month,5,buy,40.0
2005-11-10,Barclays,Not Provided,5,overwt/neutral,40.5
2005-10-31,Morgan Stanley,Not Provided,5,Overwt/In-Line,43.0
2005-09-29,EVA Dimensions,Not Provided,5,strong buy,-0.0
2005-07-07,UBS,Not Provided,3,neutral 1,37.0
2005-05-31,Edward Jones,Not Provided,5,buy,-0.0
2005-02-04,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2003-09-29,Argus Research Corp,Not Provided,3,hold,-0.0
2006-02-01,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-30,Argus Research Corp,Not Provided,5,buy,-0.0
2006-01-27,Credit Suisse,12 month,5,outperform,41.0
2006-01-26,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-01-26,Edward Jones,Not Provided,5,buy,-0.0
2006-01-05,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,39.0
2005-11-15,BB&T Capital Markets,12 month,5,buy,40.0
2005-11-10,Barclays,Not Provided,5,overwt/neutral,40.5
2005-10-31,Morgan Stanley,Not Provided,5,Overwt/In-Line,43.0
2005-07-07,UBS,Not Provided,3,neutral 1,37.0
2003-09-29,Argus Research Corp,Not Provided,3,hold,-0.0
2006-02-01,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-30,Argus Research Corp,Not Provided,5,buy,-0.0
2006-01-27,Credit Suisse,12 month,5,outperform,41.0
2006-01-26,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-01-26,Edward Jones,Not Provided,5,buy,-0.0
2006-01-05,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,39.0
2005-11-15,BB&T Capital Markets,12 month,5,buy,40.0
2005-11-10,Barclays,Not Provided,5,overwt/neutral,40.5
2005-10-31,Morgan Stanley,Not Provided,5,Overwt/In-Line,43.0
2005-07-07,UBS,Not Provided,3,neutral 1,37.0
2003-09-29,Argus Research Corp,Not Provided,3,hold,-0.0
2006-03-30,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,40.0
2006-03-20,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-03-03,Credit Suisse,12 month,5,outperform,41.0
2006-02-01,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-30,Argus Research Corp,Not Provided,5,buy,-0.0
2006-01-26,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-01-26,Edward Jones,Not Provided,5,buy,-0.0
2005-11-15,BB&T Capital Markets,12 month,5,buy,40.0
2005-11-10,Barclays,Not Provided,5,overwt/neutral,40.5
2005-10-31,Morgan Stanley,Not Provided,5,Overwt/In-Line,43.0
2005-07-07,UBS,Not Provided,3,neutral 1,37.0
2003-09-29,Argus Research Corp,Not Provided,3,hold,-0.0
2006-04-19,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-03-30,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,40.0
2006-03-20,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-03-03,Credit Suisse,12 month,5,outperform,41.0
2006-02-01,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-30,Argus Research Corp,Not Provided,5,buy,-0.0
2006-01-26,Edward Jones,Not Provided,5,buy,-0.0
2005-11-15,BB&T Capital Markets,12 month,5,buy,40.0
2005-11-10,Barclays,Not Provided,5,overwt/neutral,40.5
2005-10-31,Morgan Stanley,Not Provided,5,Overwt/In-Line,43.0
2005-07-07,UBS,Not Provided,3,neutral 1,37.0
2003-09-29,Argus Research Corp,Not Provided,3,hold,-0.0
2006-05-24,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-05-04,Argus Research Corp,12 month,5,buy,41.0
2006-05-04,UBS,Not Provided,3,neutral 1,38.0
2006-05-04,BB&T Capital Markets,12 month,5,buy,40.0
2006-05-03,Credit Suisse,12 month,5,outperform,41.0
2006-05-02,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-04-19,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-03-30,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,40.0
2006-01-26,Edward Jones,Not Provided,5,buy,-0.0
2005-11-10,Barclays,Not Provided,5,overwt/neutral,40.5
2005-10-31,Morgan Stanley,Not Provided,5,Overwt/In-Line,43.0
2003-09-29,Argus Research Corp,Not Provided,3,hold,-0.0
2006-06-30,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-06-15,Credit Suisse,12 month,5,outperform,41.0
2006-05-24,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-05-04,Argus Research Corp,12 month,5,buy,41.0
2006-05-04,UBS,Not Provided,3,neutral 1,38.0
2006-05-04,BB&T Capital Markets,12 month,5,buy,40.0
2006-05-02,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-04-19,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-03-30,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,40.0
