Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-29,Credit Suisse,12 month,5,outperform,21.1
2005-12-16,EVA Dimensions,Not Provided,3,hold,-0.0
2005-12-12,Baird,Not Provided,5,outperform,21.83
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-12-02,UBS,12 month,5,buy 2,23.05
2005-12-02,Thomas Weisel Partners,12 month,3,peerperform,16.5
2005-12-02,Susquehanna Financial,Not Provided,3,neutral,-0.0
2005-12-01,Raymond James,Not Provided,3,market perform,-0.0
2005-11-08,Barclays,Not Provided,3,equalwt/neutral,18.92
2005-05-26,Goldman Sachs,Not Provided,1,underperform,-0.0
2005-03-29,J.P. Morgan,Not Provided,5,overweight,-0.0
2004-12-22,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2004-09-20,Bear Stearns & Co,12 month,3,peerperform,15.28
2006-01-31,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-01-26,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2006-01-26,Credit Suisse,12 month,5,outperform,23.29
2006-01-26,Baird,Not Provided,5,outperform,24.74
2006-01-26,Raymond James,Not Provided,3,market perform,-0.0
2006-01-26,Barclays,Not Provided,3,equalwt/neutral,21.35
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-01-25,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-01-17,EVA Dimensions,Not Provided,1,sell,-0.0
2006-01-06,UBS,Not Provided,3,neutral 2,23.05
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-05-26,Goldman Sachs,Not Provided,1,underperform,-0.0
2005-03-29,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-02-13,EVA Dimensions,Not Provided,3,hold,-0.0
2006-01-31,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-01-26,Credit Suisse,12 month,5,outperform,23.29
2006-01-26,Baird,Not Provided,5,outperform,24.74
2006-01-26,Raymond James,Not Provided,3,market perform,-0.0
2006-01-26,Barclays,Not Provided,3,equalwt/neutral,21.35
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-01-25,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-01-06,UBS,Not Provided,3,neutral 2,23.05
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-05-26,Goldman Sachs,Not Provided,1,underperform,-0.0
2005-03-29,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-03-02,Baird,Not Provided,5,outperform,24.74
2006-02-13,EVA Dimensions,Not Provided,3,hold,-0.0
2006-01-31,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-01-26,Credit Suisse,12 month,5,outperform,23.29
2006-01-26,Raymond James,Not Provided,3,market perform,-0.0
2006-01-26,Barclays,Not Provided,3,equalwt/neutral,21.35
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2006-01-25,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-01-06,UBS,Not Provided,3,neutral 2,23.05
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-05-26,Goldman Sachs,Not Provided,1,underperform,-0.0
2005-03-29,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-04-27,UBS,Not Provided,3,neutral 2,22.32
2006-04-27,Baird,Not Provided,5,outperform,25.71
2006-04-27,Raymond James,Not Provided,3,market perform,-0.0
2006-04-27,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-04-26,Credit Suisse,12 month,5,outperform,24.26
2006-04-26,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-04-26,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-04-13,Barclays,Not Provided,3,equalwt/neutral,23.29
2006-02-13,EVA Dimensions,Not Provided,3,hold,-0.0
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-05-26,Goldman Sachs,Not Provided,1,underperform,-0.0
2006-05-19,EVA Dimensions,Not Provided,3,hold,-0.0
2006-04-27,UBS,Not Provided,3,neutral 2,22.32
2006-04-27,Baird,Not Provided,5,outperform,25.71
2006-04-27,Raymond James,Not Provided,3,market perform,-0.0
2006-04-27,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-04-26,Credit Suisse,12 month,5,outperform,24.26
2006-04-26,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-04-26,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-04-13,Barclays,Not Provided,3,equalwt/neutral,23.29
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-05-26,Goldman Sachs,Not Provided,1,underperform,-0.0
2006-06-26,Goldman Sachs,12 month,1,underperf/neutral,16.01
2006-06-13,Baird,Not Provided,5,outperform,25.71
2006-06-09,Credit Suisse,12 month,5,outperform,24.26
2006-06-09,UBS,Not Provided,3,neutral 2,21.83
2006-05-19,EVA Dimensions,Not Provided,3,hold,-0.0
2006-04-27,Raymond James,Not Provided,3,market perform,-0.0
2006-04-27,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-04-26,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-04-26,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-04-13,Barclays,Not Provided,3,equalwt/neutral,23.29
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-07-26,Goldman Sachs,12 month,1,underperf/neutral,15.77
2006-07-26,Credit Suisse,12 month,5,outperform,24.26
2006-07-26,Baird,Not Provided,5,outperform,24.74
2006-07-26,Raymond James,Not Provided,3,market perform,-0.0
2006-07-26,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-07-26,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-07-06,EVA Dimensions,Not Provided,5,buy,-0.0
2006-06-09,UBS,Not Provided,3,neutral 2,21.83
2006-04-26,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-04-13,Barclays,Not Provided,3,equalwt/neutral,23.29
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-08-08,Raymond James,Not Provided,3,market perform,-0.0
2006-08-07,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-07-26,Goldman Sachs,12 month,1,underperf/neutral,15.77
2006-07-26,Credit Suisse,12 month,5,outperform,24.26
2006-07-26,Baird,Not Provided,5,outperform,24.74
2006-07-26,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-07-06,EVA Dimensions,Not Provided,5,buy,-0.0
2006-06-09,UBS,Not Provided,3,neutral 2,21.83
2006-04-26,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-04-13,Barclays,Not Provided,3,equalwt/neutral,23.29
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-09-13,Goldman Sachs,12 month,1,Sell/Neutral,19.65
2006-09-09,UBS,12 month,2,reduce 2,21.83
2006-08-08,Raymond James,Not Provided,3,market perform,-0.0
2006-08-07,Susquehanna Financial,Not Provided,3,neutral,-0.0
2006-07-26,Credit Suisse,12 month,5,outperform,24.26
2006-07-26,Baird,Not Provided,5,outperform,24.74
2006-07-26,Thomas Weisel Partners,12 month,3,peerperform,18.92
2006-07-06,EVA Dimensions,Not Provided,5,buy,-0.0
2006-04-26,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-04-13,Barclays,Not Provided,3,equalwt/neutral,23.29
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-12-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-10-23,Barclays,Not Provided,3,equalwt/neutral,24.26
2006-10-20,Baird,Not Provided,5,outperform,25.71
2006-10-03,EVA Dimensions,Not Provided,5,buy,-0.0
2006-09-13,Goldman Sachs,12 month,1,Sell/Neutral,19.65
2006-09-09,UBS,12 month,2,reduce 2,21.83
