Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-20,Credit Suisse,12 month,3,neutral,16.75
2005-12-20,UBS,12 month,3,neutral 2,16.46
2005-12-19,Stifel,Not Provided,5,buy,20.22
2005-12-19,Oppenheimer & Co,Not Provided,5,buy,17.91
2005-12-19,Barclays,Not Provided,3,equalwt/neutral,16.75
2005-12-14,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-11-22,Jefferies,12 month,5,buy,19.64
2005-11-22,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-11-21,Bernstein,12 month,3,market perform,16.75
2005-11-09,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-11-09,Prudential Equity Group Inc,Not Provided,3,neutral weight,16.75
2005-11-08,Atlantic Equities LLP,Not Provided,3,neutral,-0.0
2005-11-07,Janco Partners Inc,Not Provided,5,buy,18.5
2005-10-26,Morgan Stanley,Not Provided,3,Equalwt/Cautious,17.91
2005-10-26,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-10-26,Kaufman Bros,Not Provided,1,sell,13.28
2005-10-25,Buckingham Research Group,Not Provided,1,underperform,12.13
2005-10-14,"Miller Tabak + Co., LLC",6 month,5,buy,18.48
2005-07-18,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-06-22,Argus Research Corp,Not Provided,1,sell,-0.0
2005-06-20,Guzman & Company,12 month,1,underperform,18.48
2005-04-08,Tradition Asiel Securities Inc.,12 month,5,buy,21.95
2005-02-28,CIBC World Markets,Not Provided,3,sector perform,18.48
2004-11-04,Cathay Financial,Not Provided,5,outperform,13.86
2006-02-01,Stifel,Not Provided,5,buy,20.22
2006-02-01,Oppenheimer & Co,Not Provided,5,buy,17.91
2006-01-27,Bernstein,12 month,3,market perform,16.75
2006-01-13,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0
2006-01-11,"Miller Tabak + Co., LLC",6 month,5,buy,16.17
2005-12-20,Credit Suisse,12 month,3,neutral,16.75
2005-12-20,UBS,12 month,3,neutral 2,16.46
2005-12-19,Barclays,Not Provided,3,equalwt/neutral,16.75
2005-12-14,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-11-22,Jefferies,12 month,5,buy,19.64
2005-11-22,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-11-09,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-11-09,Prudential Equity Group Inc,Not Provided,3,neutral weight,16.75
2005-11-08,Atlantic Equities LLP,Not Provided,3,neutral,-0.0
2005-11-07,Janco Partners Inc,Not Provided,5,buy,18.5
2005-10-26,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-10-26,Kaufman Bros,Not Provided,1,sell,13.28
2005-10-25,Buckingham Research Group,Not Provided,1,underperform,12.13
2005-07-18,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-06-22,Argus Research Corp,Not Provided,1,sell,-0.0
2005-06-20,Guzman & Company,12 month,1,underperform,18.48
2005-04-08,Tradition Asiel Securities Inc.,12 month,5,buy,21.95
2005-02-28,CIBC World Markets,Not Provided,3,sector perform,18.48
2004-11-04,Cathay Financial,Not Provided,5,outperform,13.86
2006-03-01,UBS,Not Provided,5,buy 2,18.48
2006-03-01,Guzman & Company,12 month,1,underperform,15.02
2006-02-28,Jefferies,12 month,5,buy,19.64
2006-02-28,Kaufman Bros,Not Provided,1,sell,13.28
2006-02-28,Bernstein,12 month,3,market perform,16.75
2006-02-28,Janco Partners Inc,Not Provided,5,buy,20.79
2006-02-28,"Miller Tabak + Co., LLC",6 month,5,buy,16.75
