Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-22,UBS,Not Provided,3,neutral 2,23.5
2005-12-21,Morgan Stanley,Not Provided,5,Overwt/Attractive,23.0
2005-12-21,Bear Stearns & Co,Not Provided,5,outperform,25.0
2005-12-20,FBR Capital Markets,12 month,5,outperform,22.0
2005-12-20,Barclays,Not Provided,5,overwt/positive,20.5
2005-12-19,"Capital One Securities, Inc.",Not Provided,5,buy,23.0
2005-12-16,Credit Suisse,12 month,3,neutral,21.0
2005-12-16,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,21.25
2005-11-23,Stanford Group,12 month,5,buy,21.5
2005-11-10,EVA Dimensions,Not Provided,3,hold,-0.0
2005-11-07,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-11-02,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2005-10-28,RBC Capital Markets,Not Provided,3,sector perform,20.5
2005-10-28,Jefferies,Not Provided,5,buy,22.5
2005-10-28,Raymond James,Not Provided,3,market perform,-0.0
2005-05-31,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-02-10,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-02-01,Morgan Stanley,12 month,3,Equalwt/Attractive,30.0
2006-02-01,Bear Stearns & Co,Not Provided,5,outperform,27.5
2006-02-01,Credit Suisse,12 month,3,neutral,27.0
2006-02-01,Scotia Howard Weil Inc,Not Provided,3,hold,26.0
2006-02-01,Jefferies,Not Provided,5,buy,28.5
2006-02-01,"Capital One Securities, Inc.",Not Provided,5,buy,28.5
2006-02-01,Raymond James,Not Provided,3,market perform,-0.0
2006-02-01,FBR Capital Markets,12 month,5,outperform,27.0
2006-02-01,Barclays,Not Provided,5,overwt/positive,28.5
2006-02-01,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,27.5
2006-01-31,RBC Capital Markets,Not Provided,5,outperform,29.5
2006-01-31,UBS,Not Provided,3,neutral 2,25.5
2006-01-31,Stanford Group,12 month,5,buy,27.0
2005-11-10,EVA Dimensions,Not Provided,3,hold,-0.0
2005-11-07,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-11-02,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2005-05-31,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-02-10,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-02-27,EVA Dimensions,Not Provided,3,hold,-0.0
2006-02-17,Argus Research Corp,Not Provided,5,buy,-0.0
2006-02-02,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2006-02-01,Morgan Stanley,12 month,3,Equalwt/Attractive,30.0
2006-02-01,Bear Stearns & Co,Not Provided,5,outperform,27.5
2006-02-01,Credit Suisse,12 month,3,neutral,27.0
2006-02-01,Scotia Howard Weil Inc,Not Provided,3,hold,26.0
2006-02-01,Jefferies,Not Provided,5,buy,28.5
2006-02-01,"Capital One Securities, Inc.",Not Provided,5,buy,28.5
2006-02-01,Raymond James,Not Provided,3,market perform,-0.0
2006-02-01,FBR Capital Markets,12 month,5,outperform,27.0
2006-02-01,Barclays,Not Provided,5,overwt/positive,28.5
2006-02-01,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,27.5
2006-01-31,RBC Capital Markets,Not Provided,5,outperform,29.5
2006-01-31,UBS,Not Provided,3,neutral 2,25.5
2006-01-31,Stanford Group,12 month,5,buy,27.0
2005-11-07,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-05-31,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-02-10,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-03-28,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-03-21,UBS,12 month,5,buy 2,25.5
2006-03-21,EVA Dimensions,Not Provided,5,buy,-0.0
2006-03-06,Morgan Stanley,12 month,3,Equalwt/Attractive,28.0
2006-03-03,RBC Capital Markets,Not Provided,5,outperform,29.5
2006-02-17,Argus Research Corp,Not Provided,5,buy,-0.0
2006-02-02,Johnson Rice & Co,Not Provided,5,overweight,-0.0
2006-02-01,Bear Stearns & Co,Not Provided,5,outperform,27.5
2006-02-01,Credit Suisse,12 month,3,neutral,27.0
2006-02-01,Scotia Howard Weil Inc,Not Provided,3,hold,26.0
2006-02-01,Jefferies,Not Provided,5,buy,28.5
2006-02-01,"Capital One Securities, Inc.",Not Provided,5,buy,28.5
