Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-13,J.P. Morgan,Not Provided,1,underweight,-0.0
2005-12-01,Stifel,Not Provided,3,hold,-0.0
2005-11-28,SunTrust Robinson Humphrey,12 month,5,buy,9.0
2005-11-25,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-11-25,Susquehanna Financial,Not Provided,4,Positive,-0.0
2005-11-23,D.A. Davidson & Co,18 month,3,neutral,8.5
2005-11-23,Piper Jaffray,Not Provided,5,outperform,9.62
2005-10-17,Credit Suisse,12 month,5,outperform,9.0
2005-09-26,Prudential Equity Group Inc,Not Provided,3,neutral weight,8.25
2005-09-09,EVA Dimensions,Not Provided,5,strong buy,-0.0
2005-02-15,Stephens Inc,Not Provided,5,overweight,-0.0
2006-01-24,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-03,SunTrust Robinson Humphrey,12 month,5,buy,9.0
2005-12-13,J.P. Morgan,Not Provided,1,underweight,-0.0
2005-12-01,Stifel,Not Provided,3,hold,-0.0
2005-11-25,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-11-25,Susquehanna Financial,Not Provided,4,Positive,-0.0
2005-11-23,D.A. Davidson & Co,18 month,3,neutral,8.5
2005-11-23,Piper Jaffray,Not Provided,5,outperform,9.62
2005-10-17,Credit Suisse,12 month,5,outperform,9.0
2005-09-26,Prudential Equity Group Inc,Not Provided,3,neutral weight,8.25
2005-02-15,Stephens Inc,Not Provided,5,overweight,-0.0
2006-02-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-02-28,Piper Jaffray,Not Provided,5,outperform,9.62
2006-02-27,D.A. Davidson & Co,18 month,3,neutral,9.0
2006-02-27,SunTrust Robinson Humphrey,12 month,5,buy,9.75
2006-02-27,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-02-27,Stephens Inc,Not Provided,3,equalweight,-0.0
2006-02-27,Stifel,Not Provided,3,hold,-0.0
2006-02-27,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-02-27,Prudential Equity Group Inc,Not Provided,3,neutral weight,8.5
2006-01-24,EVA Dimensions,Not Provided,5,strong buy,-0.0
2005-10-17,Credit Suisse,12 month,5,outperform,9.0
2006-03-24,Stephens Inc,Not Provided,3,equalweight,-0.0
2006-02-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-02-28,Piper Jaffray,Not Provided,5,outperform,9.62
2006-02-27,D.A. Davidson & Co,18 month,3,neutral,9.0
2006-02-27,SunTrust Robinson Humphrey,12 month,5,buy,9.75
2006-02-27,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-02-27,Stifel,Not Provided,3,hold,-0.0
2006-02-27,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-02-27,Prudential Equity Group Inc,Not Provided,3,neutral weight,8.5
2006-01-24,EVA Dimensions,Not Provided,5,strong buy,-0.0
2005-10-17,Credit Suisse,12 month,5,outperform,9.0
2006-04-25,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-04-21,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-04-04,Prudential Equity Group Inc,Not Provided,3,neutral weight,8.5
2006-04-03,SunTrust Robinson Humphrey,12 month,5,buy,9.75
2006-04-03,Stifel,Not Provided,3,hold,-0.0
2006-03-24,Stephens Inc,Not Provided,3,equalweight,-0.0
2006-02-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-02-28,Piper Jaffray,Not Provided,5,outperform,9.62
2006-02-27,D.A. Davidson & Co,18 month,3,neutral,9.0
2006-02-27,J.P. Morgan,Not Provided,1,underweight,-0.0
2005-10-17,Credit Suisse,12 month,5,outperform,9.0
2006-05-26,Stifel,Not Provided,3,hold,-0.0
2006-05-26,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-05-26,Piper Jaffray,Not Provided,5,outperform,9.88
2006-05-25,Credit Suisse,12 month,5,outperform,9.25
2006-05-25,D.A. Davidson & Co,18 month,3,neutral,9.0
2006-05-25,SunTrust Robinson Humphrey,12 month,5,buy,9.75
2006-05-25,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-05-23,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-04-25,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-04-04,Prudential Equity Group Inc,Not Provided,3,neutral weight,8.5
2006-03-24,Stephens Inc,Not Provided,3,equalweight,-0.0
2006-06-27,Credit Suisse,12 month,5,outperform,9.5
2006-06-05,SunTrust Robinson Humphrey,12 month,5,buy,9.75
2006-05-26,Stifel,Not Provided,3,hold,-0.0
2006-05-26,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-05-26,Piper Jaffray,Not Provided,5,outperform,9.88
2006-05-25,D.A. Davidson & Co,18 month,3,neutral,9.0
2006-05-25,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-05-23,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-04-25,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-04-04,Prudential Equity Group Inc,Not Provided,3,neutral weight,8.5
2006-03-24,Stephens Inc,Not Provided,3,equalweight,-0.0
2006-07-20,Stephens Inc,Not Provided,5,overweight,-0.0
