Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-28,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-12-01,Stifel,12 month,5,buy,20.51
2005-11-30,BMO Capital Markets,Not Provided,3,neutral,17.58
2005-11-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2005-11-15,Morgan Stanley,Not Provided,5,Overwt/Attractive,20.51
2005-11-15,Raymond James,12 month,5,outperform,21.49
2005-11-15,FBR Capital Markets,12 month,5,outperform,19.53
2005-11-15,Susquehanna Financial,Not Provided,4,Positive,-0.0
2005-11-14,UBS,Not Provided,5,buy 2,21.49
2005-11-14,Prudential Equity Group Inc,Not Provided,5,overweight,18.56
2005-10-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2005-10-13,RBC Capital Markets,12 month,5,outperform,19.53
2005-10-12,Bear Stearns & Co,Not Provided,5,outperform,20.51
2004-12-20,Barclays,Not Provided,5,overwt/positive,18.56
2004-12-10,Argus Research Corp,Not Provided,5,buy,-0.0
2006-01-26,BMO Capital Markets,Not Provided,3,neutral,17.58
2006-01-20,Prudential Equity Group Inc,Not Provided,5,overweight,18.56
2006-01-18,Barclays,Not Provided,5,overwt/positive,20.51
2006-01-17,Morgan Stanley,Not Provided,5,Overwt/Attractive,23.44
2006-01-13,Raymond James,12 month,5,outperform,22.46
2006-01-06,Susquehanna Financial,Not Provided,4,Positive,-0.0
2005-12-28,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-12-01,Stifel,12 month,5,buy,20.51
2005-11-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2005-11-15,FBR Capital Markets,12 month,5,outperform,19.53
2005-11-14,UBS,Not Provided,5,buy 2,21.49
2005-10-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2005-10-13,RBC Capital Markets,12 month,5,outperform,19.53
2005-10-12,Bear Stearns & Co,Not Provided,5,outperform,20.51
2006-03-01,BMO Capital Markets,Not Provided,3,neutral,17.58
2006-02-24,Bear Stearns & Co,Not Provided,5,outperform,22.46
2006-02-24,UBS,Not Provided,5,buy 2,22.95
2006-02-24,Raymond James,12 month,5,outperform,22.46
2006-02-24,FBR Capital Markets,12 month,5,outperform,22.46
2006-02-24,Stifel,12 month,5,buy,22.46
2006-02-24,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-02-24,Barclays,Not Provided,5,overwt/positive,22.46
2006-02-23,Prudential Equity Group Inc,Not Provided,5,overweight,20.51
2006-01-17,Morgan Stanley,Not Provided,5,Overwt/Attractive,23.44
2005-12-28,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-11-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2005-10-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2005-10-13,RBC Capital Markets,12 month,5,outperform,19.53
2006-03-31,UBS,Not Provided,5,buy 2,25.39
2006-03-29,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-03-29,Prudential Equity Group Inc,Not Provided,5,overweight,-0.0
2006-03-27,RBC Capital Markets,Not Provided,5,outperform,19.53
2006-03-01,BMO Capital Markets,Not Provided,3,neutral,17.58
2006-02-24,Bear Stearns & Co,Not Provided,5,outperform,22.46
2006-02-24,Raymond James,12 month,5,outperform,22.46
2006-02-24,FBR Capital Markets,12 month,5,outperform,22.46
2006-02-24,Stifel,12 month,5,buy,22.46
2006-02-24,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-02-24,Barclays,Not Provided,5,overwt/positive,22.46
2006-01-17,Morgan Stanley,Not Provided,5,Overwt/Attractive,23.44
2005-11-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2005-10-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-04-28,BMO Capital Markets,Not Provided,3,neutral,17.58
2006-04-28,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2006-04-27,Raymond James,12 month,5,outperform,23.44
2006-04-27,FBR Capital Markets,12 month,5,outperform,22.46
2006-04-27,Stifel,12 month,5,buy,22.46
2006-04-27,Susquehanna Financial,Not Provided,4,Positive,-0.0
2006-04-26,Bear Stearns & Co,Not Provided,5,outperform,23.44
2006-04-26,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-04-18,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-04-06,Morgan Stanley,Not Provided,5,Overwt/In-Line,23.44
2006-03-31,UBS,Not Provided,5,buy 2,25.39
2006-03-27,RBC Capital Markets,Not Provided,5,outperform,19.53
2006-02-24,Barclays,Not Provided,5,overwt/positive,22.46
