Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-22,Piper Jaffray,Not Provided,5,outperform,71.0
2005-12-19,"Keefe, Bruyette & Woods",Not Provided,5,outperform,71.0
2005-12-12,Morgan Stanley,Not Provided,1,Underwt/In-Line,66.0
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,69.0
2005-04-07,William Blair & Co,Not Provided,3,market perform,-0.0
2005-12-22,Piper Jaffray,Not Provided,5,outperform,71.0
2005-12-19,"Keefe, Bruyette & Woods",Not Provided,5,outperform,71.0
2005-12-12,Morgan Stanley,Not Provided,1,Underwt/In-Line,66.0
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,69.0
2005-04-07,William Blair & Co,Not Provided,3,market perform,-0.0
2006-02-14,"Keefe, Bruyette & Woods",Not Provided,5,outperform,71.0
2005-12-22,Piper Jaffray,Not Provided,5,outperform,71.0
2005-12-12,Morgan Stanley,Not Provided,1,Underwt/In-Line,66.0
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,69.0
2005-04-07,William Blair & Co,Not Provided,3,market perform,-0.0
2006-03-30,Morgan Stanley,Not Provided,3,Equalwt/In-Line,66.0
2006-03-17,"Keefe, Bruyette & Woods",Not Provided,5,outperform,71.0
2005-12-22,Piper Jaffray,Not Provided,5,outperform,71.0
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,69.0
2005-04-07,William Blair & Co,Not Provided,3,market perform,-0.0
2006-04-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,65.0
2006-03-17,"Keefe, Bruyette & Woods",Not Provided,5,outperform,71.0
2005-12-22,Piper Jaffray,Not Provided,5,outperform,71.0
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,69.0
2005-04-07,William Blair & Co,Not Provided,3,market perform,-0.0
2006-05-04,"Keefe, Bruyette & Woods",Not Provided,5,outperform,71.0
2006-04-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,65.0
2005-12-22,Piper Jaffray,Not Provided,5,outperform,71.0
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,69.0
2005-04-07,William Blair & Co,Not Provided,3,market perform,-0.0
2006-06-06,Stifel,Not Provided,5,buy,70.0
2006-05-04,"Keefe, Bruyette & Woods",Not Provided,5,outperform,71.0
2006-04-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,65.0
2005-12-22,Piper Jaffray,Not Provided,5,outperform,71.0
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,69.0
2005-04-07,William Blair & Co,Not Provided,3,market perform,-0.0
2006-07-28,"Keefe, Bruyette & Woods",Not Provided,5,outperform,72.0
2006-07-28,Stifel,Not Provided,5,buy,70.0
2006-04-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,65.0
