Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-21,TD Securities,12 month,3,hold,31.5
2005-12-01,Stifel,Not Provided,3,hold,-0.0
2005-11-28,UBS,12 month,5,buy 2,39.5
2005-11-10,EVA Dimensions,Not Provided,5,buy,-0.0
2005-11-03,Morgan Stanley,Not Provided,1,Underwt/In-Line,31.0
2005-11-02,BMO Capital Markets,12 month,3,market perform,36.0
2005-11-02,Credit Suisse,12 month,5,outperform,40.0
2005-11-02,Edgecrest Capital,12 month,1,sell,30.0
2005-10-10,Argus Research Corp,Not Provided,5,buy,-0.0
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-08-18,UBS,12 month,5,buy 2,40.0
2005-08-12,Goldman Sachs,Not Provided,5,outperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-04,Bernstein,Not Provided,5,outperform,49.0
2006-01-23,Stifel,Not Provided,3,hold,-0.0
2006-01-18,UBS,12 month,5,buy 2,40.5
2006-01-17,Credit Suisse,12 month,5,outperform,40.0
2006-01-17,TD Securities,12 month,3,hold,34.0
2006-01-13,Goldman Sachs,Not Provided,5,outperf/neutral,-0.0
2006-01-12,BMO Capital Markets,12 month,3,market perform,36.0
2006-01-06,Morgan Stanley,Not Provided,1,Underwt/In-Line,35.5
2005-11-10,EVA Dimensions,Not Provided,5,buy,-0.0
2005-11-02,Edgecrest Capital,12 month,1,sell,30.0
2005-10-10,Argus Research Corp,Not Provided,5,buy,-0.0
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-04,Bernstein,Not Provided,5,outperform,49.0
2006-02-28,EVA Dimensions,Not Provided,5,buy,-0.0
2006-02-17,Prudential Equity Group Inc,Not Provided,1,underweight,32.5
2006-02-10,BMO Capital Markets,12 month,3,market perform,34.5
2006-02-10,Credit Suisse,12 month,5,outperform,40.0
2006-02-10,TD Securities,12 month,3,hold,33.0
2006-02-09,Stifel,Not Provided,3,hold,-0.0
2006-01-18,UBS,12 month,5,buy 2,40.5
2006-01-13,Goldman Sachs,Not Provided,5,outperf/neutral,-0.0
2006-01-06,Morgan Stanley,Not Provided,1,Underwt/In-Line,35.5
2005-11-02,Edgecrest Capital,12 month,1,sell,30.0
2005-10-10,Argus Research Corp,Not Provided,5,buy,-0.0
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-04,Bernstein,Not Provided,5,outperform,49.0
2006-03-31,TD Securities,12 month,3,hold,34.0
2006-03-14,Goldman Sachs,Not Provided,5,outperf/neutral,-0.0
2006-03-08,Credit Suisse,12 month,5,outperform,40.0
2006-03-08,Stifel,12 month,5,buy,36.0
2006-02-28,EVA Dimensions,Not Provided,5,buy,-0.0
2006-02-17,Prudential Equity Group Inc,Not Provided,1,underweight,32.5
2006-02-10,BMO Capital Markets,12 month,3,market perform,34.5
2006-01-18,UBS,12 month,5,buy 2,40.5
2006-01-06,Morgan Stanley,Not Provided,1,Underwt/In-Line,35.5
2005-11-02,Edgecrest Capital,12 month,1,sell,30.0
2005-10-10,Argus Research Corp,Not Provided,5,buy,-0.0
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-04,Bernstein,Not Provided,5,outperform,49.0
2006-05-01,UBS,12 month,5,buy 2,40.5
2006-05-01,Stifel,Not Provided,3,hold,-0.0
2006-05-01,TD Securities,12 month,3,hold,34.0
2006-04-24,Goldman Sachs,Not Provided,5,outperf/neutral,-0.0
2006-04-21,Morgan Stanley,Not Provided,3,Equalwt/In-Line,40.0
2006-04-03,EVA Dimensions,Not Provided,3,hold,-0.0
2006-02-17,Prudential Equity Group Inc,Not Provided,1,underweight,32.5
2006-02-10,BMO Capital Markets,12 month,3,market perform,34.5
2005-10-10,Argus Research Corp,Not Provided,5,buy,-0.0
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-04,Bernstein,Not Provided,5,outperform,49.0
2006-05-05,Argus Research Corp,Not Provided,3,hold,-0.0
2006-05-02,BMO Capital Markets,12 month,3,market perform,34.5
2006-05-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,39.0
2006-05-02,UBS,12 month,5,buy 2,40.5
2006-05-02,Prudential Equity Group Inc,Not Provided,1,underweight,32.5
2006-05-01,Stifel,Not Provided,3,hold,-0.0
2006-05-01,TD Securities,12 month,3,hold,34.0
2006-04-24,Goldman Sachs,Not Provided,5,outperf/neutral,-0.0
2006-04-03,EVA Dimensions,Not Provided,3,hold,-0.0
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-04,Bernstein,Not Provided,5,outperform,49.0
2006-06-26,Goldman Sachs,Not Provided,5,outperf/neutral,38.5
2006-06-21,EVA Dimensions,Not Provided,3,hold,-0.0
2006-06-12,TD Securities,12 month,3,hold,34.0
2006-05-05,Argus Research Corp,Not Provided,3,hold,-0.0
2006-05-02,BMO Capital Markets,12 month,3,market perform,34.5
2006-05-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,39.0
2006-05-02,UBS,12 month,5,buy 2,40.5
2006-05-02,Prudential Equity Group Inc,Not Provided,1,underweight,32.5
2006-05-01,Stifel,Not Provided,3,hold,-0.0
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-04,Bernstein,Not Provided,5,outperform,49.0
2006-08-01,Bernstein,Not Provided,5,outperform,41.5
2006-08-01,Stifel,Not Provided,3,hold,-0.0
2006-07-27,UBS,12 month,5,buy 2,40.5
2006-06-26,Goldman Sachs,Not Provided,5,outperf/neutral,38.5
2006-06-21,EVA Dimensions,Not Provided,3,hold,-0.0
2006-06-12,TD Securities,12 month,3,hold,34.0
2006-05-05,Argus Research Corp,Not Provided,3,hold,-0.0
2006-05-02,BMO Capital Markets,12 month,3,market perform,34.5
2006-05-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,39.0
2006-05-02,Prudential Equity Group Inc,Not Provided,1,underweight,32.5
2005-10-05,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-07-06,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-09-01,Bernstein,Not Provided,5,outperform,43.5
2006-09-01,TD Securities,12 month,3,hold,34.0
2006-08-30,UBS,12 month,5,buy 2,41.5
2006-08-07,EVA Dimensions,Not Provided,5,buy,-0.0
2006-08-02,BMO Capital Markets,12 month,3,market perform,32.5
