Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-08,Credit Suisse,12 month,5,outperform,19.42
2005-05-05,Soleil Securities,Not Provided,5,buy,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2005-12-08,Credit Suisse,12 month,5,outperform,19.42
2005-05-05,Soleil Securities,Not Provided,5,buy,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-02-23,Credit Suisse,12 month,5,outperform,19.42
2006-02-09,Soleil Securities,Not Provided,3,hold,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-02-23,Credit Suisse,12 month,5,outperform,19.42
2006-02-09,Soleil Securities,Not Provided,3,hold,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-04-10,Credit Suisse,12 month,5,outperform,19.42
2006-02-09,Soleil Securities,Not Provided,3,hold,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-05-26,Credit Suisse,12 month,5,outperform,19.42
2006-05-11,Soleil Securities,Not Provided,3,hold,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-06-29,Credit Suisse,12 month,5,outperform,22.95
2006-05-11,Soleil Securities,Not Provided,3,hold,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-07-31,Credit Suisse,12 month,5,outperform,22.95
2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31
2006-05-11,Soleil Securities,Not Provided,3,hold,-0.0
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-08-09,Credit Suisse,12 month,5,outperform,22.95
2006-08-09,Soleil Securities,Not Provided,3,hold,-0.0
2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-09-13,Credit Suisse,12 month,5,outperform,22.95
2006-08-09,Soleil Securities,Not Provided,3,hold,-0.0
2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-10-18,Credit Suisse,12 month,5,outperform,22.95
2006-10-11,Soleil Securities,Not Provided,1,sell,15.89
2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-12-01,Credit Suisse,12 month,5,outperform,22.95
2006-11-09,Soleil Securities,Not Provided,1,sell,15.89
2006-07-26,"Miller Tabak + Co., LLC",12 month,5,buy,20.31
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2006-12-22,Credit Suisse,12 month,5,outperform,22.95
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2006-12-19,Soleil Securities,Not Provided,1,sell,15.89
2005-03-01,Bernstein,Not Provided,5,outperform,20.31
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-01-23,Credit Suisse,12 month,5,outperform,22.95
2007-01-23,Bernstein,12 month,5,outperform,22.95
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2006-12-19,Soleil Securities,Not Provided,1,sell,15.89
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-02-14,Bernstein,12 month,5,outperform,22.95
2007-02-08,Credit Suisse,12 month,5,outperform,25.6
2007-02-07,Soleil Securities,Not Provided,1,sell,15.89
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-03-26,Bernstein,12 month,5,outperform,22.95
2007-03-09,Soleil Securities,Not Provided,1,sell,15.89
2007-02-08,Credit Suisse,12 month,5,outperform,25.6
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-04-27,Bernstein,12 month,5,outperform,22.95
2007-04-26,Soleil Securities,Not Provided,1,sell,15.89
2007-02-08,Credit Suisse,12 month,5,outperform,25.6
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-05-29,Bernstein,12 month,5,outperform,23.84
2007-05-23,Soleil Securities,Not Provided,1,sell,15.89
2007-05-09,Credit Suisse,12 month,5,outperform,25.6
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-06-06,Bernstein,12 month,5,outperform,23.84
2007-05-23,Soleil Securities,Not Provided,1,sell,15.89
2007-05-09,Credit Suisse,12 month,5,outperform,25.6
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-07-20,Credit Suisse,12 month,5,outperform,25.6
2007-07-15,Soleil Securities,Not Provided,1,sell,15.89
2007-06-06,Bernstein,12 month,5,outperform,23.84
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2004-11-02,Macquarie,12 month,3,neutral,4.69
2007-08-10,Macquarie,12 month,5,outperform,27.39
2007-08-09,Credit Suisse,12 month,5,outperform,25.6
2007-08-09,Soleil Securities,Not Provided,1,sell,15.89
2007-06-06,Bernstein,12 month,5,outperform,23.84
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2007-09-18,Credit Suisse,12 month,5,outperform,25.6
2007-09-11,Soleil Securities,Not Provided,1,sell,15.89
2007-09-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2007-08-10,Macquarie,12 month,5,outperform,27.39
2007-06-06,Bernstein,12 month,5,outperform,23.84
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2007-10-17,Soleil Securities,Not Provided,1,sell,15.89
2007-09-18,Credit Suisse,12 month,5,outperform,25.6
2007-09-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2007-08-10,Macquarie,12 month,5,outperform,27.39
2007-06-06,Bernstein,12 month,5,outperform,23.84
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2007-11-26,Bernstein,12 month,5,outperform,22.95
2007-11-20,Soleil Securities,Not Provided,1,sell,15.89
2007-11-08,Credit Suisse,12 month,5,outperform,25.6
2007-09-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2007-08-10,Macquarie,12 month,5,outperform,27.39
2006-12-22,"Miller Tabak + Co., LLC",12 month,5,buy,22.95
2007-12-31,Independent II Research plc,6 month,5,buy,22.45
2007-12-20,Bernstein,12 month,5,outperform,22.95
2007-12-19,"Miller Tabak + Co., LLC",12 month,5,buy,24.72
2007-11-20,Soleil Securities,Not Provided,1,sell,15.89
2007-11-08,Credit Suisse,12 month,5,outperform,25.6
2007-09-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2008-01-22,Credit Suisse,12 month,5,outperform,25.6
2008-01-18,Soleil Securities,Not Provided,1,sell,15.89
2008-01-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2007-12-31,Independent II Research plc,6 month,5,buy,22.45
2007-12-20,Bernstein,12 month,5,outperform,22.95
2007-12-19,"Miller Tabak + Co., LLC",12 month,5,buy,24.72
2008-02-22,Credit Suisse,12 month,5,outperform,25.6
2008-02-05,"Miller Tabak + Co., LLC",12 month,5,buy,24.72
2008-02-05,Soleil Securities,Not Provided,1,sell,15.89
2008-01-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2007-12-31,Independent II Research plc,6 month,5,buy,22.45
2007-12-20,Bernstein,12 month,5,outperform,22.95
2008-03-28,Independent II Research plc,6 month,5,buy,20.19
2008-03-05,Soleil Securities,Not Provided,1,sell,15.89
2008-02-22,Credit Suisse,12 month,5,outperform,25.6
2008-02-05,"Miller Tabak + Co., LLC",12 month,5,buy,24.72
2008-01-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2007-12-20,Bernstein,12 month,5,outperform,22.95
2008-04-23,Pali International,Not Provided,5,buy,23.84
2008-04-17,Soleil Securities,Not Provided,3,hold,-0.0
2008-04-11,Stifel,Not Provided,5,buy,22.07
2008-04-10,Bernstein,Not Provided,5,outperform,21.19
2008-04-07,BMO Capital Markets,12 month,5,outperform,26.49
2008-04-07,Credit Suisse,12 month,5,outperform,25.6
2008-03-28,Independent II Research plc,6 month,5,buy,20.19
2008-02-05,"Miller Tabak + Co., LLC",12 month,5,buy,24.72
2008-01-16,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2008-05-27,Soleil Securities,Not Provided,3,hold,17.66
