Date,Firm Name,Period,Rating,Recommendation,Target Price
2009-11-19,William Blair & Co,Not Provided,5,outperform,-0.0
2009-11-18,J.P. Morgan,12 month,5,overweight,35.0
2009-11-16,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2009-11-16,"Keefe, Bruyette & Woods",Not Provided,3,market perform,29.0
2009-11-16,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2009-12-16,Macquarie,12 month,3,neutral,30.0
2009-11-19,William Blair & Co,Not Provided,5,outperform,-0.0
2009-11-18,J.P. Morgan,12 month,5,overweight,35.0
2009-11-16,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2009-11-16,"Keefe, Bruyette & Woods",Not Provided,3,market perform,29.0
2009-11-16,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-01-29,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-01-19,Macquarie,12 month,3,neutral,30.0
2009-11-19,William Blair & Co,Not Provided,5,outperform,-0.0
2009-11-18,J.P. Morgan,12 month,5,overweight,35.0
2009-11-16,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2009-11-16,"Keefe, Bruyette & Woods",Not Provided,3,market perform,29.0
2010-03-01,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-03-01,J.P. Morgan,12 month,5,overweight,35.0
2010-02-26,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-02-04,Macquarie,12 month,3,neutral,30.0
2009-11-19,William Blair & Co,Not Provided,5,outperform,-0.0
2009-11-16,"Keefe, Bruyette & Woods",Not Provided,3,market perform,29.0
2010-03-19,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-03-12,"Keefe, Bruyette & Woods",Not Provided,3,market perform,29.0
2010-03-11,William Blair & Co,Not Provided,5,outperform,-0.0
2010-03-11,Macquarie,12 month,3,neutral,30.0
2010-03-10,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-03-10,J.P. Morgan,9 month,5,overweight,35.0
2010-04-27,Macquarie,12 month,3,neutral,30.0
2010-04-23,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-04-20,J.P. Morgan,9 month,5,overweight,35.0
2010-04-09,Susquehanna Financial,12 month,4,Positive,35.0
2010-03-12,"Keefe, Bruyette & Woods",Not Provided,3,market perform,29.0
2010-03-11,William Blair & Co,Not Provided,5,outperform,-0.0
2010-03-10,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-05-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-05-18,Susquehanna Financial,Not Provided,4,Positive,35.0
2010-05-17,J.P. Morgan,6 month,5,overweight,35.0
2010-05-13,EVA Dimensions,Not Provided,5,buy,-0.0
2010-05-11,"Keefe, Bruyette & Woods",12 month,3,market perform,31.0
2010-05-10,William Blair & Co,Not Provided,5,outperform,-0.0
2010-05-08,Macquarie,12 month,3,neutral,30.0
2010-05-07,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-06-25,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-06-24,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-06-18,William Blair & Co,Not Provided,5,outperform,-0.0
2010-06-16,IPOfinancial.com,Not Provided,5,buy,-0.0
2010-06-10,Macquarie,12 month,3,neutral,30.0
2010-06-03,Susquehanna Financial,Not Provided,4,Positive,35.0
2010-05-17,J.P. Morgan,6 month,5,overweight,35.0
2010-05-13,EVA Dimensions,Not Provided,5,buy,-0.0
2010-05-11,"Keefe, Bruyette & Woods",12 month,3,market perform,31.0
2010-07-30,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-07-19,Susquehanna Financial,Not Provided,4,Positive,35.0
2010-07-02,Macquarie,12 month,3,neutral,30.0
2010-06-24,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-06-18,William Blair & Co,Not Provided,5,outperform,-0.0
2010-06-16,IPOfinancial.com,Not Provided,5,buy,-0.0
2010-05-17,J.P. Morgan,6 month,5,overweight,35.0
2010-05-13,EVA Dimensions,Not Provided,5,buy,-0.0
2010-05-11,"Keefe, Bruyette & Woods",12 month,3,market perform,31.0
2010-08-31,IPOfinancial.com,Not Provided,5,buy,-0.0
2010-08-28,Macquarie,12 month,3,neutral,30.0
2010-08-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-08-06,"Keefe, Bruyette & Woods",12 month,3,market perform,32.0
2010-08-06,William Blair & Co,Not Provided,5,outperform,-0.0
2010-08-05,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-08-05,J.P. Morgan,6 month,5,overweight,35.0
2010-08-05,Susquehanna Financial,12 month,4,Positive,35.0
2010-05-13,EVA Dimensions,Not Provided,5,buy,-0.0
2010-10-01,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2010-09-30,Macquarie,12 month,3,neutral,30.0
2010-09-24,Raymond James,12 month,5,outperform,33.0
2010-08-31,IPOfinancial.com,Not Provided,5,buy,-0.0
2010-08-06,"Keefe, Bruyette & Woods",12 month,3,market perform,32.0
2010-08-06,William Blair & Co,Not Provided,5,outperform,-0.0
2010-08-05,Morgan Stanley,Not Provided,3,Equalwt/In-Line,30.0
2010-08-05,J.P. Morgan,6 month,5,overweight,35.0
2010-08-05,Susquehanna Financial,12 month,4,Positive,35.0
2010-05-13,EVA Dimensions,Not Provided,5,buy,-0.0
2010-11-01,William Blair & Co,Not Provided,5,outperform,-0.0
2010-10-29,Morgan Stanley,12 month,3,Equalwt/In-Line,30.0
2010-10-29,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2010-10-19,Susquehanna Financial,12 month,4,Positive,35.0
2010-10-14,"Keefe, Bruyette & Woods",12 month,3,market perform,32.0
2010-10-08,J.P. Morgan,15 month,5,overweight,36.0
2010-10-05,Raymond James,12 month,5,outperform,33.0
2010-09-30,Macquarie,12 month,3,neutral,30.0
2010-08-31,IPOfinancial.com,Not Provided,5,buy,-0.0
2010-05-13,EVA Dimensions,Not Provided,5,buy,-0.0
2010-12-01,Morgan Stanley,12 month,3,Equalwt/In-Line,32.0
2010-12-01,William Blair & Co,Not Provided,5,outperform,-0.0
2010-12-01,Raymond James,12 month,5,outperform,33.0
2010-12-01,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2010-11-30,IPOfinancial.com,Not Provided,5,buy,-0.0
2010-11-10,J.P. Morgan,15 month,5,overweight,37.0
2010-11-09,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.0
2010-11-05,Macquarie,12 month,3,neutral,31.0
2010-11-04,"Keefe, Bruyette & Woods",12 month,3,market perform,35.0
2010-11-04,Susquehanna Financial,12 month,4,Positive,35.0
2010-05-13,EVA Dimensions,Not Provided,5,buy,-0.0
2010-12-21,Credit Suisse,Not Provided,5,outperform,36.0
2010-12-21,Susquehanna Financial,12 month,4,Positive,35.0
