,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,M,-2147483648,2005-12-16,Bernstein,Not Provided,5,outperform,63.000000
1,-0.000000,M,-2147483648,2005-12-16,"Sandler O'Neill & Partners, LP",12 month,5,buy,62.000000
2,-0.000000,M,-2147483648,2005-12-16,Stifel,Not Provided,5,buy,60.000000
3,-0.000000,M,-2147483648,2005-12-14,A.G. Edwards & Sons Inc,Not Provided,5,buy,61.000000
4,-0.000000,M,-2147483648,2005-12-12,Morgan Stanley,Not Provided,5,Overwt/Attractive,61.000000
5,-0.000000,M,-2147483648,2005-12-12,Credit Suisse,12 month,3,neutral,59.000000
6,-0.000000,M,-2147483648,2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.000000
7,-0.000000,M,-2147483648,2005-12-08,FBR Capital Markets,Not Provided,3,market perform,58.000000
8,-0.000000,M,-2147483648,2005-11-15,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,62.000000
9,-0.000000,M,-2147483648,2005-11-15,EVA Dimensions,Not Provided,5,strong buy,-0.000000
10,-0.000000,M,-2147483648,2005-11-14,Barclays,Not Provided,3,equalwt/positive,57.000000
11,-0.000000,M,-2147483648,2005-11-07,"Keefe, Bruyette & Woods",Not Provided,3,market perform,51.000000
12,-0.000000,M,-2147483648,2005-10-27,Dowling & Partners,Not Provided,3,neutral,-0.000000
13,-0.000000,M,-2147483648,2005-10-26,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
14,-0.000000,D,-2147483648,2005-09-16,Bear Stearns & Co,Not Provided,3,peerperform,-0.000000
15,-0.000000,M,-2147483648,2005-06-15,Argus Research Corp,Not Provided,3,hold,-0.000000
16,-0.000000,M,-2147483648,2004-12-28,Cochran Caronia Waller,Not Provided,3,market perform,-0.000000
17,-0.000000,M,-2147483648,2004-07-28,Goldman Sachs,Not Provided,3,in-line,-0.000000
18,-0.000000,M,-2147483648,2006-02-01,Morgan Stanley,Not Provided,5,Overwt/Attractive,63.000000
