,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,N,-2147483648,2005-12-01,Stifel,Not Provided,5,buy,116.560000
1,-0.000000,M,-2147483648,2005-11-21,EVA Dimensions,Not Provided,1,sell,-0.000000
2,-0.000000,M,-2147483648,2005-11-14,Barclays,Not Provided,3,equalwt/positive,98.010000
3,-0.000000,M,-2147483648,2005-11-04,Credit Suisse,12 month,5,outperform,108.610000
4,-0.000000,M,-2147483648,2005-11-04,Williams Capital,18 month,5,buy,111.260000
5,-0.000000,D,-2147483648,2005-11-04,Dowling & Partners,Not Provided,3,neutral,-0.000000
6,-0.000000,M,-2147483648,2005-11-03,"Keefe, Bruyette & Woods",Not Provided,5,outperform,108.610000
7,-0.000000,M,-2147483648,2005-11-03,"Sandler O'Neill & Partners, LP",12 month,3,hold,103.310000
8,-0.000000,M,-2147483648,2005-10-06,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,-0.000000
9,-0.000000,D,-2147483648,2005-09-27,Cochran Caronia Waller,Not Provided,3,market perform,-0.000000
10,-0.000000,M,-2147483648,2006-01-13,Williams Capital,18 month,5,buy,111.260000
11,-0.000000,U,-2147483648,2006-01-12,"Sandler O'Neill & Partners, LP",12 month,5,buy,111.260000
12,-0.000000,N,-2147483648,2005-12-01,Stifel,Not Provided,5,buy,116.560000
13,-0.000000,M,-2147483648,2005-11-21,EVA Dimensions,Not Provided,1,sell,-0.000000
14,-0.000000,M,-2147483648,2005-11-14,Barclays,Not Provided,3,equalwt/positive,98.010000
15,-0.000000,M,-2147483648,2005-11-04,Credit Suisse,12 month,5,outperform,108.610000
16,-0.000000,D,-2147483648,2005-11-04,Dowling & Partners,Not Provided,3,neutral,-0.000000
17,-0.000000,M,-2147483648,2005-11-03,"Keefe, Bruyette & Woods",Not Provided,5,outperform,108.610000
18,-0.000000,M,-2147483648,2005-10-06,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,-0.000000
19,-0.000000,D,-2147483648,2005-09-27,Cochran Caronia Waller,Not Provided,3,market perform,-0.000000
