,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,M,-2147483648,2013-11-26,Imperial Capital LLC,12 month,3,in-line,50.000000
1,-0.000000,N,-2147483648,2013-11-19,Spin-Off Research,Not Provided,3,hold,45.000000
2,-0.000000,M,-2147483648,2013-12-30,Bernstein,12 month,3,market perform,44.000000
3,-0.000000,N,-2147483648,2013-12-10,Credit Suisse,Not Provided,5,outperform,48.000000
4,-0.000000,M,-2147483648,2013-12-09,EVA Dimensions,Not Provided,5,buy,-0.000000
5,-0.000000,M,-2147483648,2013-12-05,Spin-Off Research,Not Provided,3,hold,45.000000
6,-0.000000,M,-2147483648,2013-11-26,Imperial Capital LLC,12 month,3,in-line,50.000000
7,-0.000000,M,-2147483648,2014-01-30,Bernstein,12 month,5,outperform,58.000000
8,-0.000000,M,-2147483648,2014-01-17,MKM Partners,12 month,5,buy,54.000000
9,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
10,-0.000000,M,-2147483648,2014-01-15,Credit Suisse,Not Provided,5,outperform,48.000000
11,-0.000000,M,-2147483648,2014-01-15,Imperial Capital LLC,12 month,3,in-line,50.000000
12,-0.000000,M,-2147483648,2013-12-09,EVA Dimensions,Not Provided,5,buy,-0.000000
13,-0.000000,M,-2147483648,2013-12-05,Spin-Off Research,Not Provided,3,hold,45.000000
14,-0.000000,M,-2147483648,2014-02-28,Bernstein,12 month,5,outperform,62.000000
15,-0.000000,M,-2147483648,2014-02-25,Imperial Capital LLC,12 month,3,in-line,57.000000
16,-0.000000,M,-2147483648,2014-02-21,Credit Suisse,Not Provided,5,outperform,55.000000
17,-0.000000,M,-2147483648,2014-02-21,Spin-Off Research,Not Provided,3,hold,50.000000
18,-0.000000,M,-2147483648,2014-02-21,MKM Partners,12 month,5,buy,60.000000
19,-0.000000,M,-2147483648,2014-02-21,EVA Dimensions,Not Provided,1,sell,-0.000000
20,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
21,-0.000000,M,-2147483648,2014-04-01,EVA Dimensions,Not Provided,1,sell,-0.000000
22,-0.000000,M,-2147483648,2014-03-28,Bernstein,12 month,5,outperform,62.000000
23,-0.000000,M,-2147483648,2014-03-27,Imperial Capital LLC,12 month,3,in-line,57.000000
24,-0.000000,M,-2147483648,2014-03-26,MKM Partners,12 month,5,buy,60.000000
25,-0.000000,M,-2147483648,2014-03-13,Credit Suisse,Not Provided,5,outperform,58.000000
26,-0.000000,M,-2147483648,2014-02-21,Spin-Off Research,Not Provided,3,hold,50.000000
27,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
28,-0.000000,M,-2147483648,2014-05-01,Credit Suisse,Not Provided,5,outperform,58.000000
29,-0.000000,M,-2147483648,2014-05-01,Bernstein,12 month,5,outperform,62.000000
30,-0.000000,M,-2147483648,2014-05-01,"Morningstar, Inc",Not Provided,3,hold,-0.000000
31,-0.000000,M,-2147483648,2014-05-01,MKM Partners,12 month,5,buy,60.000000
32,-0.000000,M,-2147483648,2014-04-29,EVA Dimensions,Not Provided,1,sell,-0.000000
33,-0.000000,M,-2147483648,2014-04-08,Imperial Capital LLC,12 month,3,in-line,57.000000
34,-0.000000,M,-2147483648,2014-02-21,Spin-Off Research,Not Provided,3,hold,50.000000
