,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,R,-2147483648,2005-12-27,BMO Capital Markets,Not Provided,5,outperform,71.000000
1,-0.000000,M,-2147483648,2005-12-27,Morgan Stanley,Not Provided,5,Overwt/Attractive,65.000000
2,-0.000000,M,-2147483648,2005-12-19,Leerink Partners LLC,Not Provided,3,market perform,-0.000000
3,-0.000000,M,-2147483648,2005-12-19,Thomas Weisel Partners,Not Provided,5,outperform,-0.000000
4,-0.000000,M,-2147483648,2005-12-15,Prudential Equity Group Inc,Not Provided,5,overweight,67.000000
5,-0.000000,M,-2147483648,2005-12-09,UBS,Not Provided,5,buy 2,75.000000
6,-0.000000,M,-2147483648,2005-12-09,Cowen,Not Provided,-2147483648,no rating system,-0.000000
7,-0.000000,M,-2147483648,2005-12-09,Collins Stewart,Not Provided,3,market perform,-0.000000
8,-0.000000,U,-2147483648,2005-12-01,Stifel,Not Provided,5,buy,60.000000
9,-0.000000,M,-2147483648,2005-11-17,Bernstein,Not Provided,5,outperform,61.000000
10,-0.000000,M,-2147483648,2005-11-17,CIBC World Markets,Not Provided,3,sector perform,-0.000000
11,-0.000000,M,-2147483648,2005-11-17,Stanford Group,12 month,5,buy,62.000000
12,-0.000000,M,-2147483648,2005-11-17,JMP Securities,Not Provided,5,strong buy,72.000000
13,-0.000000,M,-2147483648,2005-11-17,Lazard Capital Markets,Not Provided,5,buy,65.000000
14,-0.000000,M,-2147483648,2005-11-17,Susquehanna Financial,Not Provided,4,Positive,-0.000000
15,-0.000000,M,-2147483648,2005-11-17,Soleil Securities,Not Provided,5,buy,-0.000000
16,-0.000000,M,-2147483648,2005-11-17,Piper Jaffray,Not Provided,3,market perform,56.000000
17,-0.000000,M,-2147483648,2005-11-17,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,64.000000
18,-0.000000,M,-2147483648,2005-11-14,RBC Capital Markets,Not Provided,5,outperform,60.000000
19,-0.000000,R,-2147483648,2005-11-14,Jefferies,12 month,5,buy,64.000000
20,-0.000000,M,-2147483648,2005-10-25,HSBC,24 month,3,neutral,62.000000
21,-0.000000,D,-2147483648,2005-10-20,KeyBanc Capital Markets,Not Provided,3,hold,-0.000000
22,-0.000000,R,-2147483648,2005-10-12,"Broadpoint Capital, Inc",12 month,5,strong buy,66.000000
23,-0.000000,U,-2147483648,2005-09-27,EVA Dimensions,Not Provided,3,hold,-0.000000
24,-0.000000,M,-2147483648,2005-09-19,Goldman Sachs,Not Provided,5,outperf/neutral,62.000000
25,-0.000000,M,-2147483648,2005-09-08,Bear Stearns & Co,Not Provided,5,outperform,64.000000
