,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,N,-2147483648,2015-07-01,Morgan Stanley,12 month,3,Equalwt/In-Line,35.0,0.0
1,1,-0.0,N,-2147483648,2015-07-01,Goldman Sachs,12 month,3,neutral/attractive,36.0,1.0
2,2,-0.0,N,-2147483648,2015-07-01,Edward Jones,Not Provided,3,hold,-0.0,2.0
3,3,-0.0,M,-2147483648,2015-07-01,"Morningstar, Inc",Not Provided,3,hold,-0.0,3.0
4,4,-0.0,N,-2147483648,2015-06-30,Credit Suisse,Not Provided,5,outperform,37.0,4.0
5,5,-0.0,M,-2147483648,2015-06-22,J.P. Morgan,6 month,3,neutral,33.0,5.0
6,6,-0.0,N,-2147483648,2015-06-16,Spin-Off Research,Not Provided,3,neutral,38.0,6.0
7,7,-0.0,M,-2147483648,2015-07-31,Morgan Stanley,12 month,3,Equalwt/In-Line,35.0,7.0
8,8,-0.0,M,-2147483648,2015-07-31,Spin-Off Research,Not Provided,3,neutral,35.0,8.0
9,9,-0.0,M,-2147483648,2015-07-31,Barclays,Not Provided,5,overweight,38.0,9.0
10,10,-0.0,M,-2147483648,2015-07-30,Edward Jones,Not Provided,3,hold,-0.0,10.0
11,11,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,11.0
12,12,-0.0,M,-2147483648,2015-07-30,Cowen,12 month,5,outperform,39.0,12.0
13,13,-0.0,M,-2147483648,2015-07-30,"Morningstar, Inc",Not Provided,3,hold,-0.0,13.0
14,14,-0.0,M,-2147483648,2015-07-23,WhiteSand Research LLC,Not Provided,4,undervalued,34.0,14.0
15,15,-0.0,N,-2147483648,2015-07-01,Goldman Sachs,12 month,3,neutral/attractive,36.0,15.0
16,16,-0.0,N,-2147483648,2015-06-30,Credit Suisse,Not Provided,5,outperform,37.0,16.0
17,17,-0.0,M,-2147483648,2015-08-30,Credit Suisse,Not Provided,5,outperform,42.0,17.0
18,18,-0.0,M,-2147483648,2015-08-28,Edward Jones,Not Provided,3,hold,-0.0,18.0
19,19,-0.0,N,-2147483648,2015-08-17,William Blair & Co,Not Provided,5,outperform,-0.0,19.0
20,20,-0.0,N,-2147483648,2015-08-17,EVA Dimensions,Not Provided,5,overweight,-0.0,20.0
21,21,-0.0,M,-2147483648,2015-08-14,Cowen,Not Provided,5,outperform,45.0,21.0
22,22,-0.0,D,-2147483648,2015-08-11,Barclays,Not Provided,3,equalweight,38.0,22.0
23,23,-0.0,M,-2147483648,2015-08-05,Spin-Off Research,Not Provided,3,neutral,35.0,23.0
24,24,-0.0,M,-2147483648,2015-08-04,Morgan Stanley,Not Provided,-2147483648,restricted,-0.0,24.0
25,25,-0.0,M,-2147483648,2015-08-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0,25.0
26,26,-0.0,M,-2147483648,2015-08-04,"Morningstar, Inc",Not Provided,3,hold,-0.0,26.0
27,27,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,27.0
28,28,-0.0,M,-2147483648,2015-07-23,WhiteSand Research LLC,Not Provided,4,undervalued,34.0,28.0
29,29,-0.0,M,-2147483648,2015-09-29,"Morningstar, Inc",Not Provided,5,buy,-0.0,29.0
30,30,-0.0,M,-2147483648,2015-09-23,Credit Suisse,Not Provided,5,outperform,42.0,30.0
31,31,-0.0,N,-2147483648,2015-09-21,UBS,12 month,5,buy,46.0,31.0
32,32,-0.0,M,-2147483648,2015-09-03,Edward Jones,Not Provided,3,hold,-0.0,32.0
33,33,-0.0,M,-2147483648,2015-09-03,Cowen,12 month,5,outperform,45.0,33.0
34,34,-0.0,N,-2147483648,2015-08-17,William Blair & Co,Not Provided,5,outperform,-0.0,34.0
35,35,-0.0,N,-2147483648,2015-08-17,EVA Dimensions,Not Provided,5,overweight,-0.0,35.0
36,36,-0.0,D,-2147483648,2015-08-11,Barclays,Not Provided,3,equalweight,38.0,36.0
37,37,-0.0,M,-2147483648,2015-08-05,Spin-Off Research,Not Provided,3,neutral,35.0,37.0
38,38,-0.0,M,-2147483648,2015-08-04,Morgan Stanley,Not Provided,-2147483648,restricted,-0.0,38.0
39,39,-0.0,M,-2147483648,2015-08-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0,39.0
40,40,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,40.0
41,41,-0.0,M,-2147483648,2015-07-23,WhiteSand Research LLC,Not Provided,4,undervalued,34.0,41.0
42,42,-0.0,M,-2147483648,2015-10-30,"Morningstar, Inc",Not Provided,5,buy,-0.0,42.0
43,43,-0.0,M,-2147483648,2015-10-29,Credit Suisse,Not Provided,5,outperform,42.0,43.0
44,44,-0.0,M,-2147483648,2015-10-29,UBS,12 month,5,buy,47.0,44.0
45,45,-0.0,M,-2147483648,2015-10-29,Edward Jones,Not Provided,3,hold,-0.0,45.0
46,46,-0.0,M,-2147483648,2015-10-29,William Blair & Co,Not Provided,5,outperform,-0.0,46.0
47,47,-0.0,M,-2147483648,2015-10-29,Cowen,12 month,5,outperform,43.0,47.0
48,48,-0.0,M,-2147483648,2015-10-29,Barclays,Not Provided,3,equalweight,38.0,48.0
49,49,-0.0,N,-2147483648,2015-10-12,New Street Research,Not Provided,5,buy,36.5,49.0
50,50,-0.0,N,-2147483648,2015-08-17,EVA Dimensions,Not Provided,5,overweight,-0.0,50.0
51,51,-0.0,M,-2147483648,2015-08-05,Spin-Off Research,Not Provided,3,neutral,35.0,51.0
52,52,-0.0,M,-2147483648,2015-08-04,Morgan Stanley,Not Provided,-2147483648,restricted,-0.0,52.0
