,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,R,-2147483648,2005-12-15,Piper Jaffray,Not Provided,5,outperform,11.52
1,1,1,-0.0,M,-2147483648,2005-08-29,EVA Dimensions,Not Provided,1,strong sell,-0.0
2,2,2,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
3,3,3,-0.0,R,-2147483648,2006-01-27,Piper Jaffray,Not Provided,5,outperform,11.52
4,4,4,-0.0,M,-2147483648,2006-01-13,EVA Dimensions,Not Provided,1,strong sell,-0.0
5,5,5,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
6,6,6,-0.0,N,-2147483648,2006-03-01,J.P. Morgan,Not Provided,3,neutral,-0.0
7,7,7,-0.0,R,-2147483648,2006-02-16,Piper Jaffray,Not Provided,5,outperform,11.52
8,8,8,-0.0,M,-2147483648,2006-01-13,EVA Dimensions,Not Provided,1,strong sell,-0.0
9,9,9,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
10,10,10,-0.0,R,-2147483648,2006-03-10,Piper Jaffray,Not Provided,5,outperform,11.52
11,11,11,-0.0,N,-2147483648,2006-03-01,J.P. Morgan,Not Provided,3,neutral,-0.0
12,12,12,-0.0,M,-2147483648,2006-01-13,EVA Dimensions,Not Provided,1,strong sell,-0.0
13,13,13,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
14,14,14,-0.0,U,-2147483648,2006-04-19,EVA Dimensions,Not Provided,1,sell,-0.0
15,15,15,-0.0,R,-2147483648,2006-04-17,Piper Jaffray,Not Provided,5,outperform,9.6
16,16,16,-0.0,N,-2147483648,2006-03-01,J.P. Morgan,Not Provided,3,neutral,-0.0
17,17,17,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
18,18,18,-0.0,R,-2147483648,2006-05-17,Piper Jaffray,Not Provided,5,outperform,9.6
19,19,19,-0.0,U,-2147483648,2006-04-19,EVA Dimensions,Not Provided,1,sell,-0.0
20,20,20,-0.0,N,-2147483648,2006-03-01,J.P. Morgan,Not Provided,3,neutral,-0.0
21,21,21,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
22,22,22,-0.0,R,-2147483648,2006-05-17,Piper Jaffray,Not Provided,5,outperform,9.6
23,23,23,-0.0,U,-2147483648,2006-04-19,EVA Dimensions,Not Provided,1,sell,-0.0
24,24,24,-0.0,N,-2147483648,2006-03-01,J.P. Morgan,Not Provided,3,neutral,-0.0
25,25,25,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
26,26,26,-0.0,D,-2147483648,2006-07-25,EVA Dimensions,Not Provided,1,sell,-0.0
27,27,27,-0.0,R,-2147483648,2006-07-21,Piper Jaffray,Not Provided,5,outperform,9.6
28,28,28,-0.0,N,-2147483648,2006-03-01,J.P. Morgan,Not Provided,3,neutral,-0.0
29,29,29,-0.0,N,-2147483648,2004-09-17,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
30,30,30,-0.0,R,-2147483648,2006-08-23,Piper Jaffray,Not Provided,5,outperform,9.6
