,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,M,-2147483648,2005-12-29,Bernstein,Not Provided,3,market perform,26.100000
1,-0.000000,M,-2147483648,2005-12-22,J.P. Morgan,Not Provided,3,neutral,-0.000000
2,-0.000000,U,-2147483648,2005-12-16,Oppenheimer & Co,Not Provided,5,buy,29.710000
3,-0.000000,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,buy,-0.000000
4,-0.000000,M,-2147483648,2005-11-11,Pacific Crest Securities,Not Provided,3,sector perform,-0.000000
5,-0.000000,M,-2147483648,2005-11-10,Credit Suisse,12 month,3,neutral,27.900000
6,-0.000000,M,-2147483648,2005-11-09,Bear Stearns & Co,Not Provided,3,peerperform,29.710000
7,-0.000000,M,-2147483648,2005-11-09,UBS,Not Provided,3,neutral 2,27.000000
8,-0.000000,R,-2147483648,2005-11-09,Kaufman Bros,12 month,5,buy,29.710000
9,-0.000000,R,-2147483648,2005-11-09,CRT Capital Group,Not Provided,3,Fairly Valued,-0.000000
10,-0.000000,M,-2147483648,2005-11-09,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
11,-0.000000,M,-2147483648,2005-11-09,Prudential Equity Group Inc,Not Provided,1,underweight,31.510000
12,-0.000000,M,-2147483648,2005-11-09,Madison Williams,Not Provided,3,hold,-0.000000
13,-0.000000,M,-2147483648,2005-11-07,Janco Partners Inc,12 month,3,market perform,25.490000
14,-0.000000,D,-2147483648,2005-11-02,Buckingham Research Group,Not Provided,4,accumulate,28.810000
15,-0.000000,M,-2147483648,2005-11-02,Barclays,Not Provided,5,overwt/neutral,36.010000
16,-0.000000,M,-2147483648,2005-09-21,Gleacher & Company,Not Provided,5,buy,-0.000000
17,-0.000000,M,-2147483648,2005-08-10,Morgan Stanley,Not Provided,5,Overwt/Cautious,36.010000
18,-0.000000,M,-2147483648,2005-08-10,Cowen,Not Provided,-2147483648,no rating system,-0.000000
19,-0.000000,U,-2147483648,2005-07-18,Goldman Sachs,Not Provided,5,outperf/neutral,-0.000000
20,-0.000000,U,-2147483648,2005-06-13,Argus Research Corp,Not Provided,3,hold,-0.000000
21,-0.000000,M,-2147483648,2005-03-17,Tradition Asiel Securities Inc.,Not Provided,3,hold,25.200000
22,-0.000000,M,-2147483648,2006-01-31,Cowen,Not Provided,-2147483648,no rating system,-0.000000
23,-0.000000,M,-2147483648,2006-01-23,Bernstein,Not Provided,3,market perform,26.100000
24,-0.000000,D,-2147483648,2006-01-20,Oppenheimer & Co,Not Provided,3,neutral,29.710000
25,-0.000000,M,-2147483648,2006-01-20,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
26,-0.000000,U,-2147483648,2006-01-17,Prudential Equity Group Inc,Not Provided,5,overweight,31.510000
27,-0.000000,M,-2147483648,2006-01-13,Morgan Stanley,Not Provided,5,Overwt/Cautious,32.410000
28,-0.000000,M,-2147483648,2006-01-04,Janco Partners Inc,12 month,3,market perform,27.000000
29,-0.000000,M,-2147483648,2005-12-22,J.P. Morgan,Not Provided,3,neutral,-0.000000
30,-0.000000,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,buy,-0.000000
31,-0.000000,M,-2147483648,2005-11-11,Pacific Crest Securities,Not Provided,3,sector perform,-0.000000
32,-0.000000,M,-2147483648,2005-11-10,Credit Suisse,12 month,3,neutral,27.900000
33,-0.000000,M,-2147483648,2005-11-09,Bear Stearns & Co,Not Provided,3,peerperform,29.710000
34,-0.000000,M,-2147483648,2005-11-09,UBS,Not Provided,3,neutral 2,27.000000
35,-0.000000,R,-2147483648,2005-11-09,Kaufman Bros,12 month,5,buy,29.710000
36,-0.000000,R,-2147483648,2005-11-09,CRT Capital Group,Not Provided,3,Fairly Valued,-0.000000
37,-0.000000,M,-2147483648,2005-11-09,Madison Williams,Not Provided,3,hold,-0.000000
38,-0.000000,D,-2147483648,2005-11-02,Buckingham Research Group,Not Provided,4,accumulate,28.810000
39,-0.000000,M,-2147483648,2005-11-02,Barclays,Not Provided,5,overwt/neutral,36.010000
40,-0.000000,M,-2147483648,2005-09-21,Gleacher & Company,Not Provided,5,buy,-0.000000
41,-0.000000,U,-2147483648,2005-07-18,Goldman Sachs,Not Provided,5,outperf/neutral,-0.000000
42,-0.000000,U,-2147483648,2005-06-13,Argus Research Corp,Not Provided,3,hold,-0.000000
43,-0.000000,M,-2147483648,2005-03-17,Tradition Asiel Securities Inc.,Not Provided,3,hold,25.200000
44,-0.000000,M,-2147483648,2006-02-28,Janco Partners Inc,12 month,3,market perform,27.080000
45,-0.000000,M,-2147483648,2006-02-23,Credit Suisse,12 month,3,neutral,27.900000
46,-0.000000,D,-2147483648,2006-02-21,Cowen,Not Provided,1,underperform,-0.000000
47,-0.000000,M,-2147483648,2006-02-16,J.P. Morgan,Not Provided,3,neutral,-0.000000
48,-0.000000,M,-2147483648,2006-02-15,Ladenburg Thalmann & Co,Not Provided,5,buy,30.610000
49,-0.000000,M,-2147483648,2006-02-06,UBS,Not Provided,3,neutral 2,27.000000
50,-0.000000,M,-2147483648,2006-01-23,Bernstein,Not Provided,3,market perform,26.100000
51,-0.000000,D,-2147483648,2006-01-20,Oppenheimer & Co,Not Provided,3,neutral,29.710000
52,-0.000000,M,-2147483648,2006-01-20,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
53,-0.000000,U,-2147483648,2006-01-17,Prudential Equity Group Inc,Not Provided,5,overweight,31.510000
54,-0.000000,M,-2147483648,2006-01-13,Morgan Stanley,Not Provided,5,Overwt/Cautious,32.410000
55,-0.000000,M,-2147483648,2005-12-16,EVA Dimensions,Not Provided,5,buy,-0.000000
56,-0.000000,M,-2147483648,2005-11-11,Pacific Crest Securities,Not Provided,3,sector perform,-0.000000
57,-0.000000,M,-2147483648,2005-11-09,Bear Stearns & Co,Not Provided,3,peerperform,29.710000
58,-0.000000,R,-2147483648,2005-11-09,Kaufman Bros,12 month,5,buy,29.710000
59,-0.000000,R,-2147483648,2005-11-09,CRT Capital Group,Not Provided,3,Fairly Valued,-0.000000
60,-0.000000,M,-2147483648,2005-11-09,Madison Williams,Not Provided,3,hold,-0.000000
61,-0.000000,D,-2147483648,2005-11-02,Buckingham Research Group,Not Provided,4,accumulate,28.810000
62,-0.000000,M,-2147483648,2005-11-02,Barclays,Not Provided,5,overwt/neutral,36.010000
63,-0.000000,M,-2147483648,2005-09-21,Gleacher & Company,Not Provided,5,buy,-0.000000
64,-0.000000,U,-2147483648,2005-07-18,Goldman Sachs,Not Provided,5,outperf/neutral,-0.000000
65,-0.000000,U,-2147483648,2005-06-13,Argus Research Corp,Not Provided,3,hold,-0.000000
66,-0.000000,M,-2147483648,2005-03-17,Tradition Asiel Securities Inc.,Not Provided,3,hold,25.200000
67,-0.000000,M,-2147483648,2006-03-30,Bernstein,Not Provided,3,market perform,27.900000
68,-0.000000,M,-2147483648,2006-03-29,EVA Dimensions,Not Provided,5,buy,-0.000000
69,-0.000000,M,-2147483648,2006-03-27,J.P. Morgan,Not Provided,3,neutral,-0.000000
70,-0.000000,R,-2147483648,2006-03-16,Kaufman Bros,12 month,5,buy,33.310000
71,-0.000000,M,-2147483648,2006-03-16,Janco Partners Inc,12 month,3,market perform,26.100000
72,-0.000000,M,-2147483648,2006-03-16,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
73,-0.000000,M,-2147483648,2006-03-16,Gleacher & Company,Not Provided,5,buy,37.810000
74,-0.000000,M,-2147483648,2006-03-16,Madison Williams,Not Provided,3,hold,-0.000000
75,-0.000000,M,-2147483648,2006-03-15,UBS,Not Provided,3,neutral 2,27.000000
76,-0.000000,M,-2147483648,2006-03-15,Ladenburg Thalmann & Co,Not Provided,5,buy,30.610000
77,-0.000000,M,-2147483648,2006-03-15,Oppenheimer & Co,Not Provided,3,neutral,29.710000
78,-0.000000,M,-2147483648,2006-03-15,Cowen,Not Provided,1,underperform,-0.000000
79,-0.000000,M,-2147483648,2006-03-15,Prudential Equity Group Inc,Not Provided,5,overweight,31.510000
80,-0.000000,M,-2147483648,2006-03-10,Barclays,Not Provided,5,overwt/neutral,34.210000
81,-0.000000,M,-2147483648,2006-02-23,Credit Suisse,12 month,3,neutral,27.900000
82,-0.000000,M,-2147483648,2006-01-13,Morgan Stanley,Not Provided,5,Overwt/Cautious,32.410000
83,-0.000000,M,-2147483648,2005-11-11,Pacific Crest Securities,Not Provided,3,sector perform,-0.000000
84,-0.000000,M,-2147483648,2005-11-09,Bear Stearns & Co,Not Provided,3,peerperform,29.710000
85,-0.000000,R,-2147483648,2005-11-09,CRT Capital Group,Not Provided,3,Fairly Valued,-0.000000
86,-0.000000,D,-2147483648,2005-11-02,Buckingham Research Group,Not Provided,4,accumulate,28.810000
87,-0.000000,U,-2147483648,2005-07-18,Goldman Sachs,Not Provided,5,outperf/neutral,-0.000000
88,-0.000000,U,-2147483648,2005-06-13,Argus Research Corp,Not Provided,3,hold,-0.000000
89,-0.000000,M,-2147483648,2005-03-17,Tradition Asiel Securities Inc.,Not Provided,3,hold,25.200000
90,-0.000000,M,-2147483648,2006-05-01,UBS,Not Provided,3,neutral 2,27.000000
91,-0.000000,M,-2147483648,2006-04-26,Bernstein,Not Provided,3,market perform,27.900000
92,-0.000000,M,-2147483648,2006-04-24,Prudential Equity Group Inc,Not Provided,5,overweight,31.510000
93,-0.000000,M,-2147483648,2006-04-17,Ladenburg Thalmann & Co,Not Provided,5,buy,30.610000
94,-0.000000,M,-2147483648,2006-04-17,Oppenheimer & Co,Not Provided,3,neutral,29.710000
95,-0.000000,M,-2147483648,2006-04-11,Cowen,Not Provided,1,underperform,-0.000000
96,-0.000000,M,-2147483648,2006-03-29,EVA Dimensions,Not Provided,5,buy,-0.000000
97,-0.000000,M,-2147483648,2006-03-27,J.P. Morgan,Not Provided,3,neutral,-0.000000
98,-0.000000,R,-2147483648,2006-03-16,Kaufman Bros,12 month,5,buy,33.310000
99,-0.000000,M,-2147483648,2006-03-16,Janco Partners Inc,12 month,3,market perform,26.100000
100,-0.000000,M,-2147483648,2006-03-16,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
101,-0.000000,M,-2147483648,2006-03-16,Gleacher & Company,Not Provided,5,buy,37.810000
102,-0.000000,M,-2147483648,2006-03-16,Madison Williams,Not Provided,3,hold,-0.000000
103,-0.000000,M,-2147483648,2006-03-10,Barclays,Not Provided,5,overwt/neutral,34.210000
104,-0.000000,M,-2147483648,2006-02-23,Credit Suisse,12 month,3,neutral,27.900000
105,-0.000000,M,-2147483648,2006-01-13,Morgan Stanley,Not Provided,5,Overwt/Cautious,32.410000
106,-0.000000,M,-2147483648,2005-11-11,Pacific Crest Securities,Not Provided,3,sector perform,-0.000000
107,-0.000000,M,-2147483648,2005-11-09,Bear Stearns & Co,Not Provided,3,peerperform,29.710000
108,-0.000000,R,-2147483648,2005-11-09,CRT Capital Group,Not Provided,3,Fairly Valued,-0.000000
109,-0.000000,D,-2147483648,2005-11-02,Buckingham Research Group,Not Provided,4,accumulate,28.810000
110,-0.000000,U,-2147483648,2005-07-18,Goldman Sachs,Not Provided,5,outperf/neutral,-0.000000
111,-0.000000,U,-2147483648,2005-06-13,Argus Research Corp,Not Provided,3,hold,-0.000000
112,-0.000000,M,-2147483648,2005-03-17,Tradition Asiel Securities Inc.,Not Provided,3,hold,25.200000
113,-0.000000,M,-2147483648,2006-05-31,EVA Dimensions,Not Provided,5,buy,-0.000000
114,-0.000000,M,-2147483648,2006-05-25,Janco Partners Inc,12 month,3,market perform,27.000000
115,-0.000000,M,-2147483648,2006-05-25,Cowen,Not Provided,1,underperform,-0.000000
116,-0.000000,M,-2147483648,2006-05-24,Bernstein,Not Provided,3,market perform,27.900000
117,-0.000000,R,-2147483648,2006-05-22,Kaufman Bros,12 month,5,buy,33.310000
118,-0.000000,D,-2147483648,2006-05-16,Morgan Stanley,Not Provided,3,Equalwt/Cautious,29.710000
119,-0.000000,R,-2147483648,2006-05-15,CRT Capital Group,Not Provided,3,Fairly Valued,-0.000000
120,-0.000000,M,-2147483648,2006-05-12,Credit Suisse,12 month,3,neutral,28.810000
