,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-16,Credit Suisse,12 month,3,neutral,20.0
1,1,1,-0.0,M,-2147483648,2005-12-14,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2,2,2,-0.0,D,-2147483648,2005-10-27,EVA Dimensions,Not Provided,1,sell,-0.0
3,3,3,-0.0,M,-2147483648,2005-10-26,Morgan Stanley,Not Provided,5,Overwt/In-Line,22.0
4,4,4,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
5,5,5,-0.0,M,-2147483648,2005-06-03,J.P. Morgan,Not Provided,3,neutral,-0.0
6,6,6,-0.0,M,-2147483648,2006-01-26,EVA Dimensions,Not Provided,1,sell,-0.0
7,7,7,-0.0,D,-2147483648,2006-01-25,Credit Suisse,12 month,1,underperform,20.0
8,8,8,-0.0,M,-2147483648,2006-01-25,Rochdale Securities,Not Provided,3,hold,17.11
9,9,9,-0.0,M,-2147483648,2006-01-24,Wells Fargo Securities,Not Provided,3,market perform,-0.0
10,10,10,-0.0,U,-2147483648,2006-01-04,J.P. Morgan,Not Provided,5,overweight,-0.0
11,11,11,-0.0,M,-2147483648,2005-10-26,Morgan Stanley,Not Provided,5,Overwt/In-Line,22.0
12,12,12,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
13,13,13,-0.0,M,-2147483648,2006-02-23,Wells Fargo Securities,Not Provided,3,market perform,24.0
14,14,14,-0.0,M,-2147483648,2006-02-16,Rochdale Securities,Not Provided,3,hold,20.0
15,15,15,-0.0,M,-2147483648,2006-02-15,Morgan Stanley,Not Provided,5,Overwt/In-Line,24.0
16,16,16,-0.0,N,-2147483648,2006-02-03,Lehman Brothers,Not Provided,5,overwt/neutral,25.0
17,17,17,-0.0,M,-2147483648,2006-01-26,EVA Dimensions,Not Provided,1,sell,-0.0
18,18,18,-0.0,D,-2147483648,2006-01-25,Credit Suisse,12 month,1,underperform,20.0
19,19,19,-0.0,U,-2147483648,2006-01-04,J.P. Morgan,Not Provided,5,overweight,-0.0
20,20,20,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
21,21,21,-0.0,M,-2147483648,2006-03-28,EVA Dimensions,Not Provided,1,sell,-0.0
22,22,22,-0.0,M,-2147483648,2006-03-23,Lehman Brothers,Not Provided,5,overwt/neutral,27.0
23,23,23,-0.0,U,-2147483648,2006-03-16,Wells Fargo Securities,Not Provided,5,outperform,-0.0
24,24,24,-0.0,M,-2147483648,2006-02-16,Rochdale Securities,Not Provided,3,hold,20.0
25,25,25,-0.0,M,-2147483648,2006-02-15,Morgan Stanley,Not Provided,5,Overwt/In-Line,24.0
26,26,26,-0.0,D,-2147483648,2006-01-25,Credit Suisse,12 month,1,underperform,20.0
27,27,27,-0.0,U,-2147483648,2006-01-04,J.P. Morgan,Not Provided,5,overweight,-0.0
28,28,28,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
29,29,29,-0.0,M,-2147483648,2006-04-26,Lehman Brothers,Not Provided,5,overwt/neutral,28.0
30,30,30,-0.0,U,-2147483648,2006-04-26,Credit Suisse,12 month,3,neutral,23.0
31,31,31,-0.0,M,-2147483648,2006-04-26,Wells Fargo Securities,Not Provided,5,outperform,-0.0
32,32,32,-0.0,M,-2147483648,2006-04-25,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.0
33,33,33,-0.0,M,-2147483648,2006-03-28,EVA Dimensions,Not Provided,1,sell,-0.0
34,34,34,-0.0,M,-2147483648,2006-02-16,Rochdale Securities,Not Provided,3,hold,20.0
35,35,35,-0.0,U,-2147483648,2006-01-04,J.P. Morgan,Not Provided,5,overweight,-0.0
36,36,36,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
37,37,37,-0.0,U,-2147483648,2006-05-23,EVA Dimensions,Not Provided,3,hold,-0.0
38,38,38,-0.0,M,-2147483648,2006-05-11,Wells Fargo Securities,Not Provided,5,outperform,-0.0
39,39,39,-0.0,M,-2147483648,2006-05-04,Rochdale Securities,Not Provided,3,hold,22.0
40,40,40,-0.0,M,-2147483648,2006-04-26,Lehman Brothers,Not Provided,5,overwt/neutral,28.0
41,41,41,-0.0,U,-2147483648,2006-04-26,Credit Suisse,12 month,3,neutral,23.0
42,42,42,-0.0,M,-2147483648,2006-04-25,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.0
43,43,43,-0.0,U,-2147483648,2006-01-04,J.P. Morgan,Not Provided,5,overweight,-0.0
44,44,44,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
45,45,45,-0.0,M,-2147483648,2006-06-15,Wells Fargo Securities,Not Provided,5,outperform,-0.0
46,46,46,-0.0,U,-2147483648,2006-05-23,EVA Dimensions,Not Provided,3,hold,-0.0
47,47,47,-0.0,M,-2147483648,2006-05-04,Rochdale Securities,Not Provided,3,hold,22.0
48,48,48,-0.0,M,-2147483648,2006-04-26,Lehman Brothers,Not Provided,5,overwt/neutral,28.0
49,49,49,-0.0,U,-2147483648,2006-04-26,Credit Suisse,12 month,3,neutral,23.0
50,50,50,-0.0,M,-2147483648,2006-04-25,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.0
51,51,51,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
52,52,52,-0.0,M,-2147483648,2006-07-26,Lehman Brothers,Not Provided,5,overwt/neutral,29.0
53,53,53,-0.0,M,-2147483648,2006-07-26,Credit Suisse,12 month,3,neutral,23.0
54,54,54,-0.0,M,-2147483648,2006-07-25,Wells Fargo Securities,Not Provided,5,outperform,-0.0
55,55,55,-0.0,U,-2147483648,2006-05-23,EVA Dimensions,Not Provided,3,hold,-0.0
56,56,56,-0.0,M,-2147483648,2006-04-25,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.0
57,57,57,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
58,58,58,-0.0,M,-2147483648,2006-08-31,Wells Fargo Securities,Not Provided,5,outperform,-0.0
59,59,59,-0.0,U,-2147483648,2006-08-17,EVA Dimensions,Not Provided,5,buy,-0.0
60,60,60,-0.0,M,-2147483648,2006-07-26,Lehman Brothers,Not Provided,5,overwt/neutral,29.0
61,61,61,-0.0,M,-2147483648,2006-07-26,Credit Suisse,12 month,3,neutral,23.0
62,62,62,-0.0,M,-2147483648,2006-04-25,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.0
63,63,63,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
64,64,64,-0.0,M,-2147483648,2006-09-19,Wells Fargo Securities,Not Provided,5,outperform,-0.0
65,65,65,-0.0,U,-2147483648,2006-08-17,EVA Dimensions,Not Provided,5,buy,-0.0
66,66,66,-0.0,M,-2147483648,2006-07-26,Lehman Brothers,Not Provided,5,overwt/neutral,29.0
67,67,67,-0.0,M,-2147483648,2006-07-26,Credit Suisse,12 month,3,neutral,23.0
68,68,68,-0.0,M,-2147483648,2006-04-25,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.0
69,69,69,-0.0,U,-2147483648,2005-06-24,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
