Date,BS_SH_OUT,SHORT_INT
2010-12-31,291.0,
2011-11-30,,274936.0
2011-12-15,,512808.0
2011-12-30,,393211.0
2011-12-31,328.2445,
2012-01-13,,599970.0
2012-01-31,,911378.0
2012-02-15,,4918760.0
2012-02-29,,1610058.0
2012-03-15,,694704.0
2012-03-30,,2591766.0
2012-03-31,328.2445,
2012-04-13,,3274459.0
2012-04-30,,2888251.0
2012-05-15,,3224964.0
2012-05-31,,3743525.0
2012-06-15,,4767615.0
2012-06-29,,5373749.0
2012-06-30,322.9973,
2012-07-13,,4665730.0
2012-07-31,,4659959.0
2012-08-15,,3223343.0
2012-08-31,,3343410.0
2012-09-14,,3856568.0
2012-09-28,,4095095.0
2012-09-30,317.554,
2012-10-15,,4187876.0
2012-10-31,,3556656.0
2012-11-15,,3187853.0
2012-11-30,,3987823.0
2012-12-14,,4396328.0
2012-12-31,315.2992,14541441.0
2013-01-15,,15532887.0
2013-01-31,,13487517.0
2013-02-15,,11661841.0
2013-02-28,,9080583.0
2013-03-15,,8180800.0
2013-03-28,,7815596.0
2013-03-31,312.5886,
2013-04-15,,8040024.0
2013-04-30,,5963622.0
2013-05-15,,5890100.0
2013-05-31,,5981135.0
2013-06-14,,6227827.0
2013-06-28,,6194465.0
2013-06-30,310.2,
2013-07-15,,5987278.0
2013-07-31,,5277447.0
2013-08-15,,4618661.0
2013-08-30,,4895445.0
2013-09-13,,5609932.0
2013-09-30,308.08,5193063.0
2013-10-15,,3537616.0
2013-10-31,,2291143.0
2013-11-15,,2928663.0
2013-11-29,,3158259.0
2013-12-13,,2419250.0
2013-12-31,306.3891,2102117.0
2014-01-15,,1831582.0
2014-01-31,,1629914.0
2014-02-14,,1775089.0
2014-02-28,,2172928.0
2014-03-14,,1938402.0
2014-03-31,304.2469,1946936.0
2014-04-15,,2484244.0
2014-04-30,,2196688.0
2014-05-15,,2578889.0
2014-05-30,,3313886.0
2014-06-13,,4752795.0
2014-06-30,301.0152,7194109.0
2014-07-15,,2256546.0
2014-07-31,,2173783.0
2014-08-15,,2293471.0
2014-08-29,,2344047.0
2014-09-15,,2111165.0
2014-09-30,296.6566,2524701.0
2014-10-15,,2266509.0
2014-10-31,,2630909.0
2014-11-14,,2410769.0
2014-11-28,,2320453.0
2014-12-15,,2071487.0
2014-12-31,291.6194,2365636.0
2015-01-15,,2518735.0
2015-01-30,,2542677.0
2015-02-13,,3219920.0
2015-02-27,,2693455.0
2015-03-13,,2626143.0
2015-03-31,289.5339,2234961.0
2015-04-15,,2626690.0
2015-04-30,,2493387.0
2015-05-15,,2567478.0
2015-05-29,,2290269.0
2015-06-15,,3412122.0
2015-06-30,285.9063,3829937.0
2015-07-15,,5882864.0
2015-07-31,,4936053.0
2015-08-14,,5362163.0
2015-08-31,,5349323.0
2015-09-15,,5606392.0
2015-09-30,280.6147,5495765.0
2015-10-15,,5290702.0
2015-10-30,,4610910.0
2015-11-13,,4698821.0
2015-11-30,,5502403.0
2015-12-15,,5034124.0
2015-12-31,278.2085,4910261.0
2016-01-15,,6004931.0
2016-01-29,,5979589.0
2016-02-12,,5795569.0
2016-02-29,,6219024.0
2016-03-15,,6143154.0
2016-03-31,273.6357,5510619.0
2016-04-15,,5698717.0
2016-04-29,,4829758.0
2016-05-13,,4818080.0
2016-05-31,,4904041.0
2016-06-15,,4925989.0
2016-06-30,272.7647,4537792.0
2016-07-15,,5291834.0
2016-07-29,,5541355.0
2016-08-15,,5126916.0
2016-08-31,,6271574.0
2016-09-15,,7870808.0
2016-09-30,271.2776,7721431.0
2016-10-14,,6502388.0
2016-10-31,,5378931.0
2016-11-15,,6626244.0
2016-11-30,,5441568.0
2016-12-15,,5326283.0
2016-12-30,,4848662.0
2016-12-31,269.79,
2017-01-13,,5076274.0
2017-01-31,,5937971.0
2017-02-15,,6233051.0
2017-02-28,,6234283.0
2017-03-15,,6461021.0
2017-03-31,269.287,5525500.0
2017-04-13,,5674261.0
