Date,BS_SH_OUT,SHORT_INT
2006-01-13,,11876339.0
2006-02-15,,11978633.0
2006-03-15,,9479026.0
2006-03-31,110.0145,
2006-04-13,,9666830.0
2006-05-15,,9361022.0
2006-06-15,,11141989.0
2006-06-30,110.0634,
2006-07-14,,9368700.0
2006-08-15,,12274718.0
2006-09-15,,14380884.0
2006-09-30,110.2215,
2006-10-13,,15591123.0
2006-11-15,,13550434.0
2006-12-15,,12748108.0
2006-12-31,110.3248,
2007-01-12,,13731336.0
2007-02-15,,12282942.0
2007-03-15,,15193262.0
2007-03-31,111.0605,
2007-04-13,,13588954.0
2007-05-15,,14160220.0
2007-06-15,,14984986.0
2007-06-30,111.4648,
2007-07-13,,8880394.0
2007-08-15,,5980775.0
2007-09-14,,6137057.0
2007-09-28,,5753815.0
2007-09-30,111.5018,
2007-10-15,,5203138.0
2007-10-31,,6184057.0
2007-11-15,,5429162.0
2007-11-30,,4392824.0
2007-12-14,,4820588.0
2007-12-31,111.4977,5681314.0
2008-01-15,,6608362.0
2008-01-31,,5382150.0
2008-02-15,,5952342.0
2008-02-29,,5736908.0
2008-03-14,,6999616.0
2008-03-31,111.9905,6428710.0
2008-04-15,,7585827.0
2008-04-30,,7312776.0
2008-05-15,,6598318.0
2008-05-30,,6482905.0
2008-06-13,,7405545.0
2008-06-30,112.2065,7194881.0
2008-07-15,,10317193.0
2008-07-31,,10600857.0
2008-08-15,,10337492.0
2008-08-29,,11745527.0
2008-09-15,,10418477.0
2008-09-30,112.2104,5136433.0
2008-10-15,,6748081.0
2008-10-31,,8695767.0
2008-11-14,,9501162.0
2008-11-28,,8160914.0
2008-12-15,,5211360.0
2008-12-31,110.3948,4998120.0
2009-01-15,,6265708.0
2009-01-30,,7198177.0
2009-02-13,,5347135.0
2009-02-27,,6334422.0
2009-03-13,,8211584.0
2009-03-31,109.2772,5399150.0
2009-04-15,,7228061.0
2009-04-30,,6519819.0
2009-05-15,,5840411.0
2009-05-29,,6203966.0
2009-06-15,,12141450.0
2009-06-30,109.3858,8566851.0
2009-07-15,,8161011.0
2009-07-31,,6556064.0
2009-08-14,,9046076.0
2009-08-31,,11420380.0
2009-09-15,,11914356.0
2009-09-30,109.3664,10179251.0
2009-10-15,,11277055.0
2009-10-30,,9502810.0
2009-11-13,,9639291.0
2009-11-30,,9995782.0
2009-12-15,,9812673.0
2009-12-31,109.3945,9543567.0
2010-01-15,,9053003.0
2010-01-29,,8317565.0
2010-02-12,,9296881.0
2010-02-26,,8272804.0
2010-03-15,,8272942.0
2010-03-31,109.9078,9218772.0
2010-04-15,,10510484.0
2010-04-30,,16985547.0
2010-05-14,,16871245.0
2010-05-28,,14516663.0
2010-06-15,,15406308.0
2010-06-30,109.9774,15718216.0
2010-07-15,,11317756.0
2010-07-30,,10934212.0
2010-08-13,,11805506.0
2010-08-31,,12689483.0
2010-09-15,,12163212.0
2010-09-30,109.9886,12554724.0
2010-10-15,,11313395.0
2010-10-29,,13004088.0
2010-11-15,,14993970.0
2010-11-30,,15312606.0
2010-12-15,,15038998.0
2010-12-31,109.9868,13533321.0
2011-01-14,,15193912.0
2011-01-31,,16022699.0
2011-02-15,,16496061.0
2011-02-28,,14900300.0
2011-03-15,,15202736.0
2011-03-31,110.257,14343549.0
2011-04-15,,15495044.0
2011-04-29,,14411459.0
2011-05-13,,17056740.0
2011-05-31,,17787487.0
2011-06-15,,19379318.0
2011-06-30,110.267,18096962.0
2011-07-15,,15815241.0
2011-07-29,,16389856.0
2011-08-15,,21422500.0
2011-08-31,,23276483.0
2011-09-15,,24348708.0
2011-09-30,110.2719,23769185.0
2011-10-14,,24176649.0
2011-10-31,,22904843.0
2011-11-15,,25785231.0
2011-11-30,,25495540.0
2011-12-15,,24699728.0
2011-12-30,,22573504.0
2011-12-31,110.2842,
2012-01-13,,22449310.0
2012-01-31,,20280083.0
2012-02-15,,25047987.0
2012-02-29,,24632219.0
2012-03-15,,27803951.0
2012-03-30,,28431458.0
2012-03-31,110.5629,
2012-04-13,,29751856.0
2012-04-30,,27586361.0
2012-05-15,,31024575.0
2012-05-31,,31802276.0
2012-06-15,,34316348.0
2012-06-29,,36374326.0
2012-06-30,110.6169,
2012-07-13,,33522089.0
2012-07-31,,32960539.0
2012-08-15,,30156134.0
2012-08-31,,31767888.0
2012-09-14,,33916490.0
2012-09-28,,30567979.0
2012-09-30,110.6308,
2012-10-15,,31964186.0
2012-10-31,,33176029.0
2012-11-15,,35222844.0
2012-11-30,,35041972.0
2012-12-14,,33312970.0
2012-12-31,135.9442,31102462.0
2013-01-15,,31561952.0
2013-01-31,,31108133.0
2013-02-15,,33977261.0
2013-02-28,,37628403.0
2013-03-15,,38241361.0
2013-03-28,,38547613.0
2013-03-31,136.3103,
2013-04-15,,41431725.0
2013-04-30,,43120305.0
2013-05-15,,40225585.0
2013-05-31,,40571279.0
2013-06-14,,40833109.0
2013-06-28,,37075098.0
2013-06-30,136.3019,
2013-07-15,,38905587.0
2013-07-31,,37176475.0
2013-08-15,,37008251.0
2013-08-30,,37323041.0
2013-09-13,,38003165.0
2013-09-30,136.3416,34169053.0
2013-10-15,,33696916.0
2013-10-31,,32585286.0
2013-11-15,,37193899.0
2013-11-29,,35004077.0
2013-12-13,,35441070.0
2013-12-31,136.3801,34314362.0
2014-01-15,,35707665.0
2014-01-31,,37939485.0
2014-02-14,,36643686.0
