Date,BS_SH_OUT,SHORT_INT
2006-01-13,,4200616.0
2006-02-15,,3303362.0
2006-03-15,,3891709.0
2006-03-31,100.0426,
2006-04-13,,5688810.0
2006-05-15,,5455475.0
2006-06-15,,5180449.0
2006-06-30,100.7,
2006-07-14,,3922647.0
2006-08-15,,5098397.0
2006-09-15,,6179839.0
2006-09-30,100.6672,
2006-10-13,,5772059.0
2006-11-15,,4449412.0
2006-12-15,,4526249.0
2006-12-31,101.2014,
2007-01-12,,5108678.0
2007-02-15,,4316579.0
2007-03-15,,4141305.0
2007-03-31,102.1425,
2007-04-13,,5004294.0
2007-05-15,,4717343.0
2007-06-15,,5140116.0
2007-06-30,102.2079,
2007-07-13,,3939809.0
2007-08-15,,2895380.0
2007-09-14,,3126651.0
2007-09-28,,3499520.0
2007-09-30,102.2438,
2007-10-15,,3248782.0
2007-10-31,,2803463.0
2007-11-15,,3025611.0
2007-11-30,,3170774.0
2007-12-14,,3023652.0
2007-12-31,101.5863,3614646.0
2008-01-15,,3431147.0
2008-01-31,,3540058.0
2008-02-15,,4938023.0
2008-02-29,,4581110.0
2008-03-14,,6701969.0
2008-03-31,101.1023,5334500.0
2008-04-15,,4973504.0
2008-04-30,,5115801.0
2008-05-15,,5243067.0
2008-05-30,,5046694.0
2008-06-13,,9477655.0
2008-06-30,100.685,10812723.0
2008-07-15,,11095890.0
2008-07-31,,9840507.0
2008-08-15,,10979491.0
2008-08-29,,11633383.0
2008-09-15,,11986302.0
2008-09-30,97.2978,9785435.0
2008-10-15,,10616593.0
2008-10-31,,11053910.0
2008-11-14,,10156666.0
2008-11-28,,11303176.0
2008-12-15,,11294309.0
2008-12-31,97.331,11197790.0
2009-01-15,,10932519.0
2009-01-30,,11274209.0
2009-02-13,,11305255.0
2009-02-27,,11192049.0
2009-03-13,,11334182.0
2009-03-31,98.0118,11350681.0
2009-04-15,,11079317.0
2009-04-30,,11102715.0
2009-05-15,,11052312.0
2009-05-29,,9939090.0
2009-06-15,,11373781.0
2009-06-30,98.073,10609780.0
2009-07-15,,11040054.0
2009-07-31,,11703706.0
2009-08-14,,13263900.0
2009-08-31,,13522765.0
2009-09-15,,12953331.0
2009-09-30,98.0779,12293252.0
2009-10-15,,12738538.0
2009-10-30,,12351518.0
2009-11-13,,13791296.0
2009-11-30,,13419631.0
2009-12-15,,13078040.0
2009-12-31,98.0705,12405893.0
2010-01-15,,11451448.0
2010-01-29,,9826395.0
2010-02-12,,10456020.0
2010-02-26,,10271156.0
2010-03-15,,11300562.0
2010-03-31,98.55,12580558.0
2010-04-15,,11371972.0
2010-04-30,,10670793.0
2010-05-14,,12108885.0
2010-05-28,,12520548.0
2010-06-15,,11968876.0
2010-06-30,98.5739,11269930.0
2010-07-15,,11075953.0
2010-07-30,,11232987.0
2010-08-13,,11831404.0
2010-08-31,,11238928.0
2010-09-15,,11018757.0
2010-09-30,98.5791,11867884.0
2010-10-15,,11411111.0
2010-10-29,,12027929.0
2010-11-15,,12371417.0
2010-11-30,,12897884.0
2010-12-15,,12931551.0
