Date,SHORT_INT,BS_SH_OUT
2006-01-13,2944532.0,
2006-02-15,2993969.0,
2006-03-15,2775016.0,
2006-03-31,,129.3295
2006-04-13,2572630.0,
2006-05-15,2579262.0,
2006-06-15,2632825.0,
2006-06-30,,127.2787
2006-07-14,2524989.0,
2006-08-15,2745189.0,
2006-09-15,2986105.0,
2006-09-30,,124.3027
2006-10-13,2682959.0,
2006-11-15,2255387.0,
2006-12-15,2486576.0,
2006-12-31,,122.6183
2007-01-12,2214098.0,
2007-02-15,2246939.0,
2007-03-15,2110312.0,
2007-03-31,,121.4332
2007-04-13,2506433.0,
2007-05-15,3163171.0,
2007-06-15,4039585.0,
2007-06-30,,119.8833
2007-07-13,4149330.0,
2007-08-15,3987314.0,
2007-09-14,3444144.0,
2007-09-28,3375381.0,
2007-09-30,,117.6892
2007-10-15,3625118.0,
2007-10-31,3983853.0,
2007-11-15,4618826.0,
2007-11-30,5964192.0,
2007-12-14,5355982.0,
2007-12-31,6111471.0,117.808
2008-01-15,6111485.0,
2008-01-31,1268503.0,
2008-02-15,1211608.0,
2008-02-29,1272876.0,
2008-03-14,1778547.0,
2008-03-31,1224293.0,117.9229
2008-04-15,1002917.0,
2008-04-30,1139005.0,
2008-05-15,863534.0,
2008-05-30,1093880.0,
2008-06-13,1428172.0,
2008-06-30,1229442.0,118.2674
2008-07-15,1660062.0,
2008-07-31,1496660.0,
2008-08-15,1321489.0,
2008-08-29,1279550.0,
2008-09-15,1009947.0,
2008-09-30,806840.0,117.3623
2008-10-15,732272.0,
2008-10-31,955662.0,
2008-11-14,706350.0,
2008-11-28,1188045.0,
2008-12-15,1178067.0,
2008-12-31,1802128.0,117.3685
2009-01-15,2214674.0,
2009-01-30,1292218.0,
2009-02-13,1468334.0,
2009-02-27,1641076.0,
2009-03-13,1748613.0,
2009-03-31,1787184.0,117.5335
2009-04-15,1675479.0,
2009-04-30,1947767.0,
2009-05-15,1319789.0,
2009-05-29,1523147.0,
2009-06-15,1252964.0,
2009-06-30,2315830.0,117.5601
2009-07-15,1582717.0,
2009-07-31,1685957.0,
2009-08-14,2004282.0,
2009-08-31,1794605.0,
2009-09-15,1647684.0,
2009-09-30,1752930.0,116.6333
2009-10-15,1228049.0,
2009-10-30,1377290.0,
2009-11-13,1802229.0,
2009-11-30,1734972.0,
2009-12-15,1232272.0,
2009-12-31,1188584.0,116.6487
2010-01-15,1125690.0,
2010-01-29,1143742.0,
2010-02-12,1099494.0,
2010-02-26,951602.0,
2010-03-15,1336578.0,
2010-03-31,2047475.0,113.5843
2010-04-15,2159162.0,
2010-04-30,1992339.0,
2010-05-14,2694487.0,
2010-05-28,2764443.0,
2010-06-15,2430942.0,
2010-06-30,2187505.0,107.5496
2010-07-15,2027874.0,
