Date,SHORT_INT,BS_SH_OUT
2009-09-15,7815954.0,
2009-09-30,6058235.0,221.3
2009-10-15,6050166.0,
2009-10-30,5854899.0,
2009-11-13,4599152.0,
2009-11-30,3814401.0,
2009-12-15,3399020.0,
2009-12-31,2234964.0,221.5
2010-01-15,2645719.0,
2010-01-29,3814097.0,
2010-02-12,2568632.0,
2010-02-26,4268132.0,
2010-03-15,4140605.0,
2010-03-31,3184987.0,222.2
2010-04-15,3440299.0,
2010-04-30,4403969.0,
2010-05-14,2903055.0,
2010-05-28,2833595.0,
2010-06-15,3529570.0,
2010-06-30,3524782.0,222.3
2010-07-15,3429895.0,
2010-07-30,2645054.0,
2010-08-13,1910575.0,
2010-08-31,2515694.0,
2010-09-15,2556775.0,
2010-09-30,2999045.0,222.9
2010-10-15,3026546.0,
2010-10-29,3581895.0,
2010-11-15,3343385.0,
2010-11-30,3095740.0,
2010-12-15,3373958.0,
2010-12-31,3548007.0,223.1
2011-01-14,4234070.0,
2011-01-31,5020711.0,
2011-02-15,3978283.0,
2011-02-28,3789055.0,
2011-03-15,3558593.0,
2011-03-31,3546168.0,223.3
2011-04-15,2920170.0,
2011-04-29,2897838.0,
2011-05-13,2214548.0,
2011-05-31,2422307.0,
2011-06-15,2924109.0,
2011-06-30,3945805.0,223.6
2011-07-15,3528619.0,
2011-07-29,3547696.0,
2011-08-15,3505946.0,
2011-08-31,4111440.0,
2011-09-15,3991895.0,
2011-09-30,2658368.0,224.6
2011-10-14,2608902.0,
2011-10-31,2053125.0,
2011-11-15,1993375.0,
2011-11-30,2815296.0,
2011-12-15,2568582.0,
2011-12-30,2181748.0,
2011-12-31,,224.7
2012-01-13,2714887.0,
2012-01-31,1846521.0,
2012-02-15,2811914.0,
2012-02-29,1832876.0,
2012-03-15,2136751.0,
2012-03-30,2772764.0,
2012-03-31,,223.1
2012-04-13,3283373.0,
2012-04-30,4409139.0,
2012-05-15,4776331.0,
2012-05-31,4717890.0,
2012-06-15,3838202.0,
2012-06-29,2501589.0,
2012-06-30,,221.4
2012-07-13,2644994.0,
2012-07-31,2533318.0,
2012-08-15,2023013.0,
2012-08-31,2192355.0,
2012-09-14,2956375.0,
2012-09-28,2946669.0,
2012-09-30,,222.6
2012-10-15,2419591.0,
2012-10-31,2360133.0,
2012-11-15,2361665.0,
2012-11-30,2331245.0,
2012-12-14,2003198.0,
2012-12-31,1403791.0,222.6
2013-01-15,1326721.0,
2013-01-31,1640934.0,
2013-02-15,2015916.0,
2013-02-28,2211605.0,
2013-03-15,2756788.0,
2013-03-28,2061812.0,
2013-03-31,,221.0
2013-04-15,1920788.0,
2013-04-30,1828114.0,
2013-05-15,2000745.0,
2013-05-31,1952796.0,
2013-06-14,2835931.0,
2013-06-28,1704392.0,
2013-06-30,,229.4
2013-07-15,1880243.0,
2013-07-31,2373409.0,
2013-08-15,1776730.0,
2013-08-30,2064061.0,
2013-09-13,2361625.0,
2013-09-30,2433628.0,231.3
2013-10-15,1777702.0,
2013-10-31,1863145.0,
2013-11-15,1823815.0,
2013-11-29,1794121.0,
2013-12-13,1920362.0,
2013-12-31,2206733.0,232.0
2014-01-15,2400965.0,
2014-01-31,2658185.0,
2014-02-14,3408915.0,
2014-02-28,3092779.0,
2014-03-14,3240631.0,
2014-03-31,3133046.0,233.7
2014-04-15,2690628.0,
2014-04-30,3290143.0,
2014-05-15,3043930.0,
2014-05-30,3347629.0,
2014-06-13,3019333.0,
2014-06-30,2713025.0,234.5
2014-07-15,2780827.0,
2014-07-31,2722106.0,
2014-08-15,2760698.0,
2014-08-29,3185639.0,
2014-09-15,3330188.0,
2014-09-30,2813502.0,235.9
2014-10-15,1922939.0,
2014-10-31,2100469.0,
2014-11-14,1902149.0,
2014-11-28,1879217.0,
2014-12-15,2008368.0,
2014-12-31,1820066.0,236.6
2015-01-15,1882540.0,
2015-01-30,1926623.0,
2015-02-13,3107892.0,
2015-02-27,3248492.0,
2015-03-13,2509845.0,
