Date,SHORT_INT,BS_SH_OUT
2006-01-13,8161173.0,
2006-02-12,,469.635
2006-02-15,6870182.0,
2006-03-15,8515314.0,
2006-04-13,8438219.0,
2006-05-07,,469.802
2006-05-15,9915026.0,
2006-06-15,9595705.0,
2006-07-14,11513665.0,
2006-08-15,12223663.0,
2006-09-03,,462.279
2006-09-15,12881354.0,
2006-10-13,9961411.0,
2006-11-15,10300374.0,
2006-11-26,,455.392
2006-12-15,10045433.0,
2007-01-12,8628402.0,
2007-02-15,8226067.0,
2007-02-18,,449.327
2007-03-15,9270596.0,
2007-04-13,12596993.0,
2007-05-13,,440.23
2007-05-15,13096056.0,
2007-06-15,12044757.0,
2007-07-13,16028186.0,
2007-08-15,15108189.0,
2007-09-02,,437.013
2007-09-14,15328532.0,
2007-09-28,15302663.0,
2007-10-15,13911510.0,
2007-10-31,10971865.0,
2007-11-15,12438421.0,
2007-11-25,,434.962
2007-11-30,13303699.0,
2007-12-14,12293997.0,
2007-12-31,10518557.0,
2008-01-15,13957170.0,
2008-01-31,12792937.0,
2008-02-15,12909633.0,
2008-02-17,,434.23
2008-02-29,12452797.0,
2008-03-14,15716867.0,
2008-03-31,15571848.0,
2008-04-15,14782353.0,
2008-04-30,14544510.0,
2008-05-11,,435.056
2008-05-15,14889936.0,
2008-05-30,14334245.0,
2008-06-13,14540753.0,
2008-06-30,16974630.0,
2008-07-15,18679382.0,
2008-07-31,15794494.0,
2008-08-15,16419062.0,
2008-08-29,16223182.0,
2008-08-31,,432.513
2008-09-15,16379057.0,
2008-09-30,15891964.0,
2008-10-15,16367726.0,
2008-10-31,17542403.0,
2008-11-14,19798091.0,
2008-11-23,,433.17
2008-11-28,17333254.0,
2008-12-15,19598373.0,
2008-12-31,18084512.0,
2009-01-15,18489779.0,
2009-01-30,16579363.0,
2009-02-13,17115350.0,
2009-02-15,,434.027
2009-02-27,18441011.0,
2009-03-13,16644182.0,
2009-03-31,16868407.0,
2009-04-15,15970245.0,
2009-04-30,17476523.0,
2009-05-10,,434.868
2009-05-15,17484325.0,
2009-05-29,17426684.0,
2009-06-15,17464314.0,
2009-06-30,18093039.0,
2009-07-15,19512373.0,
2009-07-31,17214829.0,
2009-08-14,15872789.0,
2009-08-30,,435.974
2009-08-31,16562059.0,
2009-09-15,17451060.0,
2009-09-30,13807216.0,
2009-10-15,11407794.0,
2009-10-30,10809775.0,
2009-11-13,11748692.0,
2009-11-22,,439.325
2009-11-30,11562524.0,
2009-12-15,11762451.0,
2009-12-31,12500876.0,
2010-01-15,11185470.0,
2010-01-29,10150653.0,
2010-02-12,11281405.0,
2010-02-14,,440.379
2010-02-26,12651481.0,
2010-03-15,12033738.0,
2010-03-31,12708602.0,
2010-04-15,13280535.0,
2010-04-30,13521283.0,
2010-05-09,,440.575
2010-05-14,14203999.0,
2010-05-28,12053627.0,
2010-06-15,11171946.0,
2010-06-30,11091543.0,
2010-07-15,12111576.0,
2010-07-30,11381543.0,
2010-08-13,9548671.0,
2010-08-29,,433.51
2010-08-31,10504707.0,
2010-09-15,10742153.0,
2010-09-30,12144708.0,
2010-10-15,12390641.0,
2010-10-29,9387443.0,
2010-11-15,9516887.0,
2010-11-21,,436.337
2010-11-30,10072894.0,
2010-12-15,10402878.0,
2010-12-31,9448593.0,
2011-01-14,8316297.0,
2011-01-31,7659462.0,
2011-02-13,,437.164
2011-02-15,7381151.0,
2011-02-28,7449538.0,
2011-03-15,6873533.0,
2011-03-31,6215937.0,
2011-04-15,8946182.0,
2011-04-29,9498813.0,
2011-05-08,,437.735
2011-05-13,8338131.0,
2011-05-31,8478910.0,
2011-06-15,8160696.0,
2011-06-30,6186614.0,
