Date,SHORT_INT,BS_SH_OUT
2006-01-13,20344817.0,
2006-02-15,18901354.0,
2006-03-15,17651388.0,
2006-03-24,,395.8413
2006-04-13,20695738.0,
2006-05-15,18143511.0,
2006-06-15,19518296.0,
2006-06-16,,532.8397
2006-07-14,22196998.0,
2006-08-15,23671476.0,
2006-09-08,,533.1468
2006-09-15,25174918.0,
2006-10-13,22812853.0,
2006-11-15,26501170.0,
2006-12-15,24223479.0,
2006-12-31,,533.5564
2007-01-12,22757154.0,
2007-02-15,26642935.0,
2007-03-15,22341481.0,
2007-03-23,,534.4779
2007-04-13,30975240.0,
2007-05-15,29474098.0,
2007-06-15,28515813.0,534.6827
2007-07-13,29660693.0,
2007-08-15,28304251.0,
2007-09-07,,534.7851
2007-09-14,25087621.0,
2007-09-28,24795661.0,
2007-10-15,24799035.0,
2007-10-31,26075900.0,
2007-11-15,24870452.0,
2007-11-30,27465170.0,
2007-12-14,27636072.0,
2007-12-31,27544816.0,535.0922
2008-01-15,29701083.0,
2008-01-31,34950821.0,
2008-02-15,37963430.0,
2008-02-29,39552410.0,
2008-03-14,45553406.0,
2008-03-21,,533.0444
2008-03-31,42099391.0,
2008-04-15,46194412.0,
2008-04-30,50785048.0,
2008-05-15,50330637.0,
2008-05-30,47508041.0,
2008-06-13,54112045.0,530.9966
2008-06-30,52742926.0,
2008-07-15,57031073.0,
2008-07-31,59141174.0,
2008-08-15,59637259.0,
2008-08-29,60287577.0,
2008-09-05,,531.3038
2008-09-15,62831301.0,
2008-09-30,59876339.0,
2008-10-15,51225689.0,
2008-10-31,41933706.0,
2008-11-14,40385721.0,
2008-11-28,53248806.0,
2008-12-15,51030183.0,
2008-12-31,45381502.0,537.8568
2009-01-15,49419425.0,
2009-01-30,42481821.0,
2009-02-13,41078429.0,
2009-02-27,37892272.0,
2009-03-13,38272028.0,
2009-03-27,,538.9831
2009-03-31,40372712.0,
2009-04-15,36769141.0,
2009-04-30,39553427.0,
2009-05-15,36184092.0,
2009-05-29,38201938.0,
2009-06-15,38041751.0,
2009-06-19,,619.0524
2009-06-30,39929181.0,
2009-07-15,44074938.0,
2009-07-31,45242020.0,
2009-08-14,41264836.0,
2009-08-31,37671458.0,
2009-09-11,,632.4655
2009-09-15,37431232.0,
2009-09-30,38274391.0,
2009-10-15,38206381.0,
2009-10-30,34576951.0,
2009-11-13,35687296.0,
2009-11-30,31842648.0,
2009-12-15,34746581.0,
2009-12-31,49289698.0,646.3
2010-01-15,48263038.0,
2010-01-29,47490970.0,
2010-02-12,51950995.0,
2010-02-26,52007258.0,
2010-03-15,47929201.0,
2010-03-26,,652.4
2010-03-31,49962302.0,
2010-04-15,49080596.0,
2010-04-30,46743846.0,
2010-05-14,48428944.0,
2010-05-28,44893107.0,
2010-06-15,50584397.0,
2010-06-18,,652.5
2010-06-30,44999946.0,
2010-07-15,45854777.0,
2010-07-30,43696512.0,
2010-08-13,40171787.0,
2010-08-31,40218310.0,
2010-09-10,,660.1
2010-09-15,44972941.0,
2010-09-30,39147947.0,
2010-10-15,42456871.0,
2010-10-29,40647478.0,
2010-11-15,43214921.0,
2010-11-30,37619161.0,
2010-12-15,38562189.0,
2010-12-31,42796933.0,646.3
2011-01-14,39707735.0,
2011-01-31,36721908.0,
2011-02-15,39279170.0,
2011-02-28,39087279.0,
2011-03-15,36633273.0,
2011-03-25,,682.5
2011-03-31,38600692.0,
2011-04-15,40678191.0,
2011-04-29,41211283.0,
2011-05-13,38649527.0,
2011-05-31,39780671.0,
2011-06-15,39901992.0,
2011-06-17,,693.7
2011-06-30,42551709.0,
2011-07-15,41379127.0,
2011-07-29,39409156.0,
2011-08-15,35835081.0,
2011-08-31,36890025.0,
2011-09-09,,702.7
2011-09-15,37656808.0,
2011-09-30,38150370.0,
2011-10-14,35910505.0,
2011-10-31,39419282.0,
2011-11-15,41461423.0,
2011-11-30,44173319.0,
2011-12-15,41518523.0,
2011-12-30,39802349.0,
2011-12-31,,705.1
2012-01-13,41067095.0,
2012-01-31,42258614.0,
2012-02-15,41396527.0,
2012-02-29,42649204.0,
2012-03-15,49772976.0,
2012-03-23,,717.3
2012-03-30,51558275.0,
2012-04-13,51647446.0,
2012-04-30,51028966.0,
2012-05-15,54259929.0,
2012-05-31,54463331.0,
2012-06-15,56679800.0,720.9
2012-06-29,56300238.0,
2012-07-13,55610588.0,
2012-07-31,53516667.0,
2012-08-15,56135508.0,
2012-08-31,57389966.0,
2012-09-07,,723.0
2012-09-14,55631457.0,
2012-09-28,46918641.0,
2012-10-15,44161780.0,
2012-10-31,45051387.0,
2012-11-15,43052887.0,
2012-11-30,42150350.0,
2012-12-14,42097831.0,
2012-12-31,44410220.0,724.6
2013-01-15,47551748.0,
2013-01-31,46020071.0,
2013-02-15,39318238.0,
2013-02-28,36188731.0,
2013-03-15,39771529.0,
2013-03-28,36603515.0,
2013-03-31,,742.8
2013-04-15,32946965.0,
2013-04-30,33820480.0,
2013-05-15,33590908.0,
2013-05-31,35733139.0,
2013-06-14,35807415.0,
2013-06-28,42570410.0,
2013-06-30,,748.2
2013-07-15,44213842.0,
2013-07-31,45565558.0,
2013-08-15,44516402.0,
2013-08-30,46967142.0,
2013-09-13,48037129.0,
2013-09-30,42894213.0,754.6
2013-10-15,43625287.0,
2013-10-31,44114201.0,
2013-11-15,45863718.0,
2013-11-29,45020124.0,
2013-12-13,45206938.0,
2013-12-31,43262171.0,754.8
2014-01-15,42704469.0,
2014-01-31,42544826.0,
2014-02-14,40628583.0,
2014-02-28,43063120.0,
2014-03-14,44451678.0,
2014-03-31,45006586.0,755.3
2014-04-15,45674839.0,
2014-04-30,44916794.0,
2014-05-15,44177498.0,
2014-05-30,43684136.0,
2014-06-13,43053205.0,
2014-06-30,41070891.0,755.6
2014-07-15,35368756.0,
2014-07-31,37495037.0,
2014-08-15,35868003.0,
2014-08-29,35574286.0,
2014-09-15,36348756.0,
2014-09-30,33669439.0,755.7
2014-10-15,31851097.0,
2014-10-31,34689624.0,
2014-11-14,33707841.0,
2014-11-28,28998158.0,
2014-12-15,30390093.0,
2014-12-31,26899649.0,755.8
2015-01-15,27571398.0,
2015-01-30,26711616.0,
2015-02-13,26416184.0,
2015-02-27,26960223.0,
2015-03-13,30104492.0,
2015-03-31,40149699.0,756.3
2015-04-15,40332892.0,
2015-04-30,36030248.0,
2015-05-15,35097554.0,
2015-05-29,29087611.0,
2015-06-15,28906486.0,
2015-06-30,31217691.0,749.9
2015-07-15,31995442.0,
2015-07-31,33981574.0,
2015-08-14,35043830.0,
2015-08-31,34850479.0,
2015-09-15,36251120.0,
2015-09-30,41922021.0,738.5
2015-10-15,40385484.0,
2015-10-30,54335923.0,
2015-11-13,45412765.0,
2015-11-30,45251837.0,
2015-12-15,43453880.0,
2015-12-31,42322137.0,750.3
2016-01-15,44088926.0,
2016-01-29,49155119.0,
2016-02-12,46252794.0,
2016-02-29,45034635.0,
2016-03-15,49389921.0,
2016-03-31,54104855.0,746.2
2016-04-15,54999359.0,
2016-04-29,58167004.0,
2016-05-13,56461210.0,
2016-05-31,67417298.0,
2016-06-15,72480221.0,
2016-06-30,78537369.0,740.7
2016-07-15,79346234.0,
2016-07-29,84671258.0,
2016-08-15,92383938.0,
2016-08-31,92639827.0,
2016-09-15,90062466.0,
2016-09-30,82081856.0,738.1
2016-10-14,75519700.0,
2016-10-31,75419817.0,
2016-11-15,71294078.0,
2016-11-30,76101141.0,
2016-12-15,88458002.0,
2016-12-30,81477988.0,
2016-12-31,,737.8
2017-01-13,77071348.0,
2017-01-31,81286562.0,
2017-02-15,76101114.0,
2017-02-28,71233051.0,
2017-03-15,71710991.0,
2017-03-31,70402514.0,738.6
2017-04-13,69603105.0,
