Date,SHORT_INT,BS_SH_OUT
2006-01-13,7092307.0,
2006-02-15,4102417.0,
2006-03-15,4471418.0,
2006-03-31,,758.1579
2006-04-13,4700756.0,
2006-05-15,5407148.0,
2006-06-15,5226154.0,
2006-06-30,,759.1835
2006-07-14,5711739.0,
2006-08-15,7597356.0,
2006-09-15,5929229.0,
2006-09-30,,759.9828
2006-10-13,5401207.0,
2006-11-15,5744846.0,
2006-12-15,9433802.0,
2006-12-31,,751.9848
2007-01-12,7695715.0,
2007-02-15,6753935.0,
2007-03-15,19356351.0,
2007-03-31,,741.1148
2007-04-13,16503351.0,
2007-05-15,14136918.0,
2007-06-15,10807132.0,
2007-06-30,,742.7886
2007-07-13,9645475.0,
2007-08-15,8787261.0,
2007-09-14,7327811.0,
2007-09-28,8916160.0,
2007-09-30,,740.2868
2007-10-15,7947679.0,
2007-10-31,8506854.0,
2007-11-15,18647564.0,
2007-11-30,15743423.0,
2007-12-14,11142432.0,
2007-12-31,10575788.0,729.2234
2008-01-15,11543706.0,
2008-01-31,12378981.0,
2008-02-15,13918629.0,
2008-02-29,14540986.0,
2008-03-14,13921378.0,
2008-03-31,13190100.0,709.4345
2008-04-15,14102152.0,
2008-04-30,14181849.0,
2008-05-15,15315038.0,
2008-05-30,14916118.0,
2008-06-13,15691153.0,
2008-06-30,16404880.0,709.7493
2008-07-15,16431540.0,
2008-07-31,16759010.0,
2008-08-15,24909668.0,
2008-08-29,42043755.0,
2008-09-15,72710400.0,
2008-09-30,16326795.0,707.3123
2008-10-15,14113925.0,
2008-10-31,13631052.0,
2008-11-14,13812074.0,
2008-11-28,14951868.0,
2008-12-15,16508231.0,
2008-12-31,16697917.0,793.6291
2009-01-15,17066272.0,
2009-01-30,16166230.0,
2009-02-13,18454832.0,
2009-02-27,8115045.0,
2009-03-13,12956441.0,
2009-03-31,15131752.0,818.0863
2009-04-15,13427643.0,
2009-04-30,14760357.0,
2009-05-15,14491524.0,
2009-05-29,11139246.0,
2009-06-15,13826254.0,
2009-06-30,15382735.0,818.5863
2009-07-15,15501137.0,
2009-07-31,12644828.0,
2009-08-14,13578277.0,
2009-08-31,13886094.0,
2009-09-15,15756156.0,
2009-09-30,13554229.0,818.7531
2009-10-15,12678348.0,
2009-10-30,10216890.0,
2009-11-13,8956259.0,
2009-11-30,8831271.0,
2009-12-15,10783189.0,
2009-12-31,8939262.0,818.8338
2010-01-15,9070105.0,
2010-01-29,8031775.0,
2010-02-12,8387063.0,
2010-02-26,5192083.0,
2010-03-15,9755941.0,
2010-03-31,6878233.0,819.393
2010-04-15,8953184.0,
2010-04-30,9724194.0,
2010-05-14,6980364.0,
2010-05-28,6622790.0,
2010-06-15,7138589.0,
2010-06-30,7824194.0,820.3971
2010-07-15,6979906.0,
2010-07-30,6856078.0,
2010-08-13,7494359.0,
2010-08-31,8454550.0,
2010-09-15,14222859.0,
2010-09-30,12705725.0,906.9096
2010-10-15,13671545.0,
2010-10-29,13691197.0,
2010-11-15,14760889.0,
2010-11-30,14099588.0,
2010-12-15,19023156.0,
2010-12-31,17125359.0,985.8378
2011-01-14,16225345.0,
2011-01-31,15136521.0,
2011-02-15,13275379.0,
2011-02-28,12478995.0,
2011-03-15,28878780.0,
2011-03-31,29178735.0,1056.0825
2011-04-15,26234337.0,
2011-04-29,25206764.0,
2011-05-13,21835975.0,
2011-05-31,21010966.0,
2011-06-15,20794711.0,
2011-06-30,21461417.0,1057.3911
2011-07-15,21840250.0,
2011-07-29,22621676.0,
2011-08-15,27216131.0,
2011-08-31,29108567.0,
2011-09-15,29621433.0,
2011-09-30,29345491.0,1057.5605
2011-10-14,27801952.0,
2011-10-31,30288321.0,
2011-11-15,22014570.0,
2011-11-30,21534224.0,
2011-12-15,21625944.0,
2011-12-30,19210571.0,
2011-12-31,,1057.957
2012-01-13,21774127.0,
2012-01-31,23740671.0,
2012-02-15,18541566.0,
2012-02-29,22513978.0,
2012-03-15,20565252.0,
2012-03-30,20312492.0,
2012-03-31,,1060.864
2012-04-13,19464160.0,
2012-04-30,21283195.0,
2012-05-15,20612464.0,
2012-05-31,26604556.0,
2012-06-15,37964751.0,
2012-06-29,38016736.0,
2012-06-30,,1062.1866
2012-07-13,37846593.0,
2012-07-31,36781889.0,
2012-08-15,37176328.0,
2012-08-31,34769439.0,
2012-09-14,33194747.0,
2012-09-28,28431256.0,
2012-09-30,,1062.6468
2012-10-15,29630455.0,
2012-10-31,26019131.0,
2012-11-15,25011616.0,
2012-11-30,24578255.0,
2012-12-14,25766181.0,
2012-12-31,20704304.0,1091.6867
2013-01-15,17857774.0,
2013-01-31,22475711.0,
2013-02-15,20995575.0,
2013-02-28,21598314.0,
2013-03-15,23747823.0,
2013-03-28,25386843.0,
2013-03-31,,1094.2189
2013-04-15,25148749.0,
2013-04-30,25465601.0,
2013-05-15,23652526.0,
2013-05-31,26681964.0,
2013-06-14,28972455.0,
2013-06-28,28327274.0,
2013-06-30,,1096.6015
2013-07-15,31617620.0,
2013-07-31,27060060.0,
2013-08-15,25518902.0,
2013-08-30,26506064.0,
2013-09-13,26912212.0,
