Date,SHORT_INT,BS_SH_OUT
2006-01-13,14169163.0,
2006-02-15,16105888.0,
2006-02-28,,389.2991
2006-03-15,17090216.0,
2006-04-13,22242557.0,
2006-05-15,26380139.0,
2006-05-31,,389.8528
2006-06-15,26723542.0,
2006-07-14,13137517.0,
2006-08-15,13751294.0,
2006-08-31,,437.4468
2006-09-15,15757975.0,
2006-10-13,16383652.0,
2006-11-15,14936734.0,
2006-11-30,,439.0847
2006-12-15,11678548.0,
2007-01-12,11337889.0,
2007-02-15,11405525.0,
2007-02-28,,440.2964
2007-03-15,9289952.0,
2007-04-13,7454533.0,
2007-05-15,6923704.0,
2007-05-31,,446.2742
2007-06-15,6693702.0,
2007-07-13,5985803.0,
2007-08-15,4475864.0,
2007-08-31,,441.7003
2007-09-14,5381814.0,
2007-09-28,5068418.0,
2007-10-15,4935888.0,
2007-10-31,5311731.0,
2007-11-15,4255912.0,
2007-11-30,3469732.0,442.9753
2007-12-14,4662932.0,
2007-12-31,3386340.0,
2008-01-15,2918628.0,
2008-01-31,3123995.0,
2008-02-15,4122689.0,
2008-02-29,4555323.0,443.5974
2008-03-14,3867325.0,
2008-03-31,3522231.0,
2008-04-15,4201795.0,
2008-04-30,3620989.0,
2008-05-15,3291024.0,
2008-05-30,2648515.0,
2008-05-31,,443.925
2008-06-13,3814450.0,
2008-06-30,2819504.0,
2008-07-15,2689782.0,
2008-07-31,2404901.0,
2008-08-15,3204032.0,
2008-08-29,2600839.0,
2008-08-31,,444.2383
2008-09-15,3080370.0,
2008-09-30,2575796.0,
2008-10-15,2842851.0,
2008-10-31,4138861.0,
2008-11-14,4858336.0,
2008-11-28,4884894.0,
2008-11-30,,444.3755
2008-12-15,7085245.0,
2008-12-31,6148444.0,
2009-01-15,6489589.0,
2009-01-30,6770049.0,
2009-02-13,7923109.0,
2009-02-27,6898478.0,
2009-02-28,,444.4033
2009-03-13,8346468.0,
2009-03-31,5346241.0,
2009-04-15,5954853.0,
2009-04-30,5151869.0,
2009-05-15,5017526.0,
2009-05-29,5911888.0,
2009-05-31,,444.5133
2009-06-15,5300684.0,
2009-06-30,4536916.0,
2009-07-15,6611128.0,
2009-07-31,4626608.0,
2009-08-14,4962629.0,
2009-08-31,5429630.0,444.918
2009-09-15,5547625.0,
2009-09-30,5039665.0,
2009-10-15,5621292.0,
2009-10-30,5510758.0,
2009-11-13,6058636.0,
2009-11-30,7523918.0,445.0526
2009-12-15,7836880.0,
2009-12-31,6333021.0,
2010-01-15,7843443.0,
2010-01-29,6483786.0,
2010-02-12,6604029.0,
2010-02-26,5915764.0,
2010-02-28,,445.339
2010-03-15,7089471.0,
2010-03-31,6310820.0,
2010-04-15,6627027.0,
2010-04-30,5459091.0,
2010-05-14,4253557.0,
