Date,SHORT_INT,BS_SH_OUT
2006-01-13,3031744.0,
2006-02-15,1554634.0,
2006-03-15,1782208.0,
2006-04-01,,352.8428
2006-04-13,2126361.0,
2006-05-15,2700397.0,
2006-06-15,2561670.0,
2006-07-01,,349.9999
2006-07-14,2308469.0,
2006-08-15,7675150.0,
2006-09-15,6478763.0,
2006-09-30,,345.357
2006-10-13,5485529.0,
2006-11-15,3196679.0,
2006-12-15,2925809.0,
2006-12-31,,342.4856
2007-01-12,3248851.0,
2007-02-15,3156511.0,
2007-03-15,3252045.0,
2007-03-31,,330.657
2007-04-13,17972251.0,
2007-05-15,17955822.0,
2007-06-15,19897196.0,
2007-06-30,,327.5713
2007-07-13,18344033.0,
2007-08-15,4754149.0,
2007-09-14,4974957.0,
2007-09-28,5082286.0,
2007-09-29,,326.3285
2007-10-15,4643431.0,
2007-10-31,4072848.0,
2007-11-15,4308315.0,
2007-11-30,5676086.0,
2007-12-14,6124887.0,
2007-12-31,5939926.0,323.2999
2008-01-15,7362687.0,
2008-01-31,5800674.0,
2008-02-15,4859883.0,
2008-02-29,5643081.0,
2008-03-14,6431357.0,
2008-03-29,,322.1713
2008-03-31,7276239.0,
2008-04-15,5552976.0,
2008-04-30,5718384.0,
2008-05-15,6969555.0,
2008-05-30,6485007.0,
2008-06-13,7348000.0,
2008-06-28,,323.6285
2008-06-30,8687508.0,
2008-07-15,8086851.0,
2008-07-31,8185791.0,
2008-08-15,6198177.0,
2008-08-29,5047547.0,
2008-09-15,4784280.0,
2008-09-27,,323.7142
2008-09-30,4200240.0,
2008-10-15,4428068.0,
2008-10-31,5707582.0,
2008-11-14,8855799.0,
2008-11-28,9492844.0,
2008-12-15,9244885.0,
2008-12-31,8711132.0,325.2142
2009-01-15,8329265.0,
2009-01-30,7366845.0,
2009-02-13,8712772.0,
2009-02-27,9834554.0,
2009-03-13,9052848.0,
2009-03-31,8372795.0,
2009-04-04,,327.4856
2009-04-15,8696352.0,
2009-04-30,7976482.0,
2009-05-15,9688826.0,
2009-05-29,9826943.0,
2009-06-15,9181213.0,
2009-06-30,9130229.0,
2009-07-04,,327.9142
2009-07-15,9212190.0,
2009-07-31,8869597.0,
2009-08-14,7840833.0,
2009-08-31,7499450.0,
2009-09-15,7545602.0,
2009-09-30,7373054.0,
2009-10-03,,330.1285
2009-10-15,7665147.0,
2009-10-30,7126991.0,
2009-11-13,8437895.0,
2009-11-30,6927393.0,
2009-12-15,6739390.0,
2009-12-31,5443826.0,330.3002
2010-01-15,8268337.0,
2010-01-29,7335730.0,
2010-02-12,7991071.0,
2010-02-26,7424549.0,
2010-03-15,7254598.0,
2010-03-31,7377080.0,
2010-04-03,,332.0142
2010-04-15,6757609.0,
2010-04-30,7794965.0,
2010-05-14,5977949.0,
2010-05-28,6124162.0,
2010-06-15,6343414.0,
2010-06-30,6005687.0,
2010-07-03,,333.4142
2010-07-15,5747628.0,
2010-07-30,5250291.0,
2010-08-13,5834609.0,
2010-08-31,5656802.0,
2010-09-15,6665232.0,
2010-09-30,6976099.0,
2010-10-02,,335.6285
2010-10-15,5866307.0,
2010-10-29,4590162.0,
2010-11-15,6252337.0,
2010-11-30,6866292.0,
2010-12-15,6922848.0,
2010-12-31,5741925.0,336.3002
2011-01-14,5312211.0,
2011-01-31,5210418.0,
2011-02-15,5067430.0,
2011-02-28,5104852.0,
2011-03-15,5901351.0,
2011-03-31,8626606.0,
2011-04-02,,339.5
2011-04-15,7745330.0,
2011-04-29,7200417.0,
2011-05-13,6313234.0,
2011-05-31,5577928.0,
2011-06-15,5832210.0,
2011-06-30,6325621.0,
2011-07-02,,343.1
2011-07-15,5329813.0,
2011-07-29,5872700.0,
2011-08-15,7704869.0,
2011-08-31,8912679.0,
2011-09-15,9794141.0,
2011-09-30,4966344.0,
2011-10-01,,325.5
2011-10-14,4919616.0,
2011-10-31,4500822.0,
2011-11-15,4755295.0,
2011-11-30,4963405.0,
2011-12-15,4509951.0,
2011-12-30,4157604.0,
2011-12-31,,318.8
2012-01-13,4908438.0,
2012-01-31,3392738.0,
2012-02-15,2658861.0,
2012-02-29,3016129.0,
2012-03-15,2724568.0,
2012-03-30,2041296.0,
2012-03-31,,292.1
2012-04-13,2177326.0,
2012-04-30,2234596.0,
2012-05-15,2920331.0,
2012-05-31,4669620.0,
2012-06-15,5851435.0,
2012-06-29,6525880.0,
2012-06-30,,286.3
2012-07-13,6475820.0,
2012-07-31,7111374.0,
2012-08-15,6809138.0,
2012-08-31,7307439.0,
2012-09-14,6096744.0,
2012-09-28,4946686.0,
2012-09-29,,280.5
2012-10-15,5993748.0,
2012-10-31,7330211.0,
2012-11-15,8365363.0,
2012-11-30,7875110.0,
2012-12-14,7710872.0,
2012-12-31,7473568.0,276.1
2013-01-15,6161612.0,
2013-01-31,6540138.0,
2013-02-15,7121910.0,
2013-02-28,7096422.0,
2013-03-15,6203302.0,
2013-03-28,5206645.0,
2013-03-30,,271.7
2013-04-15,4696577.0,
2013-04-30,4899222.0,
2013-05-15,5385118.0,
2013-05-31,5675824.0,
2013-06-14,5972365.0,
2013-06-28,7277155.0,
2013-06-29,,265.9
2013-07-15,6888094.0,
2013-07-31,7458478.0,
2013-08-15,9082603.0,
2013-08-30,10327392.0,
2013-09-13,12621147.0,
2013-09-28,,258.7
2013-09-30,9743202.0,
2013-10-15,10435636.0,
2013-10-31,7446878.0,
2013-11-15,8038498.0,
2013-11-29,8348942.0,
2013-12-13,8899392.0,
2013-12-31,7602534.0,254.5
2014-01-15,7390509.0,
2014-01-31,6708424.0,
2014-02-14,5797324.0,
2014-02-28,5539524.0,
2014-03-14,5723135.0,
2014-03-29,,254.2
2014-03-31,5174984.0,
2014-04-15,4923645.0,
2014-04-30,5846315.0,
2014-05-15,7053980.0,
2014-05-30,6332629.0,
2014-06-13,6187597.0,
2014-06-28,,250.9
2014-06-30,6621144.0,
2014-07-15,8025610.0,
2014-07-31,7154598.0,
2014-08-15,6851088.0,
2014-08-29,8196726.0,
2014-09-15,6789484.0,
2014-09-27,,240.7
2014-09-30,6595464.0,
2014-10-15,8247627.0,
2014-10-31,7877581.0,
2014-11-14,6230138.0,
2014-11-28,6014473.0,
2014-12-15,5335469.0,
2014-12-31,5112226.0,219.8
2015-01-15,5162641.0,
2015-01-30,4399186.0,
2015-02-13,4936343.0,
2015-02-27,4102712.0,
2015-03-13,3556952.0,
2015-03-31,3438571.0,
2015-04-04,,210.9
2015-04-15,3534947.0,
2015-04-30,3905337.0,
2015-05-15,3376153.0,
2015-05-29,3736947.0,
2015-06-15,3585341.0,
2015-06-30,3517314.0,
2015-07-04,,206.8
2015-07-15,3882660.0,
2015-07-31,4265350.0,
2015-08-14,4303482.0,
2015-08-31,6278976.0,
2015-09-15,14165059.0,
2015-09-30,12185035.0,
2015-10-03,,176.6
2015-10-15,10782900.0,
2015-10-30,9470979.0,
2015-11-13,9284362.0,
2015-11-30,8432617.0,
2015-12-15,7318571.0,
2015-12-31,6304904.0,174.3
2016-01-15,5553560.0,
2016-01-29,5166871.0,
2016-02-12,4918252.0,
2016-02-29,4921385.0,
2016-03-15,4443404.0,
2016-03-31,4033824.0,
2016-04-02,,174.6
2016-04-15,4390368.0,
2016-04-29,3908407.0,
2016-05-13,3270513.0,
2016-05-31,4402177.0,
2016-06-15,4256749.0,
2016-06-30,5099745.0,
2016-07-02,,166.7
2016-07-15,4479693.0,
2016-07-29,4464953.0,
2016-08-15,4447123.0,
2016-08-31,4004676.0,
2016-09-15,4234338.0,
2016-09-30,4616827.0,
2016-10-01,,166.0
2016-10-14,4848039.0,
2016-10-31,4586720.0,
2016-11-15,4738999.0,
2016-11-30,4316490.0,
2016-12-15,4487097.0,
2016-12-30,4066758.0,
2016-12-31,,164.7
2017-01-13,3659876.0,
2017-01-31,3741205.0,
2017-02-15,6734169.0,
2017-02-28,7173603.0,
2017-03-15,7397978.0,
2017-03-31,7751243.0,
2017-04-13,7763462.0,
