Date,BS_SH_OUT,SHORT_INT
2006-01-13,,6559760.0
2006-02-15,,3417560.0
2006-03-15,,2702482.0
2006-03-31,163.0599,
2006-04-13,,2568546.0
2006-05-15,,4079102.0
2006-06-15,,3603184.0
2006-06-30,162.9325,
2006-07-14,,3530680.0
2006-08-15,,4105296.0
2006-09-15,,3671292.0
2006-09-30,161.3344,
2006-10-13,,3334560.0
2006-11-15,,2991446.0
2006-12-15,,3459692.0
2006-12-31,161.3301,
2007-01-12,,3187788.0
2007-02-15,,3021108.0
2007-03-15,,3405172.0
2007-03-31,161.5156,
2007-04-13,,3239500.0
2007-05-15,,3912040.0
2007-06-15,,4154139.0
2007-06-30,155.6005,
2007-07-13,,4047700.0
2007-08-15,,4703673.0
2007-09-14,,4901523.0
2007-09-28,,5026848.0
2007-09-30,161.5254,
2007-10-15,,5980689.0
2007-10-31,,6033015.0
2007-11-15,,6442159.0
2007-11-30,,6938716.0
2007-12-14,,5911917.0
2007-12-31,161.627,5624888.0
2008-01-15,,6701816.0
2008-01-31,,6473649.0
2008-02-15,,6262063.0
2008-02-29,,6015596.0
2008-03-14,,6695712.0
2008-03-31,160.5735,6398773.0
2008-04-15,,6777050.0
2008-04-30,,6962042.0
2008-05-15,,6524419.0
2008-05-30,,7131395.0
2008-06-13,,7610297.0
2008-06-30,158.2618,7456212.0
2008-07-15,,7995757.0
2008-07-31,,8585538.0
2008-08-15,,7874717.0
2008-08-29,,7818972.0
2008-09-15,,7692121.0
2008-09-30,157.8274,6879422.0
2008-10-15,,5936355.0
2008-10-31,,4707589.0
2008-11-14,,4057121.0
2008-11-28,,4093026.0
2008-12-15,,3678651.0
2008-12-31,157.8825,3361427.0
2009-01-15,,3440800.0
2009-01-30,,2962037.0
2009-02-13,,3751047.0
2009-02-27,,3698845.0
2009-03-13,,3347487.0
2009-03-31,158.6013,3299243.0
2009-04-15,,2966008.0
2009-04-30,,4778828.0
2009-05-15,,3399843.0
2009-05-29,,3894387.0
2009-06-15,,3475648.0
2009-06-30,158.7039,3755338.0
2009-07-15,,5176868.0
2009-07-31,,4048284.0
2009-08-14,,3450118.0
2009-08-31,,3483908.0
2009-09-15,,3722528.0
2009-09-30,158.8615,3342714.0
2009-10-15,,3289795.0
2009-10-30,,3150627.0
2009-11-13,,4440180.0
2009-11-30,,4006927.0
2009-12-15,,3162006.0
2009-12-31,158.9382,2809919.0
2010-01-15,,2863382.0
2010-01-29,,2051766.0
2010-02-12,,3261675.0
2010-02-26,,3499329.0
2010-03-15,,4611269.0
2010-03-31,159.4576,4989242.0
2010-04-15,,6128018.0
2010-04-30,,6746612.0
2010-05-14,,5066016.0
2010-05-28,,4347742.0
2010-06-15,,3447200.0
2010-06-30,159.5262,3298571.0
2010-07-15,,3385165.0
2010-07-30,,3635404.0
2010-08-13,,3933889.0
2010-08-31,,3961670.0
2010-09-15,,4103782.0
2010-09-30,159.612,4321986.0
2010-10-15,,4238485.0
2010-10-29,,4016677.0
2010-11-15,,4686971.0
2010-11-30,,5476887.0
2010-12-15,,5147429.0
2010-12-31,159.3055,5948297.0
2011-01-14,,6813145.0
2011-01-31,,6929914.0
2011-02-15,,7339147.0
2011-02-28,,6802886.0
2011-03-15,,6114127.0
2011-03-31,160.1542,5334572.0
2011-04-15,,4970065.0
2011-04-29,,4705112.0
2011-05-13,,4753819.0
2011-05-31,,4460243.0
2011-06-15,,2385640.0
2011-06-30,160.2106,2232591.0
2011-07-15,,1927788.0
2011-07-29,,2055169.0
2011-08-15,,2285297.0
2011-08-31,,2533937.0
2011-09-15,,2980691.0
2011-09-30,160.3073,2942017.0
2011-10-14,,3013238.0
2011-10-31,,2570743.0
2011-11-15,,2496501.0
2011-11-30,,2708433.0
2011-12-15,,2827416.0
2011-12-30,,2608263.0
2011-12-31,192.0622,
2012-01-13,,2719641.0
2012-01-31,,2417105.0
2012-02-15,,3566791.0
2012-02-29,,2782659.0
2012-03-15,,3322268.0
2012-03-30,,2592482.0
2012-03-31,194.0522,
2012-04-13,,2818576.0
2012-04-30,,3148642.0
2012-05-15,,4335440.0
2012-05-31,,4127849.0
2012-06-15,,4306945.0
2012-06-29,,4731574.0
2012-06-30,194.1206,
2012-07-13,,4590226.0
2012-07-31,,4957579.0
2012-08-15,,8734214.0
2012-08-31,,8323612.0
2012-09-14,,11219811.0
2012-09-28,,11498608.0
2012-09-30,194.4222,
2012-10-15,,11606926.0
2012-10-31,,10981194.0
2012-11-15,,14213425.0
2012-11-30,,13414411.0
2012-12-14,,10735413.0
2012-12-31,194.5577,8637295.0
2013-01-15,,6982339.0
2013-01-31,,7247982.0
2013-02-15,,7626917.0
2013-02-28,,5525900.0
2013-03-15,,5100496.0
2013-03-28,,4686228.0
2013-03-31,195.8242,
2013-04-15,,5674301.0
2013-04-30,,5208316.0
2013-05-15,,4194891.0
2013-05-31,,4866027.0
2013-06-14,,4994249.0
2013-06-28,,5555786.0
2013-06-30,195.8479,
2013-07-15,,6379633.0
2013-07-31,,7331071.0
2013-08-15,,7114039.0
2013-08-30,,6511282.0
2013-09-13,,6789064.0
2013-09-30,196.1483,6309123.0
2013-10-15,,6739845.0
2013-10-31,,6530522.0
2013-11-15,,6768998.0
2013-11-29,,6087969.0
2013-12-13,,5727920.0
2013-12-31,196.1987,5487478.0
2014-01-15,,5822954.0
2014-01-31,,5171024.0
2014-02-14,,5275958.0
2014-02-28,,5376721.0
2014-03-14,,4534786.0
2014-03-31,215.901,4363043.0
2014-04-15,,4666965.0
2014-04-30,,4677591.0
2014-05-15,,4907954.0
2014-05-30,,4842925.0
2014-06-13,,4692162.0
2014-06-30,211.9953,4904899.0
2014-07-15,,4940367.0
2014-07-31,,5039517.0
2014-08-15,,4893495.0
2014-08-29,,6746639.0
2014-09-15,,5978412.0
2014-09-30,211.8836,7001381.0
2014-10-15,,6699140.0
2014-10-31,,7317138.0
2014-11-14,,7023152.0
2014-11-28,,6585803.0
2014-12-15,,6508803.0
2014-12-31,210.5319,5988876.0
2015-01-15,,6094283.0
2015-01-30,,5214717.0
2015-02-13,,6604020.0
2015-02-27,,6442353.0
2015-03-13,,6573711.0
2015-03-31,210.6223,5409564.0
2015-04-15,,5371344.0
2015-04-30,,5147967.0
2015-05-15,,5623608.0
2015-05-29,,6327296.0
2015-06-15,,6483402.0
2015-06-30,208.9316,7242334.0
2015-07-15,,7784010.0
2015-07-31,,6933822.0
2015-08-14,,8287644.0
2015-08-31,,6769144.0
2015-09-15,,6737203.0
2015-09-30,197.6516,6798457.0
2015-10-15,,5567897.0
2015-10-30,,4420805.0
2015-11-13,,3932885.0
2015-11-30,,4682025.0
2015-12-15,,3855081.0
2015-12-31,196.0133,3804223.0
2016-01-15,,4359330.0
2016-01-29,,4515098.0
2016-02-12,,4273862.0
2016-02-29,,4928875.0
2016-03-15,,3986898.0
2016-03-31,197.1571,4182107.0
2016-04-15,,4833777.0
2016-04-29,,4720540.0
2016-05-13,,4963292.0
2016-05-31,,4660811.0
2016-06-15,,4110276.0
2016-06-30,196.7196,4018027.0
2016-07-15,,3769386.0
2016-07-29,,3723803.0
2016-08-15,,4154037.0
2016-08-31,,4744114.0
2016-09-15,,5227967.0
2016-09-30,193.3075,4978708.0
2016-10-14,,4070501.0
2016-10-31,,2973941.0
2016-11-15,,3175588.0
2016-11-30,,4009585.0
2016-12-15,,4832658.0
2016-12-30,,4056423.0
2016-12-31,193.4824,
2017-01-13,,4547890.0
2017-01-31,,5346909.0
2017-02-15,,5080132.0
2017-02-28,,3929584.0
2017-03-15,,3020824.0
2017-03-31,,3796828.0
2017-04-13,,5525837.0
