Date,BS_SH_OUT,SHORT_INT
2006-01-13,,9849834.0
2006-02-15,,9364449.0
2006-03-15,,8008847.0
2006-03-31,728.3,
2006-04-13,,7386249.0
2006-05-15,,7415978.0
2006-06-15,,8813307.0
2006-06-30,752.2,
2006-07-14,,6662909.0
2006-08-15,,7442434.0
2006-09-15,,6912335.0
2006-09-30,700.8,
2006-10-13,,7720726.0
2006-11-15,,7605739.0
2006-12-15,,7514123.0
2006-12-31,693.2,
2007-01-12,,10932042.0
2007-02-15,,7093510.0
2007-03-15,,7061335.0
2007-03-31,690.4,
2007-04-13,,7757857.0
2007-05-15,,6714654.0
2007-06-15,,8590367.0
2007-06-30,678.5,
2007-07-13,,8204003.0
2007-08-15,,7583773.0
2007-09-14,,6912364.0
2007-09-28,,6365773.0
2007-09-30,658.4,
2007-10-15,,7556627.0
2007-10-31,,6302743.0
2007-11-15,,6457896.0
2007-11-30,,6958452.0
2007-12-14,,9094206.0
2007-12-31,644.8,8663446.0
2008-01-15,,7793859.0
2008-01-31,,7091530.0
2008-02-15,,8217618.0
2008-02-29,,9055413.0
2008-03-14,,10079622.0
2008-03-31,634.6,8939306.0
2008-04-15,,10581713.0
2008-04-30,,9022831.0
2008-05-15,,8195411.0
2008-05-30,,8631316.0
2008-06-13,,7695580.0
2008-06-30,622.8,7018883.0
2008-07-15,,5594044.0
2008-07-31,,6566896.0
2008-08-15,,7193122.0
2008-08-29,,8160871.0
2008-09-15,,7563748.0
2008-09-30,615.3,4922560.0
2008-10-15,,6168838.0
2008-10-31,,12091154.0
2008-11-14,,12255996.0
2008-11-28,,17316941.0
2008-12-15,,15926333.0
2008-12-31,606.8,15690052.0
2009-01-15,,14098765.0
2009-01-30,,12838867.0
2009-02-13,,12657124.0
2009-02-27,,14287469.0
2009-03-13,,15215493.0
2009-03-31,606.9,15695052.0
2009-04-15,,14772869.0
2009-04-30,,14467691.0
2009-05-15,,13504679.0
2009-05-29,,15495819.0
2009-06-15,,13161218.0
2009-06-30,607.3,13669621.0
2009-07-15,,15696499.0
2009-07-31,,16914285.0
2009-08-14,,18044437.0
2009-08-31,,19624022.0
2009-09-15,,19898541.0
2009-09-30,607.4,16350521.0
2009-10-15,,14671471.0
2009-10-30,,13087349.0
2009-11-13,,12537069.0
2009-11-30,,10475627.0
2009-12-15,,9129395.0
2009-12-31,607.4,7882104.0
2010-01-15,,7724675.0
2010-01-29,,7188419.0
2010-02-12,,7281896.0
2010-02-26,,7657823.0
2010-03-15,,8163409.0
2010-03-31,607.7,10886700.0
2010-04-15,,11614482.0
2010-04-30,,9080958.0
2010-05-14,,9072633.0
2010-05-28,,12239707.0
2010-06-15,,12020976.0
2010-06-30,608.4,12523180.0
2010-07-15,,10258813.0
2010-07-30,,8620004.0
2010-08-13,,8559438.0
2010-08-31,,9496560.0
2010-09-15,,9883825.0
2010-09-30,608.5,11635304.0
2010-10-15,,11607155.0
2010-10-29,,10118928.0
2010-11-15,,9268602.0
2010-11-30,,7585700.0
2010-12-15,,8650919.0
2010-12-31,598.4,8434147.0
2011-01-14,,8574316.0
2011-01-31,,8862072.0
2011-02-15,,8305601.0
2011-02-28,,8776200.0
2011-03-15,,9054252.0
2011-03-31,588.1,9117278.0
2011-04-15,,12021877.0
2011-04-29,,11054923.0
2011-05-13,,10758638.0
2011-05-31,,9660354.0
2011-06-15,,10035243.0
2011-06-30,576.7,8999956.0
2011-07-15,,8772878.0
2011-07-29,,9581033.0
2011-08-15,,11476024.0
2011-08-31,,12977031.0
2011-09-15,,12025489.0
2011-09-30,558.3,10610213.0
2011-10-14,,10770435.0
2011-10-31,,9711282.0
2011-11-15,,9170187.0
2011-11-30,,10145458.0
2011-12-15,,10716821.0
2011-12-30,,8629898.0
2011-12-31,543.0,
2012-01-13,,8672495.0
2012-01-31,,7525765.0
2012-02-15,,8354989.0
2012-02-29,,7473441.0
2012-03-15,,5831400.0
2012-03-30,,6225622.0
2012-03-31,530.2,
2012-04-13,,7166275.0
2012-04-30,,6812059.0
2012-05-15,,5874476.0
2012-05-31,,7277449.0
2012-06-15,,8070714.0
2012-06-29,,6946065.0
2012-06-30,517.0,
2012-07-13,,8950140.0
2012-07-31,,9080290.0
2012-08-15,,8120956.0
2012-08-31,,9105180.0
2012-09-14,,10576166.0
2012-09-28,,9029233.0
2012-09-30,507.0,
2012-10-15,,9440466.0
2012-10-31,,8789673.0
2012-11-15,,7791115.0
2012-11-30,,7604027.0
2012-12-14,,6476094.0
2012-12-31,496.3,5261062.0
2013-01-15,,7228093.0
2013-01-31,,6249874.0
2013-02-15,,4836990.0
2013-02-28,,6563556.0
2013-03-15,,7338845.0
2013-03-28,,6427968.0
2013-03-31,486.7,
2013-04-15,,7911818.0
2013-04-30,,7327078.0
2013-05-15,,7765737.0
2013-05-31,,6109886.0
2013-06-14,,5016607.0
2013-06-28,,4614748.0
2013-06-30,478.2,
2013-07-15,,4448072.0
2013-07-31,,4888699.0
2013-08-15,,4794403.0
2013-08-30,,4711382.0
2013-09-13,,5074659.0
2013-09-30,449.3,4612872.0
2013-10-15,,4461644.0
2013-10-31,,4153670.0
2013-11-15,,4269153.0
2013-11-29,,4737729.0
2013-12-13,,5280177.0
2013-12-31,439.5,3949064.0
2014-01-15,,4005671.0
2014-01-31,,4774210.0
2014-02-14,,4807114.0
2014-02-28,,4507692.0
2014-03-14,,4587237.0
2014-03-31,431.5,4555549.0
2014-04-15,,4674398.0
2014-04-30,,4832403.0
2014-05-15,,4658946.0
2014-05-30,,4741720.0
2014-06-13,,4842390.0
2014-06-30,424.3,5467354.0
2014-07-15,,4995097.0
2014-07-31,,5838226.0
2014-08-15,,4725552.0
2014-08-29,,4893584.0
2014-09-15,,5497739.0
2014-09-30,414.2,5991115.0
2014-10-15,,7467746.0
2014-10-31,,9403973.0
2014-11-14,,11512297.0
2014-11-28,,11333654.0
2014-12-15,,10042929.0
2014-12-31,407.3,10485452.0
2015-01-15,,11893036.0
2015-01-30,,11835555.0
2015-02-13,,12016255.0
2015-02-27,,12460539.0
2015-03-13,,13042628.0
2015-03-31,397.1,12460656.0
2015-04-15,,12214946.0
2015-04-30,,11830756.0
2015-05-15,,11902830.0
2015-05-29,,11330043.0
2015-06-15,,12511887.0
2015-06-30,397.9,13024087.0
2015-07-15,,11902792.0
2015-07-31,,11632151.0
2015-08-14,,12703413.0
2015-08-31,,12375252.0
2015-09-15,,15523191.0
2015-09-30,398.1,17851183.0
2015-10-15,,18727199.0
2015-10-30,,17623225.0
2015-11-13,,16499375.0
2015-11-30,,15648298.0
2015-12-15,,15993187.0
2015-12-31,396.1,15446296.0
2016-01-15,,14979892.0
2016-01-29,,13514187.0
2016-02-12,,12858851.0
2016-02-29,,12749163.0
2016-03-15,,10753328.0
2016-03-31,396.2,10181487.0
2016-04-15,,9959601.0
2016-04-29,,15484954.0
2016-05-13,,12470317.0
2016-05-31,,12145542.0
2016-06-15,,13519582.0
2016-06-30,396.8,13383807.0
2016-07-15,,15620558.0
2016-07-29,,12960939.0
2016-08-15,,12479435.0
2016-08-31,,12091586.0
2016-09-15,,12151766.0
2016-09-30,397.0,12344250.0
2016-10-14,,13682406.0
