,Open,High,Low,Close
2006-01-03,91.4429,96.0742,91.4429,95.8597
2006-01-04,95.6596,97.6894,94.5592,97.1462
2006-01-05,97.1462,97.1462,93.9015,95.3452
2006-01-06,97.2177,98.5041,96.36,98.4041
2006-01-09,98.4612,99.0044,96.7889,98.5041
2006-01-10,98.5041,100.977,98.2611,100.6196
2006-01-11,100.1479,100.7483,97.575,100.0479
2006-01-12,100.7197,102.5064,98.0181,98.1039
2006-01-13,97.7894,100.491,97.5035,99.9764
2006-01-17,103.4355,103.5927,101.7774,102.6208
2006-01-18,102.635,102.635,97.7037,99.6762
2006-01-19,99.6476,102.878,99.2331,102.0919
2006-01-20,104.2217,105.5796,102.0633,103.8214
2006-01-23,103.364,106.4229,102.2634,105.9369
2006-01-24,104.7934,106.5087,103.5499,105.2794
2006-01-25,105.6368,105.6511,100.4338,101.6059
2006-01-26,101.4344,102.7208,98.2039,102.5493
2006-01-27,105.5081,105.7037,102.4921,104.6934
2006-01-30,105.6225,108.8243,105.2937,108.0238
2006-01-31,108.0238,108.0381,105.5939,107.2949
2006-02-01,108.0095,108.8386,103.121,103.6213
2006-02-02,103.6213,105.551,100.6511,102.4778
2006-02-03,103.9072,109.0816,102.7923,106.5373
2006-02-06,109.0673,111.7831,108.7957,111.2686
2006-02-07,110.511,110.5253,104.3074,104.9078
2006-02-08,105.1937,106.0084,101.806,104.3789
2006-02-09,106.0084,107.0233,100.734,101.806
2006-02-10,101.9061,104.5218,99.4189,104.0501
2006-02-13,104.0501,106.037,102.2205,103.6356
2006-02-14,95.3881,98.0753,94.0015,94.3589
2006-02-15,94.4304,95.631,91.4286,91.6431
2006-02-16,93.9301,93.9301,92.372,93.4298
2006-02-17,94.216,94.5733,92.1576,92.7866
2006-02-21,94.3589,95.3738,93.1439,95.2022
2006-02-22,95.2022,95.2165,93.2868,94.2874
2006-02-23,94.6448,95.9312,92.8294,93.9444
2006-02-24,95.3595,96.5316,94.9306,95.3309
2006-02-27,94.073,94.5876,93.5013,93.5441
2006-02-28,94.0444,97.4321,93.0724,97.332
2006-03-01,99.2188,101.9918,98.815,101.6488
2006-03-02,102.7923,105.0507,101.9346,104.7077
2006-03-03,104.6362,105.6225,103.7214,104.6934
2006-03-06,104.7077,104.7077,100.378,100.9055
2006-03-07,99.9621,101.1342,97.9181,98.9901
2006-03-08,97.7894,99.4904,95.3023,97.8895
2006-03-09,98.5041,99.7191,97.6751,98.7757
2006-03-10,98.5756,101.6774,96.7746,100.1479
2006-03-13,101.2914,102.7208,100.8483,102.292
2006-03-14,102.7351,104.8649,101.5201,104.7648
2006-03-15,104.0787,105.2937,103.2354,104.9935
2006-03-16,104.5075,106.766,103.6928,105.9512
2006-03-17,105.9655,107.3234,105.3795,105.7797
2006-03-20,105.6654,107.0519,102.1776,102.5064
2006-03-21,102.4921,104.6362,101.3629,102.6493
2006-03-22,101.3629,105.308,101.3629,104.0787
2006-03-23,104.7077,106.7088,104.4504,105.5653
2006-03-24,105.6511,107.6379,105.0078,106.6802
2006-03-27,106.6659,106.7803,104.0216,106.1513
2006-03-28,107.6522,109.296,107.4378,108.7957
2006-03-29,108.1525,109.2388,107.4521,108.7528
2006-03-30,108.4384,109.7248,107.738,108.3812
2006-03-31,107.4378,107.6522,105.3509,106.0799
2006-04-03,107.009,109.2245,105.9512,106.1513
