,Open,High,Low,Close
2006-01-03,11.2125,11.5375,11.0725,11.4725
2006-01-04,11.4925,11.8025,11.3725,11.5225
2006-01-05,11.2525,11.7025,11.0525,11.6725
2006-01-06,11.8125,11.8725,11.6125,11.8425
2006-01-09,11.7525,11.8925,11.6425,11.8725
2006-01-10,11.8325,12.1825,11.7525,12.1625
2006-01-11,12.6725,12.7625,12.1725,12.3225
2006-01-12,12.2425,12.2625,11.8325,11.9225
2006-01-13,12.0425,12.1025,11.6925,11.8225
2006-01-17,11.8525,11.9225,11.4925,11.6425
2006-01-18,11.5525,11.7125,11.4725,11.6225
2006-01-19,11.7325,11.8225,11.5525,11.7625
2006-01-20,11.8125,11.8125,11.3225,11.3625
2006-01-23,11.5225,11.7225,11.3825,11.5525
2006-01-24,11.6625,11.6925,11.4125,11.5925
2006-01-25,11.7125,11.9925,11.6525,11.7825
2006-01-26,11.8525,11.9725,11.7125,11.9325
2006-01-27,12.0025,12.2925,11.9125,12.1325
2006-01-30,12.0525,12.2325,11.9425,11.9925
2006-01-31,12.0425,12.0525,11.7425,11.9225
2006-02-01,11.8125,12.3825,11.8125,12.3025
2006-02-02,13.0625,13.0725,12.3525,12.7025
2006-02-03,12.5625,12.5735,12.0625,12.1425
2006-02-06,12.0525,12.1325,11.9225,12.1125
2006-02-07,11.9125,12.2825,11.8025,11.8625
2006-02-08,11.9625,12.0425,11.8125,11.9725
2006-02-09,11.9125,12.0825,11.7525,11.8125
2006-02-10,11.7625,11.7825,11.4625,11.7425
2006-02-13,11.5825,11.7125,11.4725,11.6425
2006-02-14,11.7025,11.9925,11.6125,11.8525
2006-02-15,11.8025,12.0625,11.6525,11.9625
2006-02-16,11.9925,12.1325,11.9425,12.1125
2006-02-17,12.1825,12.1825,11.8725,11.9325
2006-02-21,11.8225,11.8225,11.5725,11.6825
2006-02-22,12.005,12.565,11.915,12.385
2006-02-23,12.395,12.455,12.235,12.325
2006-02-24,12.285,12.395,12.205,12.375
2006-02-27,12.455,12.765,12.385,12.615
2006-02-28,12.565,12.565,12.145,12.245
2006-03-01,12.305,12.725,12.235,12.705
2006-03-02,12.655,12.735,12.485,12.695
2006-03-03,12.605,12.855,12.415,12.425
2006-03-06,12.365,12.455,12.085,12.255
2006-03-07,12.365,12.515,12.245,12.445
2006-03-08,12.235,12.575,12.175,12.535
2006-03-09,12.565,12.565,12.175,12.285
2006-03-10,12.345,12.425,12.105,12.335
2006-03-13,12.425,12.555,12.155,12.265
2006-03-14,12.215,12.485,12.105,12.375
2006-03-15,12.285,12.655,12.285,12.605
2006-03-16,12.655,12.675,12.415,12.435
2006-03-17,12.465,12.595,12.335,12.455
2006-03-20,12.555,12.605,12.235,12.285
2006-03-21,12.325,12.435,12.075,12.105
2006-03-22,12.145,12.355,12.025,12.305
2006-03-23,12.235,12.245,12.025,12.175
2006-03-24,12.205,12.295,12.165,12.215
2006-03-27,12.185,12.425,12.185,12.375
2006-03-28,12.385,12.545,12.355,12.455
2006-03-29,12.455,12.675,12.355,12.615
2006-03-30,12.575,12.635,12.425,12.545
2006-03-31,12.595,12.675,12.465,12.665
2006-04-03,12.635,12.875,12.525,12.705
2006-04-04,12.675,12.975,12.635,12.895
2006-04-05,12.835,12.885,12.585,12.795
2006-04-06,12.725,12.785,12.595,12.745
2006-04-07,12.815,13.115,12.645,12.835
2006-04-10,12.865,12.925,12.745,12.815
2006-04-11,12.935,13.075,12.515,12.585
2006-04-12,12.545,12.895,12.505,12.805
2006-04-13,12.735,12.895,12.595,12.755
2006-04-17,12.715,12.885,12.6149,12.815
2006-04-18,12.895,13.355,12.765,13.065
2006-04-19,13.125,13.355,12.925,13.115
2006-04-20,13.005,13.075,12.735,12.925
2006-04-21,13.065,13.465,12.935,13.065
2006-04-24,13.085,13.165,12.935,13.115
2006-04-25,13.075,13.245,12.725,12.895
2006-04-26,12.835,12.905,12.725,12.785
2006-04-27,12.655,13.315,12.645,12.745
