,Open,High,Low,Close
2006-01-03,42.13,42.9,41.99,42.87
2006-01-04,42.69,42.88,42.42,42.66
2006-01-05,42.68,42.83,41.92,42.09
2006-01-06,42.3,42.42,42.11,42.28
2006-01-09,42.3,42.9,42.3,42.86
2006-01-10,42.72,42.73,41.93,42.03
2006-01-11,42.32,42.6,42.12,42.19
2006-01-12,42.65,43.38,42.65,42.7
2006-01-13,43.31,44.44,43.3,44.2
2006-01-17,44.2,44.31,43.13,43.42
2006-01-18,42.7,43.11,41.79,41.99
2006-01-19,42.45,42.87,42.45,42.64
2006-01-20,42.75,42.87,41.74,41.85
2006-01-23,42.2,42.43,41.59,41.94
2006-01-24,42.31,42.53,40.93,41.01
2006-01-25,41.5,42.03,40.83,41.24
2006-01-26,41.75,41.8,40.7,40.93
2006-01-27,41.29,41.52,40.63,40.7
2006-01-30,40.7,41.04,40.0836,40.11
2006-01-31,40.1,40.32,39.78,40.06
2006-02-01,40.07,40.91,39.76,40.55
2006-02-02,41.63,41.75,41.02,41.05
2006-02-03,40.63,40.92,40.15,40.41
2006-02-06,40.45,40.7299,39.72,40.01
2006-02-07,40.01,40.3,39.56,39.8
2006-02-08,40.05,40.31,39.9,40.3
2006-02-09,40.67,40.89,40.45,40.54
2006-02-10,40.76,41.11,40.17,40.5
2006-02-13,40.45,40.45,39.68,40.0
2006-02-14,39.9,40.59,39.77,40.47
2006-02-15,40.7,42.05,40.67,41.85
2006-02-16,41.71,42.53,41.37,42.5
2006-02-17,42.24,42.53,41.91,42.1
2006-02-21,40.02,40.49,39.36,40.38
2006-02-22,40.37,40.88,40.11,40.76
2006-02-23,40.5,40.51,39.86,40.1
2006-02-24,39.97,40.51,39.89,40.38
2006-02-27,40.3,41.24,40.2,41.1
2006-02-28,40.93,41.09,40.07,40.2
2006-03-01,40.2,40.71,40.15,40.67
2006-03-02,39.87,40.43,39.87,40.35
2006-03-03,39.89,40.57,39.61,40.33
2006-03-06,40.2,40.28,39.29,39.34
2006-03-07,38.85,38.86,38.37,38.44
2006-03-08,38.48,38.51,38.16,38.26
2006-03-09,38.64,38.69,38.08,38.38
2006-03-10,38.65,38.72,37.98,38.1
2006-03-13,38.54,38.81,38.462,38.7
2006-03-14,38.71,39.63,38.66,39.38
2006-03-15,39.52,39.71,39.13,39.52
2006-03-16,39.13,39.14,38.5,38.58
2006-03-17,38.83,39.52,38.7,39.52
2006-03-20,38.86,39.17,38.63,38.8
2006-03-21,38.5,38.59,37.85,38.09
2006-03-22,36.6,38.65,36.6,38.58
2006-03-23,37.05,37.35,35.5712,36.04
2006-03-24,36.2,36.6,35.96,36.39
