,Open,High,Low,Close
2006-01-03,20.0919,20.2132,19.6979,20.1593
2006-01-04,20.193,20.3816,20.0717,20.2199
2006-01-05,20.1256,20.8129,20.1256,20.8129
2006-01-06,20.8331,21.0285,20.5568,20.9341
2006-01-09,20.9341,21.0352,20.7792,20.8668
2006-01-10,20.6646,21.17,20.5636,21.17
2006-01-11,21.17,21.2239,20.9005,21.1632
2006-01-12,21.0015,21.0689,20.6175,20.6444
2006-01-13,20.5838,20.6646,20.2199,20.4692
2006-01-17,20.2738,20.3345,20.0246,20.3345
2006-01-18,20.321,20.887,20.0987,20.8061
2006-01-19,20.8331,21.3384,20.8263,21.17
2006-01-20,21.0689,21.17,20.4962,20.6646
2006-01-23,20.6309,20.887,20.5905,20.6646
2006-01-24,20.6646,20.8668,20.5973,20.7118
2006-01-25,20.7185,20.7522,20.604,20.6781
2006-01-26,20.7926,20.8263,20.2873,20.5703
2006-01-27,20.5636,20.8331,20.5501,20.5905
2006-01-30,20.5636,20.8129,20.5636,20.7657
2006-01-31,20.6646,20.7118,20.4356,20.4356
2006-02-01,20.451,21.17,20.348,21.143
2006-02-02,20.8331,21.0352,20.4962,20.6781
2006-02-03,20.5973,20.8937,20.5164,20.7185
2006-02-06,20.6781,21.1632,20.5838,20.9948
2006-02-07,20.8668,20.9544,20.1728,20.4962
2006-02-08,20.5299,20.8937,20.5299,20.86
2006-02-09,21.1363,21.4395,21.1363,21.2576
2006-02-10,21.17,21.7561,21.17,21.7561
2006-02-13,21.3047,21.3856,20.5083,20.7994
2006-02-14,20.887,21.3249,20.7253,21.0352
2006-02-15,20.8668,21.2441,20.5636,21.1632
2006-02-16,21.0958,21.3047,20.9678,21.0217
2006-02-17,20.9005,21.2643,20.8533,21.1632
2006-02-21,21.1228,21.4125,21.1161,21.2643
2006-02-22,21.2643,21.4664,21.2441,21.4664
2006-02-23,21.5068,22.0458,21.4866,21.8437
2006-02-24,21.9044,22.0324,21.682,21.7898
2006-02-27,21.7427,22.3423,21.7427,22.2413
2006-02-28,22.0122,22.1806,21.81,21.8437
2006-03-01,21.9111,22.3221,21.9111,22.3221
2006-03-02,22.2143,22.248,21.9785,22.0593
2006-03-03,21.8909,22.248,21.8707,21.992
2006-03-06,21.9785,22.0728,21.7629,21.965
2006-03-07,21.8505,22.1469,21.7831,22.0796
2006-03-08,22.0796,22.3962,21.9785,22.221
2006-03-09,22.3423,22.376,21.9583,21.9852
2006-03-10,21.9785,22.2143,21.6753,22.0998
2006-03-13,22.1132,22.4973,22.1132,22.4703
2006-03-14,22.4852,22.4838,22.1537,22.4097
2006-03-15,22.2884,22.915,22.1267,22.8746
2006-03-16,22.8342,23.1845,22.8342,23.0161
2006-03-17,23.0228,23.2856,22.9352,23.1374
2006-03-20,23.1037,23.1239,22.7668,23.0026
2006-03-21,22.9218,23.0026,22.5175,22.5984
2006-03-22,22.5714,22.6388,22.3895,22.5849
2006-03-23,22.6186,22.7533,22.2952,22.6523
