,Open,High,Low,Close
2006-01-03,25.44,26.34,25.04,26.24
2006-01-04,27.14,28.53,27.02,27.56
2006-01-05,27.68,28.64,27.31,28.07
2006-01-06,28.08,28.34,27.52,27.74
2006-01-09,27.74,29.24,27.74,29.23
2006-01-10,28.94,29.01,28.601,28.8
2006-01-11,28.87,28.92,28.1,28.34
2006-01-12,28.35,28.72,28.09,28.3
2006-01-13,28.24,28.39,27.847,28.02
2006-01-17,27.79,28.04,27.11,27.67
2006-01-18,27.44,28.04,26.41,26.46
2006-01-19,26.59,27.05,26.17,26.74
2006-01-20,26.64,26.69,26.02,26.34
2006-01-23,26.58,28.04,26.56,27.64
2006-01-24,26.24,27.84,25.83,27.62
2006-01-25,27.63,27.63,27.08,27.35
2006-01-26,28.09,28.44,27.15,27.44
2006-01-27,27.02,27.83,25.9,26.54
2006-01-30,26.54,26.59,25.64,25.69
2006-01-31,25.65,25.7,24.76,24.94
2006-02-01,24.99,27.37,24.55,25.5
2006-02-02,25.55,26.94,25.55,26.76
2006-02-03,26.4,27.3,25.82,26.85
2006-02-06,26.85,27.7,26.64,27.58
2006-02-07,27.43,28.05,27.32,27.8
2006-02-08,27.65,28.2,27.65,28.06
2006-02-09,28.2,28.49,27.98,28.17
2006-02-10,27.95,28.19,27.53,27.82
2006-02-13,27.83,27.84,27.11,27.13
2006-02-14,27.07,28.36,26.78,28.19
2006-02-15,27.85,27.86,27.01,27.52
2006-02-16,27.54,27.73,27.02,27.68
2006-02-17,27.66,28.51,27.66,28.27
2006-02-21,27.39,28.6,27.39,28.17
2006-02-22,28.33,29.9,28.33,29.71
2006-02-23,28.83,31.5,28.83,30.67
2006-02-24,29.8,30.73,29.8,30.51
2006-02-27,30.45,31.21,30.12,31.05
2006-02-28,30.17,31.41,29.61,29.73
2006-03-01,29.84,30.44,29.78,30.14
2006-03-02,30.02,30.05,28.75,28.82
2006-03-03,28.57,29.04,27.92,28.25
2006-03-06,28.15,28.19,26.9,27.02
2006-03-07,26.98,28.02,26.93,27.9
2006-03-08,27.9,28.2,27.44,27.59
2006-03-09,27.69,28.11,27.3,27.58
2006-03-10,27.5,27.62,27.11,27.55
2006-03-13,27.6,28.14,27.58,28.05
2006-03-14,28.0,29.38,28.0,29.28
2006-03-15,29.09,29.8,29.01,29.64
2006-03-16,29.85,30.38,29.81,30.3
2006-03-17,30.56,30.84,30.03,30.15
2006-03-20,30.31,30.4,29.47,29.6
2006-03-21,29.55,29.77,28.13,28.17
2006-03-22,28.12,28.59,28.12,28.5
2006-03-23,28.5,28.78,28.04,28.3
2006-03-24,28.5,28.68,28.13,28.5
2006-03-27,28.67,28.87,28.45,28.71
2006-03-28,28.72,28.72,27.35,27.38
2006-03-29,27.45,27.63,27.05,27.16
2006-03-30,27.16,29.23,27.16,29.05
2006-03-31,29.25,29.81,29.0,29.31
2006-04-03,29.75,29.95,28.86,28.91
2006-04-04,28.85,29.29,28.75,29.25
2006-04-05,29.35,29.77,29.15,29.35
2006-04-06,29.35,29.4,28.76,29.18
2006-04-07,29.22,29.59,28.36,28.45
2006-04-10,28.5,29.86,28.45,29.63
2006-04-11,29.72,29.99,29.45,29.55
2006-04-12,29.62,30.15,29.48,29.8
2006-04-13,29.81,30.15,29.65,29.73
2006-04-17,29.85,30.24,29.38,29.58
2006-04-18,29.61,31.14,29.46,31.05
2006-04-19,31.23,32.676,31.17,31.9
2006-04-20,31.82,31.98,31.43,31.5
2006-04-21,31.57,31.796,31.12,31.37
2006-04-24,31.1,31.704,31.08,31.16
2006-04-25,31.19,32.0,31.0,31.47
2006-04-26,32.0,33.45,31.59,33.0
2006-04-27,32.91,34.33,32.24,34.25
2006-04-28,34.2,34.2,33.25,33.29
2006-05-01,33.3,33.81,32.86,32.99
2006-05-02,32.74,32.91,32.01,32.35
2006-05-03,32.32,32.75,32.25,32.38
2006-05-04,32.6,33.07,32.35,32.55
2006-05-05,32.54,33.03,32.36,32.8
2006-05-08,32.91,33.53,32.91,33.49
2006-05-09,33.29,34.23,32.63,33.94
2006-05-10,33.85,34.12,33.23,33.55
2006-05-11,33.38,33.55,32.53,32.71
2006-05-12,32.66,32.79,31.78,31.86
2006-05-15,31.56,32.26,31.21,32.26
2006-05-16,32.25,32.25,30.96,31.71
2006-05-17,31.21,31.25,29.71,29.79
2006-05-18,30.06,30.33,29.26,29.31
2006-05-19,29.36,29.78,28.64,29.21
2006-05-22,29.22,29.56,28.18,28.32
2006-05-23,28.31,29.144,28.21,28.54
2006-05-24,28.51,29.05,27.81,28.33
2006-05-25,28.56,29.1,27.98,28.78
2006-05-26,28.78,29.34,28.56,28.84
2006-05-30,28.36,29.34,28.14,28.89
2006-05-31,29.14,30.13,28.96,30.13
2006-06-01,30.32,31.05,30.2,31.0
2006-06-02,30.91,31.4,30.69,30.84
2006-06-05,30.83,31.36,29.4,29.58
2006-06-06,29.57,29.81,29.05,29.57
2006-06-07,29.57,30.47,29.51,29.71
2006-06-08,29.71,30.06,27.86,29.53
2006-06-09,29.41,29.51,28.23,28.94
2006-06-12,28.93,29.02,27.97,27.98
2006-06-13,27.78,27.98,25.43,25.72
2006-06-14,25.63,26.29,24.85,26.04
2006-06-15,26.21,26.79,25.56,26.31
2006-06-16,25.91,26.42,25.87,26.36
2006-06-19,26.56,27.86,26.17,26.56
2006-06-20,26.48,26.76,26.21,26.49
2006-06-21,26.46,27.01,26.37,26.69
2006-06-22,26.6,26.66,26.25,26.36
2006-06-23,26.28,26.81,26.03,26.3
2006-06-26,26.36,27.02,26.31,27.02
2006-06-27,26.84,26.86,26.22,26.22
2006-06-28,26.36,26.73,26.16,26.61
2006-06-29,27.66,28.74,27.41,28.59
2006-06-30,28.66,29.26,28.66,29.03
2006-07-03,29.18,29.74,29.09,29.58
2006-07-05,29.16,29.22,27.56,27.68
2006-07-06,27.74,28.61,27.74,28.26
2006-07-07,28.26,28.56,26.99,27.03
2006-07-10,27.18,27.82,26.88,27.09
2006-07-11,27.11,27.53,26.72,26.93
2006-07-12,27.06,27.37,26.11,26.15
2006-07-13,26.14,26.55,25.74,25.89
2006-07-14,25.76,25.96,24.96,25.65
2006-07-17,25.61,26.13,25.41,25.79
2006-07-18,25.8,26.35,25.41,26.1
2006-07-19,26.56,27.86,26.2,27.81
2006-07-20,27.68,27.89,26.84,26.84
2006-07-21,26.96,26.97,25.76,25.82
2006-07-24,25.57,26.66,25.56,26.57
2006-07-25,26.91,27.34,26.52,27.14
2006-07-26,27.56,29.6,27.55,28.69
2006-07-27,28.76,29.19,27.82,28.12
2006-07-28,28.09,28.99,28.09,28.9
2006-07-31,28.44,28.99,28.01,28.96
2006-08-01,28.66,29.1,28.43,29.01
2006-08-02,28.81,30.36,28.76,30.36
2006-08-03,30.12,30.34,29.88,30.05
2006-08-04,30.4,30.46,29.31,29.38
2006-08-07,29.38,29.51,28.81,28.92
2006-08-08,29.07,29.39,28.24,28.55
2006-08-09,28.19,29.54,28.19,28.96
2006-08-10,28.97,29.4,28.86,29.12
2006-08-11,28.92,29.53,28.56,28.9
2006-08-14,29.07,29.07,28.16,28.46
2006-08-15,29.07,29.39,28.76,29.37
2006-08-16,29.72,29.97,29.52,29.89
2006-08-17,29.77,29.93,29.36,29.59
2006-08-18,29.64,29.77,29.35,29.54
2006-08-21,30.02,30.14,29.74,30.12
2006-08-22,30.32,30.46,29.97,30.26
2006-08-23,30.46,30.47,29.97,30.1
2006-08-24,30.22,30.35,29.72,29.83
2006-08-25,29.69,29.87,29.31,29.42
2006-08-28,29.52,30.27,29.52,29.95
2006-08-29,29.88,29.97,29.29,29.62
2006-08-30,29.68,30.03,29.48,29.71
2006-08-31,29.84,30.22,29.7,30.2
2006-09-01,30.27,30.27,29.63,29.87
2006-09-05,30.01,30.74,29.87,30.64
2006-09-06,29.82,29.98,28.92,29.07
2006-09-07,29.07,29.13,28.72,28.83
2006-09-08,28.83,29.0,28.62,28.95
2006-09-11,28.95,28.99,28.43,28.47
2006-09-12,28.62,29.96,28.47,29.72
2006-09-13,29.62,30.27,29.37,30.0
2006-09-14,29.67,30.47,29.67,30.37
2006-09-15,30.97,31.53,30.91,31.27
2006-09-18,31.57,31.85,31.23,31.44
2006-09-19,31.34,31.7,31.2,31.56
2006-09-20,31.63,31.93,31.02,31.23
2006-09-21,31.23,31.72,30.74,31.1
2006-09-22,31.24,31.28,30.45,30.68
2006-09-25,30.93,31.17,30.45,30.88
2006-09-26,30.93,31.39,30.62,31.36
2006-09-27,31.13,31.43,30.82,31.14
2006-09-28,31.05,31.46,30.71,31.11
2006-09-29,31.11,31.42,30.83,31.37
2006-10-02,31.42,32.0,31.32,31.91
2006-10-03,31.91,32.34,31.58,32.24
2006-10-04,32.26,33.37,32.08,33.31
2006-10-05,33.06,33.43,33.01,33.27
2006-10-06,32.97,33.37,32.912,33.31
2006-10-09,33.11,33.37,32.75,33.04
2006-10-10,32.95,33.11,32.57,32.93
2006-10-11,32.83,32.88,32.208,32.66
2006-10-12,32.68,33.38,32.59,33.17
2006-10-13,33.24,33.46,32.91,33.2
2006-10-16,33.26,33.84,33.26,33.76
2006-10-17,33.87,34.03,33.606,33.87
2006-10-18,33.55,34.24,33.27,34.04
2006-10-19,34.07,34.31,33.68,33.77
2006-10-20,33.97,34.45,33.92,34.42
2006-10-23,34.07,34.38,33.77,34.01
2006-10-24,33.97,34.11,33.24,34.07
2006-10-25,34.46,35.56,34.4,35.36
2006-10-26,35.52,35.76,35.36,35.42
2006-10-27,35.27,35.62,35.25,35.47
2006-10-30,35.77,36.87,35.47,36.42
2006-10-31,36.47,37.11,35.9,35.97
2006-11-01,36.22,36.22,34.89,35.03
2006-11-02,34.87,34.95,34.5,34.67
