,Open,High,Low,Close
2006-01-03,38.6242,39.5217,38.6242,39.4643
2006-01-04,39.3135,39.8161,39.1268,39.5289
2006-01-05,39.5146,39.7587,39.2202,39.2632
2006-01-06,39.5361,39.6797,38.9688,39.0047
2006-01-09,38.8252,40.6706,38.775,40.5485
2006-01-10,40.2685,40.369,39.7515,39.8449
2006-01-11,40.0172,40.1608,39.4499,39.6438
2006-01-12,39.5864,39.7228,39.381,39.5576
2006-01-13,39.3709,39.414,38.897,39.2776
2006-01-17,38.7965,39.2561,38.3657,38.4375
2006-01-18,38.4088,39.0837,38.3657,38.8899
2006-01-19,38.8827,39.0837,38.0928,38.459
2006-01-20,38.3082,38.4231,37.899,38.0138
2006-01-23,38.3657,39.2632,38.337,39.1196
2006-01-24,39.106,39.5146,38.9545,39.3063
2006-01-25,39.4858,40.0244,39.3566,39.9454
2006-01-26,40.0746,41.0943,39.9454,40.4696
2006-01-27,40.7711,43.4638,40.7281,41.9918
2006-01-30,41.7692,41.8123,41.1661,41.324
2006-01-31,41.2379,41.2881,40.671,40.9794
2006-02-01,40.9973,41.4389,40.6778,40.9937
2006-02-02,41.0095,40.9506,40.2685,40.3547
2006-02-03,40.369,40.8573,40.1177,40.4839
2006-02-06,40.1608,40.1967,39.1268,39.3494
2006-02-07,39.3731,39.7228,39.055,39.5361
2006-02-08,39.5289,39.5289,39.0622,39.4715
2006-02-09,39.3494,39.4284,38.9042,38.976
2006-02-10,39.0047,39.4858,38.6816,39.3422
2006-02-13,39.1268,39.7443,39.0981,39.6869
2006-02-14,39.8161,40.4193,39.3997,40.3259
2006-02-15,40.3403,41.0225,40.072,40.9004
2006-02-16,40.5198,40.8645,40.0962,40.8645
2006-02-17,40.5916,40.8358,40.2039,40.7711
2006-02-21,40.6347,41.1517,40.5844,40.8214
2006-02-22,41.0584,41.3025,41.0153,41.1302
2006-02-23,41.1302,41.1732,40.886,40.9506
2006-02-24,40.9865,41.3312,40.8932,41.2307
2006-02-27,41.1661,42.1282,40.9759,41.8267
2006-02-28,41.5825,41.5825,41.1589,41.3815
2006-03-01,41.3815,41.7908,41.3528,41.6687
2006-03-02,41.6687,41.5897,41.1302,41.3887
2006-03-03,41.1014,41.324,40.8573,41.0225
2006-03-06,40.8932,40.9506,40.4121,40.6275
2006-03-07,40.4839,41.1373,40.3762,40.7999
2006-03-08,40.6203,40.8788,40.369,40.7496
2006-03-09,40.9076,41.2379,40.7281,40.9722
2006-03-10,40.9004,41.4533,40.8788,41.3312
2006-03-13,41.3097,41.6127,41.0225,41.4676
2006-03-14,41.4518,42.0277,41.202,41.9846
2006-03-15,42.0277,43.0689,42.0277,42.8678
2006-03-16,42.8104,43.4207,42.5375,43.2915
2006-03-17,43.2484,43.2843,42.9181,43.0689
2006-03-20,43.2484,43.6361,42.9325,43.1191
2006-03-21,43.1191,43.2269,42.595,42.6022
2006-03-22,42.674,42.9253,42.4657,42.8247
2006-03-23,42.7099,42.7529,42.1498,42.6883
2006-03-24,42.5303,42.9468,42.3437,42.7386
2006-03-27,42.6668,43.1048,42.4226,42.9755
2006-03-28,42.9755,43.6218,42.8032,43.3489
2006-03-29,43.3156,43.6459,42.9709,43.2797
2006-03-30,43.1002,43.61,42.8058,43.0284
2006-03-31,42.9565,43.2222,42.6406,42.8201
2006-04-03,43.1648,43.452,42.8417,42.8632
2006-04-04,42.8058,43.2007,42.5544,43.0571
2006-04-05,42.9637,43.3012,42.6837,43.1002
2006-04-06,42.9135,42.9135,41.5994,42.1021
2006-04-07,42.0446,42.2816,40.5798,40.7378
2006-04-10,40.7378,40.8599,40.307,40.6373
2006-04-11,40.6947,40.8742,39.4022,39.632
2006-04-12,39.9479,40.2208,39.3448,39.6248
2006-04-13,39.4812,39.9551,39.3807,39.5746
2006-04-17,39.395,39.5674,38.9427,39.4669
2006-04-18,39.5028,39.9192,39.0863,39.8761
2006-04-19,39.3376,40.07,38.5334,38.7129
2006-04-20,38.5334,38.6339,37.8297,38.3682
2006-04-21,38.5334,38.6411,37.2696,37.7579
2006-04-24,37.9374,38.1672,37.6502,38.0092
2006-04-25,38.4831,38.5478,38.0379,38.0738
2006-04-26,37.7938,38.756,37.4204,38.7488
2006-04-27,38.7129,38.7919,37.6933,38.4041
2006-04-28,38.1744,38.2462,37.3702,37.6717
2006-05-01,37.6717,37.959,37.0255,37.4635
2006-05-02,37.3558,38.1313,37.2409,37.9733
2006-05-03,37.9877,37.9949,37.3343,37.5999
2006-05-04,37.7938,37.9877,37.2984,37.4635
2006-05-05,37.9231,38.3539,37.3845,38.2749
2006-05-08,38.2749,38.6124,38.0451,38.3036
2006-05-09,38.4544,38.4975,37.5425,37.6933
2006-05-10,37.6933,37.9661,37.6358,37.8512
2006-05-11,37.9159,37.9159,37.5425,37.643
2006-05-12,37.5353,37.6215,36.9393,37.0327
2006-05-15,36.7742,38.0954,36.7598,38.002
2006-05-16,38.1456,38.6052,37.9949,38.318
2006-05-17,37.9949,38.3467,37.4922,37.5712
2006-05-18,37.5712,38.3467,37.3845,38.0595
2006-05-19,38.16,38.1744,37.5856,37.8512
2006-05-22,37.6717,37.9877,37.4276,37.5209
2006-05-23,37.5353,37.9087,37.0758,37.0829
2006-05-24,37.0183,37.4994,36.5659,37.2696
2006-05-25,37.4061,37.4132,36.8316,36.9896
2006-05-26,37.1332,37.4994,36.9178,37.4061
2006-05-30,37.1188,37.3127,36.8101,36.8101
2006-05-31,36.8891,37.4132,36.8532,37.3558
2006-06-01,37.4061,38.002,37.3989,37.9446
2006-06-02,37.8441,38.0595,37.3917,37.7938
2006-06-05,37.4563,37.7579,37.2984,37.2984
