,Open,High,Low,Close
2006-01-03,29.465,30.38,29.31,30.25
2006-01-04,29.98,31.01,29.7401,30.97
2006-01-05,30.83,30.93,29.545,30.39
2006-01-06,30.89,31.305,30.655,30.89
2006-01-09,30.89,30.895,29.89,30.08
2006-01-10,30.005,30.99,29.77,30.865
2006-01-11,30.93,31.815,30.555,31.68
2006-01-12,31.955,33.09,31.83,32.08
2006-01-13,31.905,32.975,31.83,32.785
2006-01-17,33.505,33.605,32.54,32.855
2006-01-18,32.53,32.745,31.47,32.3
2006-01-19,32.255,33.265,32.215,32.87
2006-01-20,33.03,33.28,31.81,32.3
2006-01-23,32.3,32.395,31.78,31.87
2006-01-24,32.01,33.84,32.01,33.105
2006-01-25,33.505,33.58,32.08,32.455
2006-01-26,32.13,32.945,31.2555,32.24
2006-01-27,32.14,32.835,31.905,32.45
2006-01-30,32.705,33.415,32.48,32.73
2006-01-31,32.605,33.065,32.4,32.83
2006-02-01,32.93,33.375,32.23,32.36
2006-02-02,32.36,33.175,31.475,31.62
2006-02-03,32.08,32.08,30.905,30.91
2006-02-06,31.265,32.07,31.235,31.795
2006-02-07,31.67,31.67,29.275,29.4
2006-02-08,29.425,29.55,28.15,29.34
2006-02-09,29.575,30.07,28.485,28.63
2006-02-10,28.45,28.901,27.75,28.64
2006-02-13,28.45,28.745,27.035,27.2
2006-02-14,26.86,27.285,26.625,27.025
2006-02-15,27.45,27.735,26.45,26.685
2006-02-16,26.85,27.825,26.725,27.675
2006-02-17,27.95,28.4,27.85,28.015
2006-02-21,28.575,29.0,28.38,28.9
2006-02-22,28.375,28.635,28.095,28.325
2006-02-23,28.325,29.27,28.32,28.61
2006-02-24,29.11,29.385,28.76,29.235
2006-02-27,29.105,29.115,28.34,28.47
2006-02-28,28.4,28.775,28.145,28.46
2006-03-01,28.42,29.195,28.375,29.05
2006-03-02,29.05,29.685,28.755,29.5
2006-03-03,29.375,29.95,29.305,29.865
2006-03-06,29.63,29.63,28.9,29.26
2006-03-07,29.26,29.26,27.905,28.425
2006-03-08,28.2,28.545,27.2462,28.35
2006-03-09,28.75,28.945,28.2,28.435
2006-03-10,28.375,28.62,27.815,28.125
2006-03-13,28.13,28.7,27.835,28.545
2006-03-14,28.545,29.155,28.545,28.98
2006-03-15,28.94,29.03,28.55,28.7
2006-03-16,28.689,29.64,28.581,29.355
2006-03-17,29.355,29.45,29.05,29.135
2006-03-20,29.075,29.19,28.51,28.74
2006-03-21,28.74,29.795,28.725,29.15
2006-03-22,29.15,31.025,29.145,31.025
2006-03-23,31.45,32.685,31.25,32.6
2006-03-24,32.6,32.715,32.06,32.2
2006-03-27,31.9,32.61,31.4505,32.33
2006-03-28,32.51,32.765,32.055,32.38
2006-03-29,32.3,33.06,32.155,32.54
2006-03-30,32.54,33.25,32.42,33.125
2006-03-31,33.8,34.155,33.01,33.53
2006-04-03,34.0,35.225,33.9551,34.99
2006-04-04,34.95,35.84,34.6301,35.7
2006-04-05,35.7,36.36,35.465,36.18
2006-04-06,36.4,36.715,35.66,36.225
2006-04-07,36.225,36.225,35.135,35.95
2006-04-10,35.95,36.51,35.695,36.22
2006-04-11,36.275,36.45,35.49,35.65
2006-04-12,35.525,35.8649,35.045,35.475
2006-04-13,34.6,35.75,34.395,35.65
2006-04-17,35.95,36.35,35.78,36.055
2006-04-18,36.45,37.4,36.155,37.2
2006-04-19,37.075,38.885,36.95,38.78
2006-04-20,38.78,38.79,37.66,38.105
2006-04-21,38.9,40.09,38.5,38.955
