,Open,High,Low,Close
2006-01-03,26.235,26.535,25.225,26.405
2006-01-04,26.295,26.715,26.055,26.565
2006-01-05,26.965,26.965,25.895,26.265
2006-01-06,26.535,26.545,26.045,26.335
2006-01-09,26.415,26.785,26.095,26.535
2006-01-10,26.185,26.615,26.185,26.485
2006-01-11,26.485,27.275,26.405,27.175
2006-01-12,26.855,27.445,26.805,27.215
2006-01-13,27.435,27.565,27.245,27.485
2006-01-17,27.295,27.415,26.925,27.085
2006-01-18,26.685,27.385,26.605,27.225
2006-01-19,27.165,27.315,26.605,27.075
2006-01-20,27.045,27.315,26.155,26.175
2006-01-23,26.075,26.385,25.435,25.615
2006-01-24,25.675,26.385,25.575,26.035
2006-01-25,25.965,26.715,25.765,26.425
2006-01-26,26.885,26.885,26.325,26.575
2006-01-27,26.515,27.355,26.415,26.535
2006-01-30,26.405,26.715,25.905,26.165
2006-01-31,26.225,26.565,25.775,26.375
2006-02-01,26.405,26.515,25.525,25.985
2006-02-02,26.255,26.905,25.725,26.695
2006-02-03,26.195,26.825,25.745,25.935
2006-02-06,25.645,25.935,25.445,25.755
2006-02-07,25.95,26.24,25.13,25.32
2006-02-08,25.28,25.77,25.08,25.67
2006-02-09,25.36,26.1,25.32,25.57
2006-02-10,25.71,26.54,25.48,26.34
2006-02-13,26.28,26.71,26.24,26.71
2006-02-14,26.76,27.93,26.6,27.78
2006-02-15,27.7,28.181,27.443,28.17
2006-02-16,28.23,28.75,28.0,28.34
2006-02-17,28.29,28.49,27.46,27.58
2006-02-21,27.611,27.94,27.1,27.3
2006-02-22,27.52,28.51,27.43,28.11
2006-02-23,28.139,28.28,27.57,27.71
2006-02-24,27.83,27.83,27.0,27.29
2006-02-27,27.58,28.56,27.11,28.21
2006-02-28,28.0,28.5,27.51,27.79
2006-03-01,28.3,28.99,27.89,28.79
2006-03-02,27.85,29.9,27.381,29.4
2006-03-03,28.86,30.67,28.86,30.12
2006-03-06,29.83,30.41,29.41,30.36
2006-03-07,30.04,30.53,29.91,30.22
2006-03-08,30.2,30.49,30.08,30.37
2006-03-09,30.43,30.5,29.6,29.67
2006-03-10,29.7,30.61,29.64,30.57
2006-03-13,30.64,31.0,30.55,30.83
2006-03-14,30.63,31.91,30.6,31.87
2006-03-15,31.6,31.95,31.16,31.6
2006-03-16,31.67,31.79,31.37,31.6
2006-03-17,31.59,32.68,31.44,32.48
2006-03-20,32.505,32.91,32.22,32.6
2006-03-21,32.57,32.71,31.7,32.0
2006-03-22,31.79,31.93,31.21,31.76
2006-03-23,31.78,31.81,31.2,31.59
2006-03-24,31.68,31.98,30.91,31.24
2006-03-27,31.12,31.55,30.94,31.37
2006-03-28,31.55,31.89,30.7,30.87
2006-03-29,30.94,31.62,30.85,31.28
2006-03-30,31.2,31.68,30.55,30.82
2006-03-31,30.88,31.13,30.74,30.76
2006-04-03,31.08,31.38,30.71,30.92
2006-04-04,31.14,31.5,30.75,31.3
2006-04-05,31.17,31.97,31.06,31.74
2006-04-06,32.29,33.2,32.09,33.19
2006-04-07,33.05,33.979,32.22,32.3
2006-04-10,31.61,31.79,30.59,31.03
2006-04-11,31.18,31.5,30.43,30.84
2006-04-12,30.84,31.3,30.59,31.07
2006-04-13,30.93,31.29,30.6,30.69
2006-04-17,30.63,30.94,29.86,30.49
2006-04-18,30.41,32.07,30.41,31.9
2006-04-19,32.18,32.185,30.93,31.39
2006-04-20,31.36,31.69,31.1,31.45
2006-04-21,31.54,31.75,30.27,30.57
2006-04-24,30.29,31.33,30.23,31.08
2006-04-25,30.82,31.48,30.82,31.14
2006-04-26,31.25,31.35,30.77,31.12
2006-04-27,30.85,31.51,30.61,30.96
2006-04-28,31.14,31.14,30.4,31.03
2006-05-01,31.345,31.54,30.62,30.72
2006-05-02,30.72,31.0,30.42,30.58
2006-05-03,30.44,31.059,29.94,30.56
2006-05-04,31.45,32.57,31.11,32.13
2006-05-05,32.5,33.43,32.23,33.3
2006-05-08,33.43,33.97,32.96,33.58
2006-05-09,33.67,33.68,32.95,33.34
2006-05-10,33.37,33.97,33.06,33.53
2006-05-11,33.25,33.57,32.41,32.79
2006-05-12,32.85,32.86,31.63,31.96
2006-05-15,31.41,32.35,31.19,32.28
2006-05-16,32.13,32.37,31.83,31.97
2006-05-17,31.53,31.83,30.62,30.74
2006-05-18,31.02,31.02,29.66,30.2
2006-05-19,30.25,31.23,29.76,30.93
2006-05-22,30.57,31.19,30.45,30.84
2006-05-23,30.75,31.43,30.33,30.37
2006-05-24,30.32,31.25,30.23,30.54
2006-05-25,30.58,31.22,30.34,31.13
2006-05-26,31.255,31.39,30.89,31.16
2006-05-30,31.0,31.05,30.08,30.29
2006-05-31,29.72,30.31,29.05,29.66
2006-06-01,29.83,30.98,29.63,30.96
2006-06-02,30.66,30.77,29.48,30.18
2006-06-05,29.96,30.14,29.248,29.3
2006-06-06,29.31,29.5,28.76,29.24
2006-06-07,29.22,29.87,28.92,29.02
2006-06-08,29.07,30.45,29.02,30.18
2006-06-09,30.28,30.45,29.74,29.77
2006-06-12,29.691,29.86,28.97,29.04
2006-06-13,28.97,29.78,28.93,29.36
2006-06-14,29.3,30.1,29.17,29.71
2006-06-15,29.73,30.71,29.55,30.6
2006-06-16,30.34,30.73,30.08,30.48
2006-06-19,30.48,30.71,29.83,30.28
2006-06-20,31.05,32.07,31.01,31.61
2006-06-21,31.45,32.9,31.45,32.49
2006-06-22,32.24,32.41,31.71,32.0
2006-06-23,31.83,32.87,31.83,32.23
2006-06-26,32.17,33.11,32.12,33.03
2006-06-27,32.85,33.49,32.16,32.38
2006-06-28,32.47,32.98,32.23,32.79
2006-06-29,32.77,33.96,32.42,33.885
2006-06-30,33.82,34.11,33.43,33.86
2006-07-03,33.91,34.35,33.68,34.31
2006-07-05,34.23,34.67,33.42,33.58
2006-07-06,32.13,32.68,31.86,32.58
2006-07-07,32.36,33.43,32.22,32.89
2006-07-10,32.76,33.48,32.72,33.04
