,Open,High,Low,Close
2006-01-03,32.85,33.65,32.35,33.46
2006-01-04,33.4,34.2315,33.29,34.08
2006-01-05,33.9,34.3,33.82,34.21
2006-01-06,34.35,34.41,33.83,34.29
2006-01-09,34.11,34.31,33.83,34.03
2006-01-10,33.79,34.11,33.62,34.03
2006-01-11,34.43,35.73,34.4,35.54
2006-01-12,35.54,35.56,34.75,34.8
2006-01-13,34.85,35.69,34.75,35.51
2006-01-17,35.2,35.31,34.48,34.6
2006-01-18,34.46,35.2,34.45,34.73
2006-01-19,34.0,34.2,33.49,33.6
2006-01-20,33.67,33.94,32.77,32.86
2006-01-23,32.97,33.02,32.7,32.78
2006-01-24,32.92,33.11,32.62,32.74
2006-01-25,32.95,33.1,32.25,32.55
2006-01-26,33.08,33.25,32.73,33.14
2006-01-27,33.07,33.34,32.31,32.5
2006-01-30,32.6,33.11,32.2,32.75
2006-01-31,32.28,32.41,31.75,31.94
2006-02-01,31.963,33.04,31.36,31.82
2006-02-02,32.0,32.25,30.88,31.03
2006-02-03,30.72,31.43,30.36,31.35
2006-02-06,31.35,31.55,30.75,30.98
2006-02-07,30.75,31.17,30.6,30.7
2006-02-08,30.65,31.13,30.63,31.07
2006-02-09,31.17,31.88,31.04,31.8
2006-02-10,31.82,31.96,31.26,31.9
2006-02-13,31.75,32.09,31.5,32.02
2006-02-14,32.08,33.05,31.93,32.93
2006-02-15,32.65,32.99,32.45,32.55
2006-02-16,32.55,32.62,32.34,32.45
2006-02-17,32.35,32.5,31.76,32.43
2006-02-21,32.5,32.65,32.21,32.43
2006-02-22,32.54,33.96,32.5,33.9
2006-02-23,33.69,33.89,33.48,33.69
2006-02-24,33.668,34.3,33.53,34.15
2006-02-27,33.96,34.02,33.65,33.77
2006-02-28,33.47,33.69,33.04,33.13
2006-03-01,33.13,33.73,32.95,33.69
2006-03-02,33.4,33.74,33.17,33.61
2006-03-03,33.5,33.97,32.99,33.79
2006-03-06,33.62,33.65,33.06,33.31
2006-03-07,33.15,33.65,33.11,33.6
2006-03-08,33.49,33.62,33.24,33.49
2006-03-09,33.65,33.65,32.96,33.03
2006-03-10,32.9,33.65,32.8,33.54
2006-03-13,33.41,33.7,33.34,33.64
2006-03-14,33.662,34.19,33.35,34.14
2006-03-15,34.18,34.6,33.99,34.3
2006-03-16,34.62,34.75,34.23,34.39
2006-03-17,34.58,35.38,34.28,35.18
2006-03-20,35.15,35.72,35.05,35.33
2006-03-21,35.65,35.65,34.66,34.78
2006-03-22,34.8,35.29,34.7,35.18
2006-03-23,35.08,35.31,34.56,35.05
2006-03-24,34.88,35.4,34.88,35.29
2006-03-27,35.12,35.15,34.67,34.99
2006-03-28,34.77,34.98,34.23,34.25
2006-03-29,34.18,34.59,33.97,34.41
2006-03-30,34.4,34.94,34.34,34.39
2006-03-31,34.52,35.59,34.52,35.35
2006-04-03,34.7,35.5,34.7,35.06
2006-04-04,35.02,35.8,35.02,35.65
2006-04-05,35.65,36.35,35.61,36.35
2006-04-06,36.15,36.33,35.91,36.09
2006-04-07,36.05,36.23,35.75,35.77
2006-04-10,36.02,36.02,35.45,35.59
2006-04-11,35.85,36.15,35.309,35.45
2006-04-12,35.55,36.13,35.45,35.87
2006-04-13,35.62,35.84,35.52,35.65
2006-04-17,35.65,35.7699,35.5,35.57
2006-04-18,35.57,36.66,35.5,36.5
2006-04-19,36.65,37.57,36.64,36.76
2006-04-20,36.91,36.95,36.0,36.09
2006-04-21,36.45,36.45,35.96,36.15
2006-04-24,36.1,36.63,35.91,36.61
2006-04-25,36.57,37.05,36.37,36.64
2006-04-26,36.56,36.72,36.415,36.6
2006-04-27,37.05,38.6,37.05,37.95
2006-04-28,37.7,39.41,37.65,39.31
2006-05-01,38.91,39.44,38.4,38.45
2006-05-02,38.05,38.92,37.9901,38.67
2006-05-03,38.45,38.81,38.4,38.71
2006-05-04,38.69,38.76,38.49,38.55
2006-05-05,38.7,40.09,38.69,40.03
2006-05-08,41.05,41.86,40.4,40.45
2006-05-09,40.4,40.48,39.74,39.99
2006-05-10,40.57,41.3,40.33,40.71
2006-05-11,41.65,42.47,40.07,40.8
2006-05-12,40.81,40.83,40.0,40.57
2006-05-15,40.38,41.76,40.1,41.26
2006-05-16,41.34,41.52,40.92,41.01
2006-05-17,40.77,40.927,39.85,39.92
2006-05-18,39.13,39.79,38.15,38.47
2006-05-19,38.55,38.74,37.58,38.01
2006-05-22,37.8,37.91,36.7,37.03
2006-05-23,37.06,37.53,36.8,36.82
2006-05-24,36.66,37.47,35.69,36.24
2006-05-25,36.55,36.84,36.14,36.62
2006-05-26,36.87,37.96,36.82,37.91
2006-05-30,37.57,37.66,37.06,37.12
2006-05-31,37.27,37.87,36.73,37.08
2006-06-01,36.75,38.46,36.58,38.31
2006-06-02,38.63,38.79,37.69,37.89
2006-06-05,37.89,37.9,36.96,36.98
2006-06-06,37.05,37.37,36.18,36.6
2006-06-07,36.15,36.6,35.8,36.01
2006-06-08,36.1,36.16,35.0427,35.87
2006-06-09,35.91,36.26,35.45,35.74
2006-06-12,35.86,35.86,35.06,35.39
2006-06-13,35.8,36.3,35.55,35.96
2006-06-14,35.92,36.19,34.73,35.31
2006-06-15,35.2,36.29,35.11,36.2
2006-06-16,35.8,35.85,35.06,35.55
2006-06-19,35.75,36.03,35.09,35.13
2006-06-20,35.12,35.72,34.95,35.41
2006-06-21,35.28,36.36,34.99,35.9
2006-06-22,35.83,36.56,35.76,35.87
2006-06-23,35.63,36.21,35.38,35.88
2006-06-26,35.87,36.22,35.46,36.14
2006-06-27,36.14,36.26,35.66,35.66
2006-06-28,35.8,36.23,35.38,36.1
2006-06-29,36.1,37.27,35.89,36.87
2006-06-30,37.1,37.51,36.83,36.88
2006-07-03,36.8,37.55,36.74,37.38
2006-07-05,37.13,37.13,36.49,36.78
2006-07-06,36.77,37.09,36.62,37.05
2006-07-07,36.98,37.45,36.61,36.68
2006-07-10,36.77,37.06,36.55,36.89
2006-07-11,36.96,37.0,36.02,36.88
2006-07-12,36.83,37.25,36.33,36.41
2006-07-13,36.25,37.4,36.02,36.74
2006-07-14,36.55,36.58,35.15,35.62
2006-07-17,35.62,35.91,35.15,35.33
2006-07-18,35.5,36.0,35.5,35.78
2006-07-19,36.03,37.52,35.87,37.34
2006-07-20,37.51,38.79,37.4905,37.91
2006-07-21,38.1,38.1,36.74,37.8
2006-07-24,37.8,38.52,37.7,38.15
2006-07-25,37.4,38.2,36.82,37.75
2006-07-26,37.45,37.5,35.62,35.7
2006-07-27,37.51,37.51,33.5,33.82
2006-07-28,34.17,35.49,33.64,35.2
2006-07-31,35.4,35.57,34.42,34.63
2006-08-01,34.63,34.85,34.45,34.65
2006-08-02,35.15,35.68,34.8,35.21
2006-08-03,35.06,35.94,34.82,35.85
2006-08-04,36.75,37.75,36.09,36.2
2006-08-07,36.07,36.3077,35.57,35.71
2006-08-08,36.08,36.714,35.73,36.14
2006-08-09,35.33,35.41,32.91,32.91
2006-08-10,32.4,33.24,31.87,32.7
2006-08-11,32.95,33.18,31.64,31.89
2006-08-14,32.65,32.76,31.95,32.02
2006-08-15,32.7,33.11,32.37,33.03
2006-08-16,33.25,33.6,32.91,33.57
2006-08-17,33.29,33.65,33.06,33.65
2006-08-18,33.64,33.8,33.28,33.61
2006-08-21,33.28,33.3401,32.05,32.1
2006-08-22,31.95,32.69,31.95,32.45
2006-08-23,32.35,32.52,32.15,32.29
2006-08-24,32.25,32.47,31.7,32.21
2006-08-25,31.95,31.99,31.19,31.4
2006-08-28,31.62,32.83,31.59,32.55
2006-08-29,31.15,32.06,31.15,31.97
2006-08-30,31.77,32.62,31.74,32.56
2006-08-31,32.45,32.83,32.45,32.75
2006-09-01,32.75,32.93,32.49,32.78
2006-09-05,32.85,33.73,32.83,33.57
2006-09-06,33.27,33.69,32.99,33.21
2006-09-07,33.15,33.19,32.41,32.63
2006-09-08,32.51,32.55,31.63,32.37
2006-09-11,32.4,32.51,31.9,32.43
2006-09-12,32.45,33.91,32.45,33.85
2006-09-13,33.95,34.35,33.55,33.88
2006-09-14,33.9,34.01,33.45,33.84
2006-09-15,33.95,34.09,33.65,33.81
2006-09-18,34.2,34.52,33.63,33.77
2006-09-19,33.71,33.9,33.2,33.88
2006-09-20,34.22,34.59,34.04,34.27
2006-09-21,34.27,34.51,33.87,34.05
2006-09-22,34.05,34.17,33.68,34.0
2006-09-25,34.0,34.44,33.7,34.29
2006-09-26,34.1,35.17,34.06,34.9
2006-09-27,34.68,34.77,33.77,33.77
