,Open,High,Low,Close
2006-01-03,33.365,34.025,32.105,33.845
2006-01-04,33.735,33.745,33.245,33.545
2006-01-05,33.305,34.885,33.305,34.275
2006-01-06,33.895,34.175,33.165,34.155
2006-01-09,34.205,37.005,34.195,36.855
2006-01-10,37.405,37.405,36.727,37.245
2006-01-11,37.245,38.565,36.945,38.295
2006-01-12,37.905,37.915,37.355,37.445
2006-01-13,37.305,37.661,36.995,37.185
2006-01-17,36.625,37.185,36.325,36.485
2006-01-18,36.305,37.335,36.125,36.905
2006-01-19,36.915,36.995,35.215,35.765
2006-01-20,35.765,36.005,34.765,35.025
2006-01-23,34.985,35.145,34.715,34.875
2006-01-24,34.835,35.205,34.785,34.985
2006-01-25,35.185,35.185,33.585,34.205
2006-01-26,34.505,34.995,34.295,34.655
2006-01-27,34.645,36.075,34.595,35.385
2006-01-30,35.605,35.775,35.015,35.075
2006-01-31,34.955,34.965,34.155,34.325
2006-02-01,34.302,34.195,32.835,33.035
2006-02-02,33.155,33.195,31.615,32.015
2006-02-03,31.505,32.725,31.145,32.505
2006-02-06,32.505,32.665,31.775,31.955
2006-02-07,31.175,31.645,30.455,30.675
2006-02-08,30.955,30.955,29.915,30.595
2006-02-09,30.555,31.335,30.275,30.585
2006-02-10,30.155,30.225,29.535,29.945
2006-02-13,29.945,30.015,29.375,29.575
2006-02-14,29.575,30.255,28.945,30.085
2006-02-15,30.355,31.555,30.295,30.925
2006-02-16,31.235,32.495,31.115,32.035
2006-02-17,32.035,32.315,31.405,31.505
2006-02-21,31.645,32.195,31.095,32.055
2006-02-22,32.155,34.105,32.005,33.695
2006-02-23,34.005,34.005,33.065,33.165
2006-02-24,33.205,33.245,32.815,33.105
2006-02-27,32.785,32.945,32.005,32.235
2006-02-28,32.005,32.285,31.055,31.115
2006-03-01,31.115,31.315,30.625,30.845
2006-03-02,30.375,31.305,30.335,30.605
2006-03-03,30.095,30.415,29.655,29.725
2006-03-06,29.625,29.835,29.095,29.315
2006-03-07,28.925,29.005,28.025,28.565
2006-03-08,28.305,28.435,27.805,28.415
2006-03-09,28.415,28.675,27.805,28.045
2006-03-10,28.025,29.105,28.025,28.725
2006-03-13,28.655,29.215,28.325,28.555
2006-03-14,29.175,30.905,29.045,30.685
2006-03-15,29.945,30.925,29.945,30.305
2006-03-16,30.705,31.5754,30.555,30.955
2006-03-17,31.505,31.945,31.355,31.585
2006-03-20,31.515,31.5548,30.225,30.415
2006-03-21,30.415,30.415,29.245,29.355
2006-03-22,29.505,29.825,29.135,29.435
2006-03-23,29.555,31.085,29.555,30.485
2006-03-24,30.485,31.175,29.485,30.905
2006-03-27,30.655,31.4409,30.625,30.715
2006-03-28,31.155,31.405,30.395,30.835
2006-03-29,30.745,31.605,30.405,30.985
2006-03-30,30.985,31.155,29.955,30.465
2006-03-31,30.535,30.665,30.175,30.225
2006-04-03,30.155,30.955,29.809,30.685
2006-04-04,30.455,30.865,30.155,30.865
2006-04-05,30.875,32.275,30.875,32.185
2006-04-06,32.185,32.195,31.405,31.775
2006-04-07,31.585,31.955,31.075,31.505
2006-04-10,31.595,31.875,30.875,31.025
2006-04-11,32.005,32.005,30.805,31.055
2006-04-12,31.055,31.105,30.035,30.065
2006-04-13,29.905,30.195,29.365,30.025
2006-04-17,30.085,30.515,29.795,30.405
2006-04-18,30.005,31.495,29.175,31.155
2006-04-19,31.145,31.155,30.035,30.555
2006-04-20,30.105,30.335,29.595,30.155
2006-04-21,30.505,30.505,29.225,29.405
2006-04-24,29.195,29.235,28.565,28.645
2006-04-25,28.655,28.745,27.755,27.825
2006-04-26,27.955,29.175,27.955,28.335
2006-04-27,27.255,27.695,26.815,27.345
2006-04-28,27.345,27.755,27.015,27.025
2006-05-01,27.055,27.505,26.425,26.745
2006-05-02,26.355,26.575,25.955,26.445
2006-05-03,26.405,26.695,26.055,26.325
2006-05-04,26.455,26.575,25.885,25.925
2006-05-05,26.405,27.045,26.045,26.855
2006-05-08,26.655,27.0464,26.005,26.125
2006-05-09,26.105,26.255,26.045,26.165
2006-05-10,26.205,27.075,26.205,26.855
2006-05-11,26.855,26.855,26.165,26.215
2006-05-12,26.055,26.245,25.635,26.155
2006-05-15,25.755,26.205,25.075,25.495
2006-05-16,25.485,25.705,24.705,24.825
2006-05-17,24.615,24.925,23.955,24.095
2006-05-18,24.265,25.435,24.221,24.605
2006-05-19,24.605,24.855,24.045,24.185
2006-05-22,23.995,24.105,23.295,23.455
2006-05-23,24.155,24.565,23.935,24.105
2006-05-24,24.105,24.875,23.655,24.185
2006-05-25,24.125,24.785,24.125,24.445
2006-05-26,24.465,24.765,24.355,24.515
2006-05-30,24.305,24.305,23.475,23.525
2006-05-31,23.525,23.775,23.195,23.465
2006-06-01,23.375,23.955,23.243,23.855
2006-06-02,24.085,24.285,23.135,23.265
2006-06-05,23.395,23.395,21.865,21.915
2006-06-06,21.495,21.495,19.855,20.515
2006-06-07,20.665,21.125,20.185,20.415
2006-06-08,20.345,20.685,19.655,20.525
2006-06-09,20.625,21.145,20.455,20.975
2006-06-12,20.975,21.085,20.375,20.515
2006-06-13,20.305,20.945,20.155,20.505
2006-06-14,20.525,20.975,20.4328,20.775
2006-06-15,20.615,22.125,20.615,21.995
2006-06-16,21.995,22.235,21.475,21.765
2006-06-19,21.805,22.051,21.015,21.115
2006-06-20,21.405,21.535,20.455,20.505
2006-06-21,20.495,21.525,20.455,21.255
2006-06-22,21.215,21.225,20.625,20.705
2006-06-23,20.655,21.025,20.415,20.765
2006-06-26,20.945,21.815,20.855,21.505
2006-06-27,21.755,21.755,20.555,20.555
2006-06-28,20.555,20.775,20.258,20.615
2006-06-29,20.735,21.395,20.255,21.385
