,Open,High,Low,Close
2006-01-03,29.61,30.34,29.55,30.21
2006-01-04,30.15,30.64,30.09,30.36
2006-01-05,30.56,30.58,30.19,30.35
2006-01-06,30.5,30.51,30.01,30.24
2006-01-09,30.19,31.11,30.06,30.92
2006-01-10,30.54,30.97,30.48,30.95
2006-01-11,31.04,31.07,30.6399,30.84
2006-01-12,30.67,30.76,30.33,30.33
2006-01-13,30.49,30.58,30.13,30.18
2006-01-17,29.82,30.12,29.76,29.98
2006-01-18,28.89,29.71,28.85,29.57
2006-01-19,29.83,30.36,29.78,30.1
2006-01-20,30.1,30.25,29.45,29.56
2006-01-23,29.668,30.18,29.579,29.82
2006-01-24,29.84,30.22,29.26,29.5
2006-01-25,29.65,29.68,28.86,29.06
2006-01-26,29.12,29.35,28.54,28.91
2006-01-27,29.01,29.551,28.57,28.87
2006-01-30,28.94,29.56,28.9,29.26
2006-01-31,29.31,29.41,28.907,28.91
2006-02-01,28.83,29.46,28.65,29.36
2006-02-02,29.16,29.26,28.4199,28.6
2006-02-03,28.52,28.92,28.29,28.86
2006-02-06,28.72,29.18,28.7,28.92
2006-02-07,28.93,29.46,28.9,29.29
2006-02-08,30.11,31.15,30.04,31.12
2006-02-09,31.6,31.69,30.681,30.81
2006-02-10,30.77,31.59,30.46,31.39
2006-02-13,31.2,31.65,31.0,31.17
2006-02-14,31.03,31.6,30.72,31.6
2006-02-15,31.42,31.84,31.09,31.37
2006-02-16,31.58,31.69,31.15,31.56
2006-02-17,30.59,30.61,29.73,29.98
2006-02-21,29.75,29.83,29.38,29.41
2006-02-22,29.01,29.69,28.97,29.35
2006-02-23,29.32,29.4,28.65,28.675
2006-02-24,28.66,28.97,28.48,28.7
2006-02-27,28.83,29.29,28.72,29.04
2006-02-28,28.92,29.09,28.6,28.6
2006-03-01,28.67,29.18,28.67,28.87
2006-03-02,28.8,29.28,28.68,29.16
2006-03-03,28.88,29.13,28.72,28.73
2006-03-06,28.9,29.11,28.6,28.72
2006-03-07,28.61,28.8501,28.49,28.73
2006-03-08,28.79,28.82,28.51,28.55
2006-03-09,28.68,28.68,28.42,28.5
2006-03-10,28.51,29.06,28.2,28.69
2006-03-13,28.74,29.03,28.69,28.86
2006-03-14,28.83,29.34,28.76,29.25
2006-03-15,29.21,29.38,29.1,29.16
2006-03-16,29.37,29.4,29.03,29.05
2006-03-17,29.175,29.19,28.63,28.68
2006-03-20,28.99,29.43,28.86,29.36
2006-03-21,29.49,30.38,29.41,29.87
2006-03-22,29.59,30.12,29.4391,30.01
2006-03-23,29.93,30.4,29.65,29.94
2006-03-24,29.975,30.22,29.59,29.66
2006-03-27,29.84,29.88,29.39,29.7
2006-03-28,29.61,29.77,29.25,29.34
2006-03-29,29.45,30.2,29.43,30.02
2006-03-30,29.98,30.15,29.66,29.76
2006-03-31,29.85,30.04,29.36,29.36
2006-04-03,29.52,29.85,29.33,29.33
2006-04-04,29.43,29.65,29.35,29.45
2006-04-05,29.37,29.51,29.23,29.43
2006-04-06,29.33,29.5,29.15,29.27
2006-04-07,29.33,29.56,29.3,29.36
2006-04-10,29.37,29.55,29.24,29.32
2006-04-11,29.29,29.41,28.86,29.26
2006-04-12,29.2,29.4,29.13,29.25
2006-04-13,29.05,29.29,28.8,28.95
2006-04-17,28.82,28.86,28.34,28.45
2006-04-18,28.64,28.69,28.26,28.57
2006-04-19,28.41,28.6,28.06,28.21
2006-04-20,28.06,28.21,27.49,27.84
2006-04-21,26.77,27.1,26.38,26.61
