,Open,High,Low,Close
2008-04-28,17.6,18.6,15.65,15.65
2008-04-29,15.4,16.0,15.4,15.8
2008-04-30,16.1,17.8,15.6,16.55
2008-05-01,16.6,16.6,15.61,15.75
2008-05-02,15.8,16.1,14.4,14.4
2008-05-05,14.7,15.04,13.65,15.0
2008-05-06,14.21,14.3,13.62,13.65
2008-05-07,13.8,14.4,13.4,14.1
2008-05-08,14.18,14.43,13.34,14.0
2008-05-09,13.7,14.0,13.54,13.84
2008-05-12,13.71,15.45,13.7,14.17
2008-05-13,13.98,14.52,13.8,14.5
2008-05-14,14.1,14.91,13.2,14.77
2008-05-15,14.35,15.01,14.18,14.63
2008-05-16,14.46,15.35,14.27,15.1
2008-05-19,14.75,15.05,14.57,14.67
2008-05-20,14.3,14.54,13.6,14.15
2008-05-21,13.97,14.38,13.86,14.11
2008-05-22,13.74,14.73,13.72,14.32
2008-05-23,14.12,14.32,13.86,14.02
2008-05-27,13.96,14.13,13.72,13.98
2008-05-28,13.82,14.07,13.65,13.81
2008-05-29,13.61,13.74,13.45,13.55
2008-05-30,13.42,14.07,13.37,13.78
2008-06-02,13.57,13.67,12.71,12.72
2008-06-03,12.4,12.85,12.19,12.8
2008-06-04,12.55,12.79,12.48,12.5
2008-06-05,13.4,14.98,13.3,14.16
2008-06-06,13.72,13.97,13.53,13.58
2008-06-09,13.4,13.9,13.29,13.57
2008-06-10,13.48,13.7,13.45,13.53
2008-06-11,13.58,13.58,12.66,12.93
2008-06-12,13.37,13.45,12.595,12.78
2008-06-13,12.75,13.33,12.63,13.27
2008-06-16,13.33,13.37,12.1,12.31
2008-06-17,12.32,12.34,11.82,12.06
2008-06-18,11.7,12.6,11.66,12.39
2008-06-19,12.45,12.61,12.0,12.49
2008-06-20,11.95,12.6,11.92,12.6
2008-06-23,12.6,12.6,12.16,12.2
2008-06-24,11.85,11.85,10.8,11.14
2008-06-25,10.93,11.48,10.89,11.14
2008-06-26,10.75,11.16,10.67,10.77
2008-06-27,10.62,10.68,10.12,10.2
2008-06-30,10.18,10.18,9.22,9.58
2008-07-01,9.4,9.44,8.63,9.2
2008-07-02,9.51,10.09,9.39,9.94
2008-07-03,9.81,9.94,9.14,9.54
2008-07-07,9.65,10.17,9.54,9.92
2008-07-08,9.75,10.51,9.73,10.1
2008-07-09,10.19,10.38,10.11,10.25
2008-07-10,10.57,10.615,10.06,10.45
2008-07-11,10.02,10.57,9.83,10.24
2008-07-14,10.5,10.74,10.0,10.39
2008-07-15,10.2,10.33,9.06,9.6
2008-07-16,9.46,9.68,9.35,9.63
2008-07-17,9.47,9.51,7.97,9.0
2008-07-18,9.04,9.08,8.52,8.8
2008-07-21,9.2,9.48,8.81,9.16
2008-07-22,8.87,9.44,8.75,9.36
2008-07-23,9.3,9.3,8.68,8.81
2008-07-24,8.7,9.21,8.7,9.05
2008-07-25,9.05,9.34,8.81,8.89
2008-07-28,8.69,8.9,8.67,8.78
2008-07-29,9.0,9.18,8.77,8.85
2008-07-30,8.86,9.31,8.86,9.27
2008-07-31,8.95,9.46,8.95,9.27
2008-08-01,9.39,9.62,9.2,9.52
2008-08-04,9.42,9.46,9.09,9.32
2008-08-05,9.45,9.71,9.3,9.6
2008-08-06,9.58,9.88,9.53,9.67
2008-08-07,9.89,10.08,9.65,9.67
2008-08-08,9.67,10.65,9.65,10.55
2008-08-11,10.49,11.15,10.43,10.58
2008-08-12,10.56,10.71,10.09,10.26
2008-08-13,10.81,12.37,10.72,11.39
2008-08-14,11.35,12.14,11.35,11.85
2008-08-15,12.1,12.63,12.1,12.42
2008-08-18,12.27,12.7,12.133,12.48
2008-08-19,12.59,12.67,12.03,12.57
2008-08-20,11.94,12.92,11.85,12.59
2008-08-21,12.51,12.62,11.66,12.62
2008-08-22,12.91,13.01,12.68,12.9
2008-08-25,13.19,13.25,12.595,12.77
2008-08-26,12.9,12.9,12.54,12.75
2008-08-27,12.94,13.5368,12.7,13.5
2008-08-28,13.46,13.48,13.12,13.41
