,Open,High,Low,Close
2006-01-03,24.26,25.225,24.205,25.12
2006-01-04,25.12,25.685,24.71,25.245
2006-01-05,25.21,25.515,24.875,25.215
2006-01-06,25.46,26.16,25.375,25.985
2006-01-09,25.935,26.135,25.685,25.955
2006-01-10,25.635,25.65,24.975,25.36
2006-01-11,24.79,25.29,24.76,24.96
2006-01-12,25.025,25.585,24.47,24.515
2006-01-13,24.67,25.01,24.59,24.86
2006-01-17,24.85,25.385,24.605,25.385
2006-01-18,25.115,25.21,24.745,24.83
2006-01-19,24.905,25.71,24.865,25.565
2006-01-20,25.545,25.61,25.155,25.21
2006-01-23,25.185,25.83,25.11,25.54
2006-01-24,25.665,26.335,25.56,25.87
2006-01-25,25.975,25.975,25.21,25.41
2006-01-26,25.835,25.995,25.44,25.56
2006-01-27,25.585,26.66,25.585,26.48
2006-01-30,26.76,28.165,26.76,27.94
2006-01-31,27.76,28.155,27.425,27.515
2006-02-01,27.71,28.02,27.5,27.97
2006-02-02,27.98,28.065,27.115,27.415
2006-02-03,27.225,27.705,26.929,27.205
2006-02-06,27.085,27.145,26.595,26.915
2006-02-07,26.715,26.83,25.225,25.565
2006-02-08,25.565,25.87,24.95,25.86
2006-02-09,25.995,26.96,25.895,25.985
2006-02-10,26.11,26.37,25.745,26.28
2006-02-13,26.035,26.075,25.41,25.635
2006-02-14,25.335,26.745,25.305,26.47
2006-02-15,26.305,26.51,25.785,26.185
2006-02-16,26.31,26.83,26.055,26.83
2006-02-17,26.71,27.23,26.14,26.945
2006-02-21,26.985,27.13,26.385,26.56
2006-02-22,26.735,28.205,26.735,27.575
2006-02-23,27.61,29.185,27.555,28.175
2006-02-24,28.164,28.115,27.155,27.53
2006-02-27,27.71,28.16,27.255,27.805
2006-02-28,27.76,28.165,27.085,27.15
2006-03-01,27.15,27.84,26.81,27.72
2006-03-02,27.68,28.09,27.35,27.95
2006-03-03,27.885,28.92,27.83,28.865
2006-03-06,28.715,29.39,28.685,29.195
2006-03-07,29.06,29.155,27.955,28.26
2006-03-08,27.96,27.96,25.53,26.545
2006-03-09,26.545,27.165,26.2,26.48
2006-03-10,26.46,27.305,26.445,27.17
2006-03-13,27.47,27.735,27.06,27.205
2006-03-14,27.216,27.87,27.165,27.87
2006-03-15,27.255,27.605,26.75,27.32
2006-03-16,27.445,29.05,27.37,28.065
2006-03-17,28.28,28.28,27.345,27.71
2006-03-20,27.485,27.75,27.115,27.495
2006-03-21,27.225,27.25,26.05,26.325
2006-03-22,26.015,26.38,25.37,26.34
2006-03-23,26.22,26.41,25.59,25.97
2006-03-24,25.77,26.1,25.425,25.565
2006-03-27,25.185,25.705,24.995,25.49
2006-03-28,26.01,28.09,25.935,26.935
2006-03-29,27.235,27.68,26.775,27.535
