,Open,High,Low,Close
2006-01-03,11.8305,12.2574,11.7006,12.1831
2006-01-04,12.3687,12.4337,11.6728,12.4244
2006-01-05,12.1924,12.4522,11.8305,11.9047
2006-01-06,12.1831,12.2759,12.0161,12.0439
2006-01-09,12.0161,12.2202,11.9233,12.2202
2006-01-10,12.1274,12.211,11.7563,12.081
2006-01-11,12.1274,12.1738,11.8955,11.9511
2006-01-12,11.9697,12.0532,11.7377,11.9419
2006-01-13,11.9047,12.0625,11.747,11.9511
2006-01-17,11.8583,12.1924,11.8305,12.1831
2006-01-18,12.146,12.7863,12.0903,12.7399
2006-01-19,12.7306,12.9626,12.4986,12.8791
2006-01-20,12.8327,13.1296,12.7213,12.8976
2006-01-23,12.8605,13.2224,12.8512,12.944
2006-01-24,12.9264,13.0509,12.6285,12.8605
2006-01-25,12.8141,12.9719,12.2388,12.4615
2006-01-26,12.7028,12.7028,11.914,12.0439
2006-01-27,12.0625,12.4522,12.0532,12.1831
2006-01-30,12.2295,12.2295,11.8955,11.9233
2006-01-31,11.8119,12.3223,11.6913,12.3038
2006-02-01,12.4615,13.7142,12.4151,13.176
2006-02-02,13.1964,13.3245,12.7306,13.2781
2006-02-03,13.0183,13.0554,12.5543,12.61
2006-02-06,12.5821,12.8698,12.4893,12.7863
2006-02-07,12.712,12.7492,12.2017,12.2945
2006-02-08,12.3038,12.3038,12.0068,12.2202
2006-02-09,12.2388,12.6656,12.0625,12.3687
2006-02-10,12.2852,12.7028,12.0718,12.1367
2006-02-13,12.2481,12.3038,12.0625,12.0625
2006-02-14,12.0625,12.211,11.6635,12.1274
2006-02-15,12.1274,12.545,12.081,12.3594
2006-02-16,12.3409,12.8791,12.3038,12.8791
2006-02-17,12.9255,13.1389,12.7584,12.9904
2006-02-21,13.1482,13.3245,13.0554,13.1111
2006-02-22,13.3059,13.4451,13.0647,13.3987
2006-02-23,13.3709,13.4637,13.1667,13.176
2006-02-24,13.2874,13.575,13.1203,13.4637
2006-02-27,13.6493,13.8905,13.5008,13.807
2006-02-28,13.6493,13.9091,13.4266,13.8534
2006-03-01,13.872,14.039,13.575,13.6493
2006-03-02,13.5008,13.9926,13.2966,13.974
2006-03-03,13.807,14.1875,13.6678,13.8441
2006-03-06,13.8998,13.9528,12.842,12.944
2006-03-07,12.8327,12.8976,12.4801,12.6285
2006-03-08,12.6715,13.3211,12.1333,13.0149
2006-03-09,13.0984,13.1726,12.6901,12.7551
2006-03-10,12.9314,13.2747,12.6947,13.1819
2006-03-13,13.2469,13.4789,13.1355,13.3582
2006-03-14,13.284,13.7572,13.1856,13.683
2006-03-15,13.6088,13.7665,13.2747,13.6273
2006-03-16,13.7758,14.0171,13.6366,13.7572
2006-03-17,13.7016,13.85,13.5067,13.6273
2006-03-20,13.748,13.8036,13.0798,13.0891
2006-03-21,13.0984,13.219,12.5138,12.5138
2006-03-22,12.4581,12.9592,12.3282,12.9499
2006-03-23,12.9221,12.9221,12.4674,12.5509
2006-03-24,12.5695,12.9221,12.4674,12.8386
2006-03-27,12.7829,12.8386,12.4674,12.7643
2006-03-28,12.6252,12.6622,12.2818,12.356
2006-03-29,12.254,12.6344,12.1705,12.4674
2006-03-30,12.5138,12.6066,12.0498,12.0962
2006-03-31,12.2447,12.2818,11.7251,11.9014
2006-04-03,12.189,12.486,12.022,12.0684
2006-04-04,12.1983,12.6994,11.8178,12.6623
2006-04-05,12.6623,12.8664,12.4117,12.7458
2006-04-06,12.5973,12.6252,11.9942,12.1148
2006-04-07,12.0406,12.1148,11.4838,11.5487
2006-04-10,11.5116,11.8642,11.4931,11.5302
2006-04-11,11.6694,11.6972,11.0198,11.0384
2006-04-12,11.0198,11.3353,11.0198,11.1126
2006-04-13,11.6415,11.6415,10.8713,11.1126
2006-04-17,11.0477,11.2611,11.0198,11.0848
2006-04-18,11.1219,11.7714,11.1126,11.7065
2006-04-19,11.623,11.9756,11.6137,11.6415
2006-04-20,11.7065,12.0869,11.5673,11.8086
2006-04-21,12.0406,12.1612,11.7529,11.855
2006-04-24,11.7529,11.9849,11.4374,11.8828
2006-04-25,11.9385,11.9385,11.3168,11.3724
2006-04-26,11.3539,11.5023,10.9827,11.0755
2006-04-27,10.4445,11.623,10.4445,11.1961
2006-04-28,11.1683,11.7622,11.0013,11.5673
2006-05-01,11.623,11.855,11.0198,11.1683
2006-05-02,11.3446,11.6508,11.2889,11.6415
2006-05-03,11.4374,11.5487,11.1033,11.2332
2006-05-04,11.5487,11.9478,11.3168,11.9106
2006-05-05,12.0406,12.9314,12.0406,12.8757
2006-05-08,12.9963,13.0613,12.5973,12.7643
2006-05-09,12.8943,13.2376,12.5138,12.6901
2006-05-10,12.6252,12.9592,12.5324,12.6066
2006-05-11,12.7551,12.7551,12.1055,12.421
2006-05-12,12.421,12.6066,11.8178,11.9199
2006-05-15,11.957,12.1519,11.6787,12.0127
2006-05-16,12.0034,12.1705,11.8364,12.1148
2006-05-17,11.7807,11.9756,11.3539,11.7251
2006-05-18,11.7807,12.1612,11.7158,11.8642
2006-05-19,12.0034,12.4488,11.8086,12.1983
2006-05-22,12.1055,12.5138,11.9014,12.1241
2006-05-23,12.2633,12.3746,11.7343,11.7529
2006-05-24,11.7807,12.0591,11.3632,11.9756
2006-05-25,12.1797,12.3097,12.0313,12.3004
2006-05-26,12.3653,12.6252,12.1333,12.6159
2006-05-30,12.588,12.6994,11.9106,12.0777
2006-05-31,12.1797,12.5973,11.7251,12.2447
2006-06-01,12.5231,12.9221,12.3189,12.9128
2006-06-02,13.0613,13.219,12.7736,13.0798
2006-06-05,13.0149,13.219,12.7365,12.7736
2006-06-06,12.9592,13.1077,12.4767,12.8293
2006-06-07,13.0115,13.16,12.8259,13.0579
2006-06-08,13.1229,13.3363,12.9744,13.1878
2006-06-09,13.1321,13.9302,13.1136,13.7631
2006-06-12,13.9209,14.3849,13.7817,14.1529
2006-06-13,14.1436,14.3477,13.9766,13.9858
2006-06-14,13.8374,14.0415,13.6332,13.9858
2006-06-15,14.0601,14.5333,13.9858,14.3663
2006-06-16,14.2271,14.5333,14.2271,14.4962
2006-06-19,14.5055,14.5148,13.9394,14.125
2006-06-20,14.1343,14.3477,14.0044,14.0972
2006-06-21,14.0694,14.3013,13.893,13.9951
2006-06-22,13.8745,14.0647,13.5404,13.8281
2006-06-23,13.6796,14.2549,13.6054,13.9487
2006-06-26,13.9487,14.2828,13.9302,14.2178
2006-06-27,14.125,14.4498,14.0972,14.1343
2006-06-28,14.2921,14.3199,13.9766,14.0786
2006-06-29,14.3106,14.524,14.0879,14.4498
2006-06-30,14.4312,14.8767,14.2828,14.8674
2006-07-03,15.0994,15.2757,14.8395,15.2386
2006-07-05,15.0808,15.1829,14.9138,15.0715
2006-07-06,15.1272,15.1458,14.7746,14.9973
2006-07-07,14.9602,15.4427,14.8395,15.2478
2006-07-10,15.3406,15.4427,15.2014,15.387
2006-07-11,15.5169,15.8324,15.387,15.7396
2006-07-12,15.8696,15.8881,15.0994,15.1829
2006-07-13,14.9602,15.3963,14.9602,15.2107
2006-07-14,15.0622,15.4427,15.0158,15.3035
2006-07-17,15.3128,15.5448,15.2478,15.4334
2006-07-18,15.452,15.6097,15.2849,15.6004
2006-07-19,15.8139,16.018,15.6932,15.8696
2006-07-20,15.7768,16.25,15.7768,16.1758
2006-07-21,16.3799,16.5377,16.1015,16.1294
2006-07-24,16.2686,16.5655,16.2686,16.5377
2006-07-25,16.5377,16.6676,16.417,16.4727
2006-07-26,16.4356,16.5748,16.3242,16.5562
2006-07-27,16.6212,16.9738,16.4078,16.6583
2006-07-28,16.9088,17.0944,16.7325,16.9088
2006-07-31,16.7511,17.0109,16.4542,16.4634
2006-08-01,16.5377,17.1315,16.3614,17.0016
2006-08-02,17.1315,17.2996,16.9088,17.2615
2006-08-03,17.3728,17.5213,16.8253,17.0109
2006-08-04,17.2429,17.3728,16.8624,17.1315
2006-08-07,17.1501,17.3079,16.5377,16.5933
2006-08-08,16.7975,17.3079,16.7789,17.0944
2006-08-09,17.2336,17.2893,16.8624,16.9831
2006-08-10,17.0109,17.0573,16.7233,17.0295
2006-08-11,16.9274,17.0944,16.8253,16.8717
2006-08-14,17.0016,17.2986,16.9181,17.1408
2006-08-15,17.3728,17.3728,17.0666,17.2522
2006-08-16,17.3728,17.3728,16.816,16.816
2006-08-17,16.8346,16.9552,16.6305,16.8717
2006-08-18,16.9274,17.345,16.881,17.1872
2006-08-21,17.2707,17.4192,17.1223,17.2522
2006-08-22,17.2429,17.3654,17.1501,17.2893
2006-08-23,17.3635,17.3728,16.7233,16.8068
2006-08-24,16.8439,17.1037,16.7789,17.0666
2006-08-25,17.0109,17.048,16.6026,16.6212
2006-08-28,16.6954,17.2615,16.6026,17.1501
2006-08-29,17.1779,17.3079,16.9738,17.1037
2006-08-30,17.1872,17.2336,16.9274,16.9645
2006-08-31,17.0944,17.4563,17.048,17.345
2006-09-01,17.4934,17.5862,17.2429,17.3635
2006-09-05,17.3635,17.3914,16.714,16.8068
2006-09-06,16.7755,16.9055,16.46,16.7477
2006-09-07,16.8127,16.8591,16.4137,16.4229
2006-09-08,16.5436,16.6456,16.3209,16.3209
2006-09-11,16.3765,16.5157,16.126,16.2095
2006-09-12,16.2002,16.2281,15.5599,15.6899
2006-09-13,15.7084,15.8662,15.328,15.7919
2006-09-14,15.7919,15.9775,15.5136,15.6156
2006-09-15,15.7919,15.8569,15.3558,15.3651
2006-09-18,15.328,15.5971,15.1981,15.4486
2006-09-19,15.5692,15.8847,15.5136,15.7827
2006-09-20,16.0054,16.1446,15.8198,15.9404
2006-09-21,15.894,16.0239,15.6806,15.7827
2006-09-22,15.7455,15.8662,15.4579,15.4857
2006-09-25,15.6063,16.1353,15.3929,15.9868
2006-09-26,16.0146,16.0425,15.6527,15.8754
2006-09-27,15.8847,16.1167,15.7919,16.0425
2006-09-28,16.2002,16.2373,15.959,16.061
2006-09-29,15.9868,16.1538,15.662,15.6991
2006-10-02,15.8569,16.2002,15.7734,16.0054
2006-10-03,16.0889,16.1631,15.7363,15.9311
2006-10-04,16.0054,16.0796,15.727,15.7919
2006-10-05,15.7177,15.8383,15.5043,15.5321
2006-10-06,15.4208,15.7084,15.3094,15.4208
