Date,Open,High,Low,Close
2006-01-03,16.8,17.68,16.6913,17.28
2006-01-04,17.28,17.8005,17.28,17.64
2006-01-05,17.68,18.8,17.6,18.752
2006-01-06,19.0,19.4,18.72,18.84
2006-01-09,18.32,18.56,17.96,18.56
2006-01-10,18.28,18.28,17.76,18.04
2006-01-11,18.08,18.56,17.916,18.08
2006-01-12,18.0,18.32,17.5825,17.6
2006-01-13,17.68,20.0,17.52,18.84
2006-01-17,18.64,18.8028,17.58,18.44
2006-01-18,18.0,18.68,17.96,18.36
2006-01-19,18.48,18.8,18.36,18.8
2006-01-20,18.64,18.76,17.84,17.92
2006-01-23,17.92,17.96,17.36,17.56
2006-01-24,17.6,17.84,17.358,17.48
2006-01-25,17.2,18.08,17.0395,17.76
2006-01-26,17.92,18.08,17.44,17.56
2006-01-27,17.48,17.52,16.756,17.16
2006-01-30,17.12,17.8,16.72,17.48
2006-01-31,17.58,18.28,17.56,18.0
2006-02-01,17.88,18.72,17.76,18.08
2006-02-02,18.2,18.4,17.8,18.12
2006-02-03,18.0,18.04,17.52,17.72
2006-02-06,17.6,17.76,17.36,17.44
2006-02-07,17.4,17.44,16.96,17.16
2006-02-08,17.28,17.68,17.28,17.52
2006-02-09,17.56,17.8005,17.44,17.48
2006-02-10,17.48,17.6,17.24,17.52
2006-02-13,17.24,17.56,17.16,17.32
2006-02-14,17.36,17.84,17.2,17.56
2006-02-15,17.44,17.48,17.2,17.28
2006-02-16,17.34,17.48,17.12,17.48
2006-02-17,17.56,17.72,17.2,17.2
2006-02-21,17.2,17.36,16.96,17.0
2006-02-22,17.08,17.36,17.08,17.2
2006-02-23,17.32,17.36,17.0,17.08
2006-02-24,17.0,17.16,16.88,17.12
2006-02-27,17.12,17.32,17.0,17.24
2006-02-28,17.16,17.2005,16.56,16.68
2006-03-01,16.72,17.24,16.64,17.16
2006-03-02,17.04,17.52,17.0,17.08
2006-03-03,17.0,18.6,16.8,17.72
2006-03-06,17.84,18.28,17.68,17.96
2006-03-07,17.8,17.96,17.6,17.84
2006-03-08,17.76,17.8005,17.4,17.4
2006-03-09,17.88,18.52,17.84,18.04
2006-03-10,18.2,18.4805,18.12,18.32
2006-03-13,18.32,18.4,18.04,18.16
2006-03-14,18.04,18.76,18.0,18.68
2006-03-15,18.64,19.6005,18.52,19.44
2006-03-16,19.52,19.76,19.16,19.2
2006-03-17,19.16,19.72,18.88,19.0
2006-03-20,19.04,19.44,18.72,19.32
2006-03-21,19.4,19.5605,18.68,18.88
2006-03-22,18.8,19.28,18.72,19.24
2006-03-23,19.08,19.84,19.0,19.48
2006-03-24,19.48,19.96,19.44,19.88
2006-03-27,20.0,20.44,19.92,19.96
2006-03-28,19.92,20.32,19.84,20.12
2006-03-29,20.88,21.52,20.84,21.0
2006-03-30,21.04,21.2,20.56,20.6
2006-03-31,20.84,20.88,20.48,20.52
2006-04-03,20.72,20.8,20.28,20.36
2006-04-04,20.32,20.6,20.24,20.44
2006-04-05,20.44,20.64,20.36,20.48
2006-04-06,20.44,21.0,20.4,20.96
2006-04-07,20.88,21.4,20.88,20.96
2006-04-10,20.96,20.96,20.36,20.44
2006-04-11,20.48,20.6,19.56,20.04
2006-04-12,20.0,20.2,19.64,19.88
2006-04-13,19.76,20.08,19.64,19.96
2006-04-17,19.96,19.96,19.24,19.36
2006-04-18,19.4,20.16,18.8,19.92
2006-04-19,19.76,20.0805,19.48,19.8
2006-04-20,20.16,20.36,20.04,20.16
2006-04-21,20.16,20.28,19.64,19.72
2006-04-24,19.6,20.0,19.36,19.92
2006-04-25,20.8,21.0,19.68,19.96
2006-04-26,19.96,20.56,19.68,20.08
2006-04-27,19.8,20.12,19.76,19.8
2006-04-28,19.72,20.2,19.68,20.0
2006-05-01,20.12,20.12,19.6,19.64
2006-05-02,19.72,20.24,19.68,19.8
2006-05-03,19.88,19.88,19.36,19.56
2006-05-04,19.64,19.8805,19.48,19.8
2006-05-05,19.84,20.5205,19.8,20.4
2006-05-08,20.32,20.72,20.24,20.32
2006-05-09,20.28,20.76,20.28,20.6
2006-05-10,20.48,20.56,20.12,20.28
2006-05-11,20.2,20.4005,19.52,19.56
2006-05-12,19.56,19.6,19.16,19.36
2006-05-15,19.2,19.6,18.68,19.0
2006-05-16,19.08,19.28,17.92,18.12
2006-05-17,18.24,18.6,18.08,18.32
2006-05-18,18.52,18.72,18.24,18.44
2006-05-19,18.52,18.8,18.24,18.36
2006-05-22,18.12,18.52,17.72,18.16
2006-05-23,18.2,18.32,17.12,17.16
2006-05-24,17.32,17.6005,16.68,17.28
2006-05-25,17.32,17.48,17.16,17.32
2006-05-26,17.36,17.76,17.16,17.68
2006-05-30,18.04,18.8,17.8,18.2
2006-05-31,18.32,18.64,18.2,18.52
2006-06-01,17.96,18.2,17.4,18.2
2006-06-02,18.14,18.16,17.8,17.84
2006-06-05,17.8,18.04,17.6,17.68
2006-06-06,17.68,17.72,17.36,17.48
2006-06-07,17.56,17.76,17.12,17.24
2006-06-08,17.2,17.24,16.6,16.92
2006-06-09,17.04,17.48,16.84,16.96
2006-06-12,16.92,17.0,16.28,16.44
2006-06-13,16.44,16.92,16.32,16.72
2006-06-14,16.64,17.28,16.52,16.64
2006-06-15,16.68,17.48,16.64,17.4
2006-06-16,17.4,17.478,16.92,17.2
2006-06-19,17.2,17.28,16.4,16.56
2006-06-20,16.64,16.96,16.44,16.88
2006-06-21,16.82,17.28,16.8,17.28
2006-06-22,17.2,17.24,16.84,17.0
2006-06-23,16.96,17.12,16.68,16.72
2006-06-26,16.68,16.76,16.16,16.36
2006-06-27,16.32,16.48,15.72,15.88
2006-06-28,15.94,16.2,15.76,16.16
2006-06-29,16.2,16.56,16.12,16.56
2006-06-30,16.64,16.88,16.36,16.6
2006-07-03,16.6,16.8,16.48,16.8
2006-07-05,16.6,16.68,16.0,16.16
2006-07-06,16.2,16.48,15.72,16.0
2006-07-07,15.92,15.96,15.32,15.64
2006-07-10,15.68,15.76,14.96,15.28
2006-07-11,15.52,15.8,15.36,15.6
2006-07-12,15.8,16.24,15.68,16.0
2006-07-13,16.0,16.12,15.48,15.48
2006-07-14,15.6,15.8,15.44,15.52
2006-07-17,15.52,15.6,15.28,15.52
2006-07-18,15.52,15.72,15.2,15.4
2006-07-19,15.52,15.8928,15.44,15.88
2006-07-20,16.0,16.32,15.72,15.76
2006-07-21,15.68,15.76,15.24,15.32
2006-07-24,15.44,16.08,15.24,16.08
2006-07-25,16.16,16.68,15.76,16.36
2006-07-26,17.0,17.36,16.72,17.08
2006-07-27,17.08,17.4,16.96,17.04
2006-07-28,17.04,17.4,16.84,17.32
2006-07-31,17.2,17.6,17.08,17.4
2006-08-01,17.24,17.28,16.68,16.8
2006-08-02,16.88,17.28,16.84,17.16
2006-08-03,17.12,17.48,17.04,17.4
2006-08-04,17.6,18.16,17.52,18.12
2006-08-07,18.04,18.64,17.8,18.08
2006-08-08,18.08,18.16,17.64,17.76
2006-08-09,18.0,18.08,17.64,17.88
2006-08-10,17.72,18.0,17.56,17.92
2006-08-11,17.76,18.08,17.6,17.8
2006-08-14,17.92,18.48,17.6,18.0
2006-08-15,18.2,18.6,18.12,18.48
2006-08-16,18.56,19.32,18.56,19.28
2006-08-17,19.16,19.4,18.68,18.88
2006-08-18,18.8,18.84,18.4,18.72
2006-08-21,18.56,18.88,18.28,18.68
2006-08-22,18.68,19.08,18.52,18.52
2006-08-23,18.92,19.2405,18.8,19.2
