,Open,High,Low,Close
2006-01-03,1.575,2.265,1.355,2.225
2006-01-04,2.235,2.615,2.085,2.595
2006-01-05,2.655,3.315,2.495,3.315
2006-01-06,3.715,3.715,3.135,3.465
2006-01-09,3.665,3.985,3.395,3.975
2006-01-10,3.725,4.475,3.725,4.195
2006-01-11,4.165,4.345,3.955,4.145
2006-01-12,4.225,4.265,3.955,4.265
2006-01-13,4.115,4.135,3.795,3.905
2006-01-17,3.685,3.925,3.575,3.875
2006-01-18,3.875,4.295,3.785,4.235
2006-01-19,4.235,4.685,4.215,4.675
2006-01-20,4.665,4.665,4.025,4.175
2006-01-23,4.325,4.655,4.255,4.455
2006-01-24,4.575,4.765,4.485,4.595
2006-01-25,4.675,4.945,4.385,4.785
2006-01-26,4.805,5.145,4.735,5.055
2006-01-27,5.055,5.565,5.055,5.265
2006-01-30,5.325,5.325,4.965,5.185
2006-01-31,5.095,5.655,4.905,5.485
2006-02-01,5.445,5.615,5.165,5.165
2006-02-02,5.165,5.225,4.735,4.805
2006-02-03,4.575,4.685,4.085,4.495
2006-02-06,4.315,4.775,4.315,4.675
2006-02-07,4.705,4.845,4.445,4.525
2006-02-08,3.795,4.245,2.965,3.845
2006-02-09,3.715,3.845,3.155,3.705
2006-02-10,3.595,4.075,3.554,3.895
2006-02-13,3.845,3.985,3.785,3.815
2006-02-14,3.825,4.155,3.505,3.895
2006-02-15,4.115,4.465,3.845,4.345
2006-02-16,4.495,4.745,4.3985,4.675
2006-02-17,4.795,5.065,4.545,4.915
2006-02-21,5.015,5.235,4.845,5.175
2006-02-22,5.295,5.675,4.935,5.665
2006-02-23,5.665,5.665,5.016,5.375
2006-02-24,5.325,5.325,4.945,5.045
2006-02-27,5.045,5.295,4.815,5.025
2006-02-28,4.925,4.955,4.595,4.745
2006-03-01,4.795,4.965,4.335,4.515
2006-03-02,4.515,4.645,4.035,4.205
2006-03-03,4.105,4.135,3.555,3.875
2006-03-06,3.915,4.805,3.875,4.635
2006-03-07,4.635,4.635,4.255,4.365
2006-03-08,4.365,4.385,3.925,4.385
2006-03-09,4.375,4.895,4.315,4.745
2006-03-10,4.745,5.085,4.595,4.975
2006-03-13,4.975,5.225,4.445,4.785
2006-03-14,4.785,5.125,4.545,5.125
2006-03-15,5.125,5.985,5.065,5.895
2006-03-16,5.895,6.245,5.695,6.205
2006-03-17,6.245,6.595,5.935,6.595
2006-03-20,6.575,6.795,5.905,6.785
2006-03-21,6.615,6.785,5.695,5.785
2006-03-22,5.595,5.965,5.535,5.745
2006-03-23,5.745,6.075,5.735,6.045
2006-03-24,5.945,6.088,5.6751,5.685
2006-03-27,5.795,5.835,5.405,5.425
2006-03-28,5.245,5.325,4.965,5.295
2006-03-29,5.305,6.055,5.305,6.055
2006-03-30,5.905,5.955,5.725,5.885
2006-03-31,5.885,6.495,5.5698,6.395
2006-04-03,6.385,6.385,5.025,5.125
2006-04-04,5.085,5.175,4.545,5.075
2006-04-05,5.295,5.595,5.095,5.305
2006-04-06,4.805,5.115,4.105,4.295
2006-04-07,3.545,4.185,3.535,4.185
2006-04-10,4.145,4.1549,3.625,3.625
2006-04-11,3.595,3.795,3.555,3.575
2006-04-12,3.585,3.605,3.155,3.215
2006-04-13,3.115,3.155,2.775,2.995
2006-04-17,3.005,3.295,2.795,3.145
2006-04-18,3.185,3.675,3.185,3.445
2006-04-19,3.635,4.105,3.585,3.825
