Date,Open,High,Low,Close
2006-01-03,67.6,68.23,66.99,68.23
2006-01-04,68.85,70.0,68.82,69.63
2006-01-05,70.0,70.0,68.91,69.5
2006-01-06,69.75,69.75,69.24,69.61
2006-01-09,69.61,70.1,69.3,70.08
2006-01-10,70.08,70.08,69.17,69.35
2006-01-11,69.7,71.35,69.65,71.35
2006-01-12,71.6,71.97,71.07,71.29
2006-01-13,71.3,71.74,70.83,71.13
2006-01-17,71.0,71.35,70.73,70.93
2006-01-18,70.93,71.15,70.64,70.94
2006-01-19,71.01,71.24,70.1,70.3
2006-01-20,69.74,70.18,68.9,68.9
2006-01-23,69.0,69.44,69.0,69.21
2006-01-24,69.07,69.45,68.64,68.96
2006-01-25,69.11,69.21,68.4,68.86
2006-01-26,69.4,70.2,69.01,69.07
2006-01-27,69.1,69.64,68.91,69.31
2006-01-30,69.46,69.66,69.35,69.51
2006-01-31,69.52,69.52,67.64,67.66
2006-02-01,67.8,68.61,67.6,68.4
2006-02-02,68.73,68.73,66.8,67.32
2006-02-03,67.19,67.56,66.89,67.25
2006-02-06,67.0,67.45,66.85,67.2
2006-02-07,68.55,68.57,67.14,67.38
2006-02-08,66.15,67.08,66.11,66.45
2006-02-09,66.4,66.95,65.85,65.9
2006-02-10,66.17,66.36,65.85,66.13
2006-02-13,66.21,66.25,65.66,65.97
2006-02-14,65.83,66.71,65.83,66.32
2006-02-15,66.45,66.69,66.02,66.4
2006-02-16,66.3,66.46,65.46,66.05
2006-02-17,66.1,66.28,65.8,66.06
2006-02-21,66.55,66.65,66.02,66.37
2006-02-22,66.75,68.03,66.75,67.96
2006-02-23,68.15,68.15,67.19,67.93
2006-02-24,67.7,68.06,66.93,67.44
2006-02-27,67.69,68.03,67.4,67.7
2006-02-28,67.7,67.82,67.05,67.55
2006-03-01,67.57,68.14,67.55,68.14
2006-03-02,68.45,68.49,67.87,68.08
2006-03-03,68.07,68.5,67.83,68.1
2006-03-06,68.02,68.13,67.25,67.27
2006-03-07,67.11,67.98,66.97,67.85
2006-03-08,68.0,68.06,67.54,67.72
2006-03-09,67.87,67.94,66.79,66.87
2006-03-10,66.88,66.9,66.31,66.6
2006-03-13,66.27,67.2,66.27,66.77
2006-03-14,66.53,67.84,66.53,67.52
2006-03-15,67.35,68.41,67.18,68.4
2006-03-16,68.4,68.6,67.86,67.92
2006-03-17,67.96,67.96,67.32,67.45
2006-03-20,67.35,67.77,67.0801,67.25
2006-03-21,67.5,67.55,66.93,66.98
2006-03-22,67.05,67.05,66.27,66.71
2006-03-23,66.7,66.7,65.85,65.99
2006-03-24,65.8,65.81,65.35,65.39
2006-03-27,65.2,65.21,64.39,64.49
2006-03-28,64.2,64.74,63.8,64.18
2006-03-29,64.32,65.27,64.32,64.7
2006-03-30,64.7,65.01,64.6,64.77
2006-03-31,64.7,65.07,63.94,64.11
2006-04-03,64.5,65.13,64.11,64.56
2006-04-04,64.5,64.96,64.15,64.67
2006-04-05,64.56,64.88,63.5,63.8
2006-04-06,63.74,63.82,63.0,63.29
2006-04-07,64.75,64.88,63.07,63.75
2006-04-10,63.93,63.93,63.19,63.25
2006-04-11,62.95,63.2888,62.8,63.12
2006-04-12,62.99,63.43,62.77,62.96
2006-04-13,62.76,63.03,62.44,62.64
2006-04-17,62.53,62.934,62.43,62.87
2006-04-18,63.12,64.53,63.08,64.45
2006-04-19,64.75,65.6,64.6,65.31
2006-04-20,65.3,65.94,65.12,65.39
2006-04-21,65.88,65.91,65.33,65.5
2006-04-24,65.5,66.06,65.33,65.93
2006-04-25,66.43,66.43,65.91,66.06
2006-04-26,66.06,66.38,65.89,66.21
2006-04-27,66.22,67.01,65.98,66.24
2006-04-28,66.24,66.58,65.41,65.89
2006-05-01,66.14,66.2,64.85,65.07
2006-05-02,65.2,65.79,65.19,65.7
2006-05-03,65.84,66.25,65.78,66.05
2006-05-04,66.2,66.58,66.09,66.54
2006-05-05,66.68,67.0,66.23,66.77
2006-05-08,66.87,67.3,66.46,66.56
2006-05-09,66.56,66.86,66.13,66.68
2006-05-10,66.56,66.61,66.21,66.35
2006-05-11,66.5,66.55,65.77,66.02
2006-05-12,65.92,66.38,65.44,65.51
2006-05-15,65.0,66.61,65.0,66.6
2006-05-16,66.75,66.77,66.14,66.44
2006-05-17,66.36,66.44,65.14,65.51
2006-05-18,65.51,65.54,64.85,64.9
2006-05-19,65.0,65.06,64.13,64.24
2006-05-22,64.1,64.26,63.28,63.63
2006-05-23,63.7,64.02,63.37,63.47
2006-05-24,63.46,63.97,63.22,63.38
2006-05-25,63.53,64.1,62.08,63.95
2006-05-26,64.36,64.38,63.95,64.03
2006-05-30,63.65,63.83,62.46,62.51
2006-05-31,62.7,63.28,62.45,63.28
2006-06-01,63.38,64.06,63.1,64.06
2006-06-02,64.0,64.02,63.11,63.63
2006-06-05,63.37,63.39,62.15,62.21
2006-06-06,62.32,62.72,62.08,62.62
2006-06-07,62.92,63.52,62.8,63.27
2006-06-08,62.89,63.25,62.7,63.08
2006-06-09,63.4,64.32,62.95,63.82
2006-06-12,64.04,64.04,63.19,63.31
2006-06-13,63.31,63.31,61.68,61.75
2006-06-14,61.74,62.22,61.35,62.06
2006-06-15,62.55,63.37,62.1,63.29
2006-06-16,63.2,63.27,61.86,61.95
2006-06-19,62.36,62.36,61.46,61.8
2006-06-20,61.95,62.07,61.63,61.7
2006-06-21,61.87,62.17,61.56,61.98
2006-06-22,61.67,61.91,61.35,61.47
2006-06-23,61.17,61.35,60.75,61.11
2006-06-26,61.13,61.76,60.88,61.7
2006-06-27,61.56,61.7,60.67,60.74
2006-06-28,61.03,61.28,60.73,61.24
2006-06-29,61.68,61.68,61.02,61.3
2006-06-30,61.3,61.44,60.77,61.3
2006-07-03,61.23,62.03,61.16,62.03
2006-07-05,61.81,61.97,61.25,61.82
2006-07-06,61.7,62.71,61.7,62.48
2006-07-07,62.43,63.37,62.43,63.02
2006-07-10,62.97,64.05,62.97,64.03
2006-07-11,63.9,63.95,63.21,63.9
2006-07-12,64.1,64.1,63.55,64.03
2006-07-13,64.03,64.03,62.78,63.21
2006-07-14,63.29,63.395,62.56,62.76
2006-07-17,62.87,63.32,62.7,63.27
2006-07-18,63.46,63.6,62.92,63.29
2006-07-19,63.72,63.99,63.56,63.83
2006-07-20,63.93,64.77,63.65,64.57
2006-07-21,64.73,64.87,64.17,64.56
2006-07-24,64.65,65.66,64.65,65.6
2006-07-25,65.65,66.7,65.15,66.5
2006-07-26,66.5,66.89,65.99,66.44
2006-07-27,66.69,66.98,64.55,64.93
2006-07-28,65.27,65.48,64.91,65.09
2006-07-31,65.09,65.09,63.61,63.7
2006-08-01,63.25,63.32,62.21,62.59
2006-08-02,62.55,62.56,61.69,62.07
2006-08-03,61.45,62.07,61.38,61.55
2006-08-04,61.9,62.24,61.36,61.56
2006-08-07,61.55,61.61,61.1,61.13
2006-08-08,61.38,61.48,60.62,60.71
2006-08-09,61.19,61.38,60.18,60.3
2006-08-10,60.43,60.44,59.82,60.25
2006-08-11,61.45,61.76,60.86,61.5
2006-08-14,62.1,62.55,61.87,61.92
2006-08-15,62.3,62.5,61.51,62.1
2006-08-16,62.61,62.74,62.03,62.2
2006-08-17,62.0,63.5,61.94,63.41
2006-08-18,63.42,63.72,63.01,63.67
2006-08-21,63.67,63.87,63.35,63.54
2006-08-22,63.56,63.57,63.15,63.4
2006-08-23,63.4,63.59,62.7,63.05
2006-08-24,63.2,63.55,62.83,63.25
2006-08-25,63.25,63.25,62.74,62.76
2006-08-28,62.83,63.96,62.68,63.77
2006-08-29,63.52,63.95,62.88,63.26
2006-08-30,63.63,65.03,63.57,65.02
2006-08-31,65.32,65.71,64.85,65.64
2006-09-01,65.97,65.97,65.21,65.49
2006-09-05,65.5,65.6,64.95,65.33
2006-09-06,65.39,65.59,65.06,65.4
2006-09-07,65.53,66.75,65.25,66.48
2006-09-08,66.58,67.03,65.99,66.9
2006-09-11,66.99,68.94,66.98,68.16
2006-09-12,68.42,68.53,67.89,68.43
2006-09-13,68.45,68.58,67.78,68.05
2006-09-14,67.94,68.05,67.71,67.9
2006-09-15,67.9,68.0,67.62,67.78
2006-09-18,67.78,67.78,67.03,67.45
2006-09-19,67.45,67.57,67.06,67.23
2006-09-20,67.48,67.71,66.87,67.54
2006-09-21,67.6,67.91,67.41,67.64
2006-09-22,67.4,67.69,66.85,67.23
2006-09-25,67.55,68.91,67.49,68.91
2006-09-26,68.94,69.24,68.64,69.12
2006-09-27,68.92,69.24,68.61,68.82
2006-09-28,69.0,69.2,68.81,69.08
2006-09-29,69.33,69.33,68.641,68.7
2006-10-02,68.95,68.97,68.25,68.95
2006-10-03,69.1,70.26,69.06,70.16
2006-10-04,70.1,70.79,69.88,70.71
2006-10-05,70.49,71.56,70.42,71.56
2006-10-06,71.2,71.24,70.56,70.91
2006-10-09,70.98,70.99,70.27,70.53
2006-10-10,70.48,71.31,70.17,71.29
2006-10-11,71.29,72.14,70.85,71.96
2006-10-12,72.04,72.12,71.49,71.7
2006-10-13,71.93,72.27,71.66,71.79
2006-10-16,71.65,71.85,71.51,71.65
2006-10-17,71.4,72.23,71.4,72.03
2006-10-18,72.28,72.39,71.52,71.93
2006-10-19,71.65,71.66,70.84,71.06
2006-10-20,71.47,71.47,70.67,70.76
2006-10-23,70.36,71.09,70.3,71.05
2006-10-24,71.34,71.4,70.49,71.05
2006-10-25,71.05,71.5,69.74,70.11
2006-10-26,69.92,72.0,69.92,71.82
2006-10-27,71.82,71.82,70.58,70.82
2006-10-30,70.83,71.7,70.4,71.58
2006-10-31,71.58,71.84,70.35,70.55
2006-11-01,70.75,70.76,69.66,69.73
2006-11-02,69.73,69.98,69.44,69.8
2006-11-03,70.17,70.4,69.33,69.4
2006-11-06,69.88,70.81,69.69,70.66
2006-11-07,70.7,71.7,70.69,71.48
2006-11-08,71.5,71.64,71.1,71.22
